date,return,nav,cost,turnover,gross
2025-07-01,-0.01559349376719843,0.9844065062328016,0.0004997501249375313,0.9995002498750626,1.0000000000000002
2025-07-02,0.007804285797610611,0.9920890959484696,0.0,0.0,1.0000000000000002
2025-07-03,0.010204300588742443,1.0022126712943416,0.00026053894917781663,0.5210778983556332,1.0
2025-07-07,0.0016483466053089924,1.0038646651488672,0.0,0.0,1.0
2025-07-08,-0.011404298877744412,0.9924162924747026,0.0,0.0,1.0
2025-07-09,0.010219251590265266,1.00255804424978,0.0,0.0,1.0
2025-07-10,-0.001446449703911834,1.0011078944635203,0.0,0.0,1.0
2025-07-11,-0.008266563734689703,0.9928321722486366,0.0,0.0,1.0
2025-07-14,0.01782529673801725,1.0105297003300189,0.0,0.0,1.0
2025-07-15,-0.007832873677668717,1.0026143488398014,0.0,0.0,1.0
2025-07-16,0.002696274913916552,1.0053176727569109,0.0,0.0,1.0
2025-07-17,0.007540756218594957,1.0128985282494158,0.0,0.0,1.0
2025-07-18,0.011114096314751354,1.0241559800494497,0.0,0.0,1.0
2025-07-21,-0.00505113532992163,1.0189828295952714,0.0,0.0,1.0
2025-07-22,-0.015501454916252544,1.0031871132018648,0.0,0.0,1.0
2025-07-23,0.019078288343801653,1.022326206210316,0.0,0.0,1.0
2025-07-24,-0.012921883676443535,1.0091158258942865,0.0,0.0,1.0
2025-07-25,0.013361383372684221,1.022599009311503,0.0,0.0,1.0
2025-07-28,0.0032502244398502356,1.0259226856037338,0.0,0.0,1.0
2025-07-29,-0.010204581271351598,1.0154535741803672,0.0,0.0,1.0
2025-07-30,0.011065212858641038,1.0266897841267408,0.0,0.0,1.0
2025-07-31,0.0038563528563624327,1.0306490622083562,0.0,0.0,1.0
2025-08-01,-0.004188160585370637,1.026332538428666,0.0,0.0,1.0
2025-08-04,0.0206993625156231,1.0475769677031805,0.0,0.0,1.0
2025-08-05,-0.004174681214785592,1.043203667815068,0.0002698213387574726,0.5396426775149451,1.0
2025-08-06,0.0056024062407511455,1.0490481185540097,0.0,0.0,1.0
2025-08-07,-0.003303025779289759,1.0455830855747104,0.0,0.0,1.0
2025-08-08,-0.0007187069230416565,1.0448316177724926,0.0,0.0,1.0
2025-08-11,-0.001335478811945734,1.0434362672849065,0.0,0.0,1.0
2025-08-12,0.0201627447526469,1.0644748064078267,0.0,0.0,1.0
2025-08-13,-0.011445264050327308,1.052291611173568,0.0,0.0,1.0
2025-08-14,-0.0062974025385902355,1.0456649073100264,0.0,0.0,1.0
2025-08-15,0.0005109516061547748,1.0461991914739162,0.0,0.0,1.0
2025-08-18,0.008939872114942293,1.055552078452449,0.0,0.0,1.0
2025-08-19,-0.033136412979336116,1.020574868859652,0.0,0.0,1.0
2025-08-20,-0.008025957732159972,1.0123837780996798,0.0,0.0,1.0
2025-08-21,-0.003960966439169988,1.008373759931067,0.0,0.0,1.0
2025-08-22,0.02071377886277337,1.0292609910053023,0.0,0.0,1.0
2025-08-25,-0.0011454717728778263,1.0280820015931815,0.0,0.0,1.0
2025-08-26,0.016139002499276245,1.0446742195863548,0.0,0.0,1.0
2025-08-27,-0.005139865290612389,1.0393047348251052,0.0,0.0,1.0
2025-08-28,0.019102648470353367,1.059158207828043,0.0,0.0,1.0
2025-08-29,-0.02006007009973443,1.0379114199323034,0.0,0.0,1.0
2025-09-02,-0.012123588206808478,1.0253282092819003,0.0,0.0,1.0
2025-09-03,0.0034774590408537254,1.02889374613311,0.0,0.0,1.0
2025-09-04,0.013490401807221941,1.0427739361853834,0.0001382423997054377,0.2764847994108754,1.0
2025-09-05,-0.003921218111174629,1.0386849921409524,0.0,0.0,1.0
2025-09-08,0.019157224533037143,1.0585833137544927,0.0,0.0,1.0
2025-09-09,0.010948119994559802,1.0701728108977155,0.0,0.0,1.0
2025-09-10,0.04792428020243178,1.1214600725522017,0.0,0.0,1.0
2025-09-11,-0.007353547568109797,1.1132133625629532,0.0,0.0,1.0
2025-09-12,-0.0027666911466347477,1.1101334450084348,0.0,0.0,1.0
2025-09-15,0.008454664479962792,1.1195192508139664,0.0,0.0,1.0
2025-09-16,-0.0027772779349949372,1.1164100347008787,0.0,0.0,1.0
2025-09-17,-0.001333133245113749,1.1149217113684404,0.0,0.0,1.0
2025-09-18,0.012943129243958351,1.1293522871755775,0.0,0.0,1.0
2025-09-19,0.011798886900963534,1.1426773870833067,0.0,0.0,1.0
2025-09-22,0.009777753821840873,1.1538502052719917,0.0,0.0,1.0
2025-09-23,-0.014492129429330869,1.13712845875513,0.0,0.0,1.0
2025-09-24,-0.014835311301421683,1.1202588040797918,0.0,0.0,1.0
2025-09-25,-0.011923021722573535,1.1069019340238442,0.0,0.0,1.0
2025-09-26,0.006217546008074226,1.1137841477250638,0.0,0.0,1.0
2025-09-29,0.01435623233544625,1.1297738917213418,0.0,0.0,1.0
2025-09-30,0.0004096352432132466,1.130236686924253,0.0,0.0,1.0
2025-10-01,-0.001652415877978819,1.1283690658769052,0.0,0.0,1.0
2025-10-02,0.008140382822335646,1.1375544220380245,0.0,0.0,1.0
2025-10-03,-0.008317350825850611,1.1280929828264366,0.0002532358844160746,0.5064717688321492,1.0000000000000002
2025-10-06,-0.004021202238810528,1.1235566927983085,0.0,0.0,1.0000000000000002
2025-10-07,-0.000928176955351856,1.1225138333680218,0.0,0.0,1.0000000000000002
2025-10-08,0.012332924343712026,1.1363577115497199,0.0,0.0,1.0000000000000002
2025-10-09,0.001234176543975618,1.1377601775828803,0.0,0.0,1.0000000000000002
