date,V1,V2,V3,V4,V5
2009-01-02,1.0,1.0,0.0,1.0,1.0
2009-02-02,1.0,1.0,0.0,1.0,1.0
2009-03-02,1.0,1.0,0.0,1.0,1.0
2009-04-01,1.0,1.0,0.0,1.0,1.0
2009-05-01,1.0,1.0,0.0,1.0,1.0
2009-06-01,1.0,1.0,1.0,1.0,1.0
2009-07-01,1.0,1.0,1.0,1.0,1.0
2009-08-03,1.0,1.0,1.0,1.0,1.0
2009-09-01,1.0,1.0,1.0,1.0,1.0
2009-10-01,1.0,1.0,1.0,1.0,1.0
2009-11-02,1.0,0.9228979355919525,1.0,1.0,1.0
2009-12-01,1.0,0.8024388409100729,1.0,1.0,1.0
2010-01-04,1.0,0.7864780719980587,1.0,1.0,1.0
2010-02-01,0.9636126231341821,0.7227094673506365,1.0,0.9636126231341821,1.0
2010-03-01,0.8920186244219032,0.6690139683164273,1.0,0.8920186244219032,1.0
2010-04-01,0.8812278575436483,0.6609208931577362,1.0,0.8812278575436483,1.0
2010-05-03,0.8552958710931718,0.6414719033198788,1.0,0.8552958710931718,1.0
2010-06-01,0.6646529045154744,0.4984896783866058,0.0,0.0,1.0
2010-07-01,0.5943052791514639,0.44572895936359785,0.0,0.0,1.0
2010-08-02,0.5784535811243671,0.4338401858432752,0.0,0.0,1.0
2010-09-01,0.5819667999625975,0.43647509997194806,0.0,0.0,1.0
2010-10-01,0.5699438083336954,0.4274578562502715,1.0,0.5699438083336954,1.0
2010-11-01,0.593907315003457,0.44543048625259263,1.0,0.593907315003457,1.0
2010-12-01,0.7645743662362776,0.5734307746772082,1.0,0.7645743662362776,1.0
2011-01-03,0.9375047573271404,0.7031285679953553,1.0,0.9375047573271404,1.0
2011-02-01,1.0,0.7926395934163841,1.0,1.0,0.31420384309735705
2011-03-01,1.0,0.823971574412292,1.0,1.0,0.3140218970727737
2011-04-01,1.0,0.8685647289215078,1.0,1.0,0.3368635709904923
2011-05-02,1.0,0.8678027069317462,1.0,1.0,0.5624138639738648
2011-06-01,1.0,0.8739848437556107,1.0,1.0,0.416696071044285
2011-07-01,1.0,0.7773184364316506,1.0,1.0,0.244501233450352
2011-08-01,1.0,0.7845757735481244,1.0,1.0,0.4099294105757409
2011-09-01,0.6517398376015775,0.48880487820118307,0.0,0.0,0.036568343585114925
2011-10-03,0.611889269676617,0.45891695225746276,0.0,0.0,0.1422913916170259
2011-11-01,0.5749499048109826,0.4312124286082369,0.0,0.0,0.14603717377201292
2011-12-01,0.5640935824683949,0.42307018685129616,0.0,0.0,0.22971568206179474
2012-01-03,0.5731760058920746,0.42988200441905594,1.0,0.5731760058920746,0.4732483188862603
2012-02-01,0.5817711449502616,0.43632835871269615,1.0,0.5817711449502616,1.0
2012-03-01,0.8520203359699259,0.6390152519774444,1.0,0.8520203359699259,1.0
2012-04-02,0.9943126048526912,0.7457344536395183,1.0,0.9943126048526912,1.0
2012-05-01,1.0,0.9336536117911131,1.0,1.0,0.45248468272921466
2012-06-01,1.0,0.9754132684585906,1.0,1.0,0.3465368606134898
2012-07-02,1.0,0.8912787523612292,1.0,1.0,0.20670584566090358
2012-08-01,1.0,0.8593289933985191,1.0,1.0,0.7478929149467961
2012-09-04,1.0,0.8359887191178053,1.0,1.0,0.9814969732873919
2012-10-01,1.0,0.8065238981673504,1.0,1.0,0.5644754465116456
2012-11-01,1.0,0.8257186735829098,1.0,1.0,0.6875433759155188
2012-12-03,1.0,0.8580708443467839,1.0,1.0,0.5350388117275484
2013-01-02,1.0,0.9747095799439796,1.0,1.0,0.6715695557598579
2013-02-01,1.0,0.9901258742814893,1.0,1.0,0.8110778376247997
2013-03-01,1.0,0.9082865663126272,1.0,1.0,0.35412989559892083
2013-04-01,1.0,0.9262791014598403,1.0,1.0,1.0
2013-05-01,1.0,0.8757888097063657,1.0,1.0,0.32749795303548024
2013-06-03,1.0,0.8673833034804889,1.0,1.0,0.5793866051777246
2013-07-01,1.0,0.7522903815071935,1.0,1.0,0.22846735906078017
2013-08-01,1.0,0.7643981554041694,1.0,1.0,0.8354406325825728
2013-09-03,1.0,0.77796975869995,1.0,1.0,0.47008949081207924
2013-10-01,1.0,0.7618442798031313,1.0,1.0,0.7894869854004786
2013-11-01,1.0,0.7922872273071064,1.0,1.0,0.419562657721118
2013-12-02,1.0,0.7785852218951929,1.0,1.0,0.5453970814345369
2014-01-02,1.0,0.9172542923125286,1.0,1.0,1.0
2014-02-03,1.0,0.8546254295651197,1.0,1.0,0.37236176917598396
2014-03-03,1.0,0.87138967816498,1.0,1.0,0.49200232574609576
2014-04-01,1.0,0.8444408429155216,1.0,1.0,0.5685298361259999
2014-05-01,1.0,0.7712381784105562,1.0,1.0,0.22299857138751164
2014-06-02,1.0,0.791205506056346,1.0,1.0,0.8783329315543288
2014-07-01,1.0,0.7996025064448644,1.0,1.0,1.0
2014-08-01,1.0,0.8455411968868475,1.0,1.0,0.9063910600721844
2014-09-02,1.0,0.8947569672133581,1.0,1.0,1.0
2014-10-01,1.0,0.9308595073545192,1.0,1.0,0.7662722290088553
2014-11-03,1.0,0.889067051777909,1.0,1.0,0.21198785354045938
2014-12-01,1.0,0.9314960518060328,1.0,1.0,1.0
2015-01-02,1.0,0.8804230191097666,1.0,1.0,0.6064062639028669
2015-02-02,1.0,0.8354348637638239,1.0,1.0,0.43442854078011933
2015-03-02,1.0,0.8192242957568419,1.0,1.0,0.6887930761071699
2015-04-01,1.0,0.7926175721478838,1.0,1.0,0.49968336367616445
2015-05-01,1.0,0.9557311251771609,1.0,1.0,1.0
2015-06-01,1.0,0.9022043718047091,1.0,1.0,0.6271617549285821
2015-07-01,1.0,0.9301790352270437,1.0,1.0,0.929664929982312
2015-08-03,1.0,1.0,1.0,1.0,1.0
2015-09-01,1.0,0.8100618761001738,0.0,0.0,0.18727269667392646
2015-10-01,1.0,0.7556269047855865,0.0,0.0,0.2681349085295338
2015-11-02,1.0,0.751985884310432,1.0,1.0,0.8364305988368063
2015-12-01,1.0,0.7517634447495073,1.0,1.0,0.8021116818626353
2016-01-04,0.9637003002499828,0.7227752251874869,0.0,0.0,0.4947416228201323
