date,return
2011-01-03,0.006512628689878641
2011-01-04,-0.005339962247286632
2011-01-05,0.007251527931652598
2011-01-06,-0.0028810948123295338
2011-01-07,0.0008306369128397563
2011-01-10,0.00488236722452773
2011-01-11,-0.0008649289719055408
2011-01-12,0.0031291154612582877
2011-01-13,0.000714757513611547
2011-01-14,0.0037096352412609593
2011-01-18,0.0015263459879641542
2011-01-19,-0.006984736615028338
2011-01-20,-0.015863250095508905
2011-01-21,-0.0011752209481268702
2011-01-24,-9.39395801653098e-05
2011-01-25,-0.003422202055170369
2011-01-26,0.007283892559904319
2011-01-27,0.00973013345752324
2011-01-28,-0.012354770866418077
2011-01-31,0.004380723573210744
2011-02-01,0.0032531380332016203
2011-02-02,0.0007832554169098553
2011-02-03,0.0013528269704077014
2011-02-04,0.004537194423437548
2011-02-07,0.0027833898177620606
2011-02-08,0.003061750798870778
2011-02-09,-0.002063038155367059
2011-02-10,-5.1564322630993695e-05
2011-02-11,0.0069368515536563195
2011-02-14,0.0037657930766126996
2011-02-15,-0.0046037909285697965
2011-02-16,0.0024808708365042
2011-02-17,-0.004139460911299243
2011-02-18,-0.0016598877061378692
2011-02-22,-0.020094293084891968
2011-02-23,-0.010479845246085924
2011-02-24,0.005999735288280809
2011-02-25,0.007338998453493405
2011-02-28,-0.003747560430075723
2011-03-01,-0.009868831303129374
2011-03-02,0.002586959423901257
2011-03-03,0.01219569526952124
2011-03-04,-0.003152943508035501
2011-03-07,-0.01067772383991923
2011-03-08,0.0048928912215360065
2011-03-09,-0.003230854423937832
2011-03-10,-0.009447808122725825
2011-03-11,0.0054029468721564075
2011-03-14,-0.0030501106999215326
2011-03-15,-0.0026108657095460044
2011-03-16,-0.009728947323069585
2011-03-17,0.0066206142335149395
2011-03-18,-0.000493612236975168
2011-03-21,0.011293729351135779
2011-03-22,-0.004787927858022109
2011-03-23,0.0030707048388956366
2011-03-24,0.00919484565687314
2011-03-25,0.0035616651863795514
2011-03-28,-0.0038345549081148173
2011-03-29,0.006295325202477259
2011-03-30,0.005165436939142807
2011-03-31,-0.00019158069054602564
2011-04-01,0.004007885910162007
2011-04-04,-0.0010088554952117968
2011-04-05,-0.00044329248873725344
2011-04-06,-0.004190038133304255
2011-04-07,-0.0005394554656932881
2011-04-08,-0.002763410186616596
2011-04-11,-0.0036041811955916736
2011-04-12,-0.005189449425056952
2011-04-13,0.006032019125982871
2011-04-14,-0.00024225042550802696
2011-04-15,0.0017142845709475173
2011-04-18,-0.004978185213265206
2011-04-19,0.004331534009165527
2011-04-20,0.016692135131291887
2011-04-21,0.0074428959269508925
2011-04-25,-0.0021628121189105863
2011-04-26,0.0015743669017317654
2011-04-27,-0.0015617900859460083
2011-04-28,-0.006193113524975406
2011-04-29,0.003289660592103077
2011-05-02,-0.0028280761068119366
2011-05-03,-0.009073540414788426
2011-05-04,-0.004450984132307622
2011-05-05,-0.0008241984401433393
2011-05-06,0.004559518337109618
2011-05-09,0.00770248681716013
2011-05-10,0.005900201782534326
2011-05-11,-0.011052373938830861
2011-05-12,0.0008151316502549974
2011-05-13,-0.006492725485516054
2011-05-16,-0.0062559627571948375
2011-05-17,-0.002340748918747674
2011-05-18,0.012829186247618042
2011-05-19,0.00108319624142922
2011-05-20,-0.0016258067705808823
2011-05-23,-0.006480609444413694
2011-05-24,-4.350828193370125e-06
2011-05-25,0.007410180047418356
2011-05-26,0.0061913869923291565
2011-05-27,0.002418080832517733
2011-05-31,0.0039786795712760765
2011-06-01,-0.014115737809090683
2011-06-02,0.006255667293869557
2011-06-03,-0.005086050039520663
2011-06-06,-0.009463949927462589
2011-06-07,0.00047620699147389557
2011-06-08,-0.005928862161154362
2011-06-09,0.008555956760708243
2011-06-10,-0.010714349746278088
2011-06-13,-0.004638909428440258
2011-06-14,0.011576917054225758
2011-06-15,-0.012851544078854662
2011-06-16,-0.006177416944303192
2011-06-17,-4.956364164435371e-05
2011-06-20,0.007687296207231056
2011-06-21,0.015108857773809348
2011-06-22,-0.005156284204756253
2011-06-23,0.002669058953809972
2011-06-24,-0.005927981625356611
2011-06-27,0.0068459869469235345
2011-06-28,0.01310747536355601
2011-06-29,0.003962360953694491
2011-06-30,0.0035869413612416878
2011-07-01,0.009019529536272981
2011-07-05,0.003574497485416137
2011-07-06,0.0017659362378565746
2011-07-07,0.005527524001775506
2011-07-08,-0.002051959362480979
2011-07-11,-0.014311556004838464
2011-07-12,-0.0035006476143721018
2011-07-13,0.005435823714106651
2011-07-14,-0.006334595072561784
2011-07-15,0.0059312224590814654
2011-07-18,-0.0036508775813585237
2011-07-19,0.011352357572792706
2011-07-20,-0.002879587310271734
2011-07-21,0.005054765300024395
2011-07-22,0.0018679883379964285
2011-07-25,-0.0023158972204394904
2011-07-26,-0.0029360921916163807
2011-07-27,-0.011930737452515768
2011-07-28,-0.001430798411880252
2011-07-29,-0.002323719539248403
2011-08-01,-0.0003661215056126623
