,PEAD,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B4_pead_3sleeves,B5_hedged_3sleeves
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-18,-2.7155853984606182e-05,-2.7155853984606182e-05,-2.7155853984606182e-05,-2.7155853984606182e-05,-2.7155853984606182e-05,-2.7155853984606182e-05
2021-08-19,0.00015085517705282214,0.00015085517705282214,0.00015085517705282214,0.00015085517705282214,0.00015085517705282214,0.00015085517705282214
2021-08-20,0.0016402837771032353,0.0016402837771032353,0.0016402837771032353,0.0016402837771032353,0.0016402837771032353,0.0016402837771032353
2021-08-23,-0.00038706338323679645,-0.00038706338323679645,-0.00038706338323679645,-0.00038706338323679645,-0.00038706338323679645,-0.00038706338323679645
2021-08-24,-0.0005777507696232975,-0.0005777507696232975,-0.0005777507696232975,-0.0005777507696232975,-0.0005777507696232975,-0.0005777507696232975
2021-08-25,0.0004951370319032922,0.0004951370319032922,0.0004951370319032922,0.0004951370319032922,0.0004951370319032922,0.0004951370319032922
2021-08-26,-0.0009230303355692859,-0.0009230303355692859,-0.0009230303355692859,-0.0009230303355692859,-0.0009230303355692859,-0.0009230303355692859
2021-08-27,-0.00019747215736443113,-0.00019747215736443113,-0.00019747215736443113,-0.00019747215736443113,-0.00019747215736443113,-0.00019747215736443113
2021-08-30,-0.000489992241749615,-0.000489992241749615,-0.000489992241749615,-0.000489992241749615,-0.000489992241749615,-0.000489992241749615
2021-08-31,-0.00022234322133907192,-0.00022234322133907192,-0.00022234322133907192,-0.00022234322133907192,-0.00022234322133907192,-0.00022234322133907192
2021-09-01,-0.0006494470855088474,-0.0006494470855088474,-0.0006494470855088474,-0.0006494470855088474,-0.0006494470855088474,-0.0006494470855088474
2021-09-02,-0.0007029357833514549,-0.0007029357833514549,-0.0007029357833514549,-0.0007029357833514549,-0.0007029357833514549,-0.0007029357833514549
2021-09-03,-0.0011209626825195995,-0.0011209626825195995,-0.0011209626825195995,-0.0011209626825195995,-0.0011209626825195995,-0.0011209626825195995
2021-09-07,-0.0017395680873357744,-0.0017395680873357744,-0.0017395680873357744,-0.0017395680873357744,-0.0017395680873357744,-0.0017395680873357744
2021-09-08,0.002369827796837365,0.002369827796837365,0.002369827796837365,0.002369827796837365,0.002369827796837365,0.002369827796837365
2021-09-09,-0.0013506681028936374,-0.0013506681028936374,-0.0013506681028936374,-0.0013506681028936374,-0.0013506681028936374,-0.0013506681028936374
2021-09-10,0.0006477318359032758,0.0006477318359032758,0.0006477318359032758,0.0006477318359032758,0.0006477318359032758,0.0006477318359032758
2021-09-13,0.0006539713855056029,0.0006539713855056029,0.0006539713855056029,0.0006539713855056029,0.0006539713855056029,0.0006539713855056029
2021-09-14,-0.00157879839444941,-0.00157879839444941,-0.00157879839444941,-0.00157879839444941,-0.00157879839444941,-0.00157879839444941
2021-09-15,-0.0002946112005086654,-0.0002946112005086654,-0.0002946112005086654,-0.0002946112005086654,-0.0002946112005086654,-0.0002946112005086654
2021-09-16,0.0016837377587324287,0.0016837377587324287,0.0016837377587324287,0.0016837377587324287,0.0016837377587324287,0.0016837377587324287
2021-09-17,-0.0006226602368276657,-0.0006226602368276657,-0.0006226602368276657,-0.0006226602368276657,-0.0006226602368276657,-0.0006226602368276657
2021-09-20,-0.0018349177719673149,-0.0018349177719673149,-0.0018349177719673149,-0.0018349177719673149,-0.0018349177719673149,-0.0018349177719673149
2021-09-21,-0.0005479183051955161,-0.0005479183051955161,-0.0005479183051955161,-0.0005479183051955161,-0.0005479183051955161,-0.0005479183051955161
2021-09-22,0.0007492713773300519,0.0007492713773300519,0.0007492713773300519,0.0007492713773300519,0.0007492713773300519,0.0007492713773300519
2021-09-23,-0.0001705943627156037,-0.0001705943627156037,-0.0001705943627156037,-0.0001705943627156037,-0.0001705943627156037,-0.0001705943627156037
2021-09-24,-0.0002472853827097943,-0.0002472853827097943,-0.0002472853827097943,-0.0002472853827097943,-0.0002472853827097943,-0.0002472853827097943
2021-09-27,-0.0019926107191425846,-0.0019926107191425846,-0.0019926107191425846,-0.0019926107191425846,-0.0019926107191425846,-0.0019926107191425846
2021-09-28,-0.004725404288319579,-0.004725404288319579,-0.004725404288319579,-0.004725404288319579,-0.004725404288319579,-0.004725404288319579
2021-09-29,0.000119282430154799,0.000119282430154799,0.000119282430154799,0.000119282430154799,0.000119282430154799,0.000119282430154799
2021-09-30,-0.0010630904849191491,-0.0010630904849191491,-0.0010630904849191491,-0.0010630904849191491,-0.0010630904849191491,-0.0010630904849191491
2021-10-01,0.002447201618846373,0.002447201618846373,0.002447201618846373,0.002447201618846373,0.002447201618846373,0.002447201618846373
2021-10-04,-0.0017069914612869441,-0.0017069914612869441,-0.0017069914612869441,-0.0017069914612869441,-0.0017069914612869441,-0.0017069914612869441
