date,PEAD,B1_beta_hedged,B2_vol_managed,B3_pead_tsmom,B4_pead_3sleeves,B5_hedged_3sleeves
2004-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-06,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-07,-0.0009946711781424,-0.0009946711781424,-0.0009946711781424,-0.0009946711781424,-0.0009946711781424,-0.0009946711781424
2004-01-08,-0.000603568699911,-0.000603568699911,-0.000603568699911,-0.000603568699911,-0.000603568699911,-0.000603568699911
2004-01-09,0.0005615967974716,0.0005615967974716,0.0005615967974716,0.0005615967974716,0.0005615967974716,0.0005615967974716
2004-01-12,0.0004365568726552,0.0004365568726552,0.0004365568726552,0.0004365568726552,0.0004365568726552,0.0004365568726552
2004-01-13,-7.613669066564022e-05,-7.613669066564022e-05,-7.613669066564022e-05,-7.613669066564022e-05,-7.613669066564022e-05,-7.613669066564022e-05
2004-01-14,0.0001377981255519,0.0001377981255519,0.0001377981255519,0.0001377981255519,0.0001377981255519,0.0001377981255519
2004-01-15,0.0001951515806337,0.0001951515806337,0.0001951515806337,0.0001951515806337,0.0001951515806337,0.0001951515806337
2004-01-16,-0.0032430072570734,-0.0032430072570734,-0.0032430072570734,-0.0032430072570734,-0.0032430072570734,-0.0032430072570734
2004-01-20,0.0007216705014814,0.0007216705014814,0.0007216705014814,0.0007216705014814,0.0007216705014814,0.0007216705014814
2004-01-21,0.0062403535439017,0.0062403535439017,0.0062403535439017,0.0062403535439017,0.0062403535439017,0.0062403535439017
2004-01-22,-0.0035687700102645,-0.0035687700102645,-0.0035687700102645,-0.0035687700102645,-0.0035687700102645,-0.0035687700102645
2004-01-23,-0.0087328808401291,-0.0087328808401291,-0.0087328808401291,-0.0087328808401291,-0.0087328808401291,-0.0087328808401291
2004-01-26,0.0058374593715926,0.0058374435494706394,0.0058374435494706394,0.0058374435494706394,0.0058374435494706394,0.0058374435494706394
2004-01-27,-0.0080730542109628,-0.008073054337954343,-0.008073054337954343,-0.008073054337954343,-0.008073054337954343,-0.008073054337954343
2004-01-28,-0.0123058680246015,-0.012305868219751924,-0.012305868219751924,-0.012305868219751924,-0.012305868219751924,-0.012305868219751924
2004-01-29,-0.0016173233456259,-0.0016173233715934886,-0.0016173233715934886,-0.0016173233715934886,-0.0016173233715934886,-0.0016173233715934886
2004-01-30,-0.0004025440938728,-0.0004025441003464794,-0.0004025441003464794,-0.0004025441003464794,-0.0004025441003464794,-0.0004025441003464794
2004-02-02,-2.5288884982654913e-05,-2.5300169292891634e-05,-2.5300169292891634e-05,-2.5300169292891634e-05,-2.5300169292891634e-05,-2.5300169292891634e-05
2004-02-03,-0.0022364812049311,-0.002236495163437484,-0.002236495163437484,-0.002236495163437484,-0.002236495163437484,-0.002236495163437484
2004-02-04,-0.0035503609409743,-0.0035504204403369244,-0.0035504204403369244,-0.0035504204403369244,-0.0035504204403369244,-0.0035504204403369244
2004-02-05,0.0075844977077372,0.007584498474333834,0.007584498474333834,0.007584498474333834,0.007584498474333834,0.007584498474333834
2004-02-06,0.0133609941571697,0.013360995497455386,0.013360995497455386,0.013360995497455386,0.013360995497455386,0.013360995497455386
2004-02-09,-0.0011680138112296,-0.001168058227406045,-0.001168058227406045,-0.001168058227406045,-0.001168058227406045,-0.001168058227406045
2004-02-10,0.0023912908289209,0.0023912911719726803,0.0023912911719726803,0.0023912911719726803,0.0023912911719726803,0.0023912911719726803
2004-02-11,0.010927507404234,0.010927437369870376,0.010927437369870376,0.010927437369870376,0.010927437369870376,0.010927437369870376
2004-02-12,-0.0019335226765747,-0.0019335230872432082,-0.0019335230872432082,-0.0019335230872432082,-0.0019335230872432082,-0.0019335230872432082
2004-02-13,-0.0066685597841515,-0.006668561203257092,-0.006668561203257092,-0.006668561203257092,-0.006668561203257092,-0.006668561203257092
2004-02-17,0.0098314736673008,0.009831475773537138,0.009831475773537138,0.009831475773537138,0.009831475773537138,0.009831475773537138
