date,return,nav,cost,turnover,gross
2025-07-01,-0.00987915556457497,0.990120844435425,0.0004997501249375312,0.9995002498750625,1.0
2025-07-02,0.0055986907232443706,0.9956642248220566,0.0,0.0,1.0
2025-07-03,0.010326859229839336,1.0059463091119811,0.0,0.0,1.0
2025-07-07,-0.003910704375366336,1.0020123504795533,0.0,0.0,1.0
2025-07-08,-0.007406101035136503,0.9945913457734471,0.0,0.0,1.0
2025-07-09,0.007461360625790725,1.0020123504795533,0.0,0.0,1.0
2025-07-10,0.0030338220391143977,1.005052277631903,0.0,0.0,1.0
2025-07-11,-0.002135108511298389,1.0029063819596313,0.0,0.0,1.0
2025-07-14,0.007845390712927003,1.0107745743745926,0.0,0.0,1.0
2025-07-15,-0.002830717383884962,1.0079133572157215,0.0,0.0,1.0
2025-07-16,0.0013306889717565884,1.0092545764046545,0.0,0.0,1.0
2025-07-17,0.007264216103834764,1.0165860197514422,0.0,0.0,1.0
2025-07-18,0.0011434747137406553,1.0177484601593703,0.0,0.0,1.0
2025-07-21,0.001844880530873505,1.0196260844788447,0.0,0.0,1.0
2025-07-22,-0.010347279069575888,1.0090757288361232,0.0,0.0,1.0
2025-07-23,0.013290811426025284,1.0224871640626632,0.0,0.0,1.0
2025-07-24,-0.00017498151795547479,1.0223082477066054,0.0,0.0,1.0
2025-07-25,0.00603472278574646,1.028477594583097,0.0,0.0,1.0
2025-07-28,0.0024340011609527146,1.0309809102423262,0.0,0.0,1.0
2025-07-29,-0.003468797006653146,1.027404646746961,0.0,0.0,1.0
2025-07-30,0.004438228257190868,1.0319645030817226,0.0,0.0,1.0
2025-07-31,0.0023392562852764254,1.0343785325317387,0.0,0.0,1.0
2025-08-01,-0.021263594031321276,1.01238392734127,0.0,0.0,1.0
2025-08-04,0.01783972075245388,1.0304445738993109,0.0,0.0,1.0
2025-08-05,-0.004425201740868578,1.025884648777023,0.0,0.0,1.0
2025-08-06,0.014380355184701932,1.0406372344049697,0.0,0.0,1.0
2025-08-07,-8.593175537952025e-05,1.040547810620704,0.0,0.0,1.0
