date,nav,return
2008-01-02,0.9992929441884354,-0.0007070558115646053
2008-01-03,0.9976430628716576,-0.0016510487003565943
2008-01-04,0.9954433173293711,-0.0022049424530199424
2008-01-07,0.9952351200710801,-0.0002091502897920705
2008-01-08,0.9947673912677653,-0.0004699681450965887
2008-01-09,0.9942610633413174,-0.0005089912786572226
2008-01-10,0.9944365519062717,0.00017650149585923813
2008-01-11,0.9925363634674139,-0.0019108191821943787
2008-01-14,0.9947372117267991,0.002217398112948299
2008-01-15,0.9896422552070196,-0.005121912058497213
2008-01-16,0.9878538350005095,-0.0018071380815646299
2008-01-17,0.9832818347653572,-0.00462821530186186
2008-01-18,0.9812603570350493,-0.0020558477323954216
2008-01-22,0.9723757672698565,-0.009054263429165932
2008-01-23,0.9818973812330511,0.009792113587865803
2008-01-24,0.98756090344693,0.005767936978064547
2008-01-25,0.984400644337138,-0.0032000650276470255
2008-01-28,0.9875675381411062,0.003217078150228758
2008-01-29,0.9897759645877449,0.0022362282693044744
2008-01-30,0.9883908353308678,-0.0013994371518750715
2008-01-31,0.9914652184664683,0.0031104933652803535
2008-02-01,0.9958349444375874,0.004407341669411036
2008-02-04,0.9922704330378562,-0.0035794198824226076
2008-02-05,0.9834324506191816,-0.008906828344785955
2008-02-06,0.9840046503621149,0.0005818393958558765
2008-02-07,0.9809540238214148,-0.0031002155727388736
2008-02-08,0.9792077694364331,-0.0017801592557611379
2008-02-11,0.9795632320789033,0.00036301043921938003
2008-02-12,0.9846886815514725,0.0052323824585489564
2008-02-13,0.9849170935516947,0.0002319636698395744
2008-02-14,0.9845977731764569,-0.0003242104105293242
2008-02-15,0.9851133803228164,0.0005236728747577413
2008-02-19,0.9868578793829725,0.001770861197301521
2008-02-20,0.9855771611978976,-0.0012977736833551523
2008-02-21,0.9862159109829511,0.0006480971862996565
2008-02-22,0.9866588940544123,0.00044917453321113854
2008-02-25,0.990588579023616,0.0039828201953926445
2008-02-26,0.9938162321023551,0.0032583184856831426
2008-02-27,0.9931988173737794,-0.0006212564341696591
2008-02-28,0.9919553509055101,-0.0012519814225687709
2008-02-29,0.9891943403156904,-0.002783402082865205
2008-03-03,0.9875342397983613,-0.0016782349531027085
2008-03-04,0.9857303306310042,-0.0018266801237447616
2008-03-05,0.9823429537181659,-0.0034364133958116883
2008-03-06,0.9844500504394662,0.0021449705658547202
2008-03-07,0.9840867022641822,-0.0003690874667758859
2008-03-10,0.9870060233079533,0.0029665282917190616
2008-03-11,0.9857183671558858,-0.0013046082006186177
2008-03-12,0.9839522836234084,-0.001791671527409111
2008-03-13,0.9808166054251395,-0.003186819371689187
2008-03-14,0.9792173393538413,-0.0016305454683905873
2008-03-17,0.9835773174438887,0.004452513160075888
2008-03-18,0.9875276388301029,0.0040162794689899695
2008-03-19,0.9885739052096256,0.0010594806042716343
2008-03-20,0.995864645360734,0.007375007688031676
2008-03-24,0.9972580209305333,0.0013991615992097195
2008-03-25,0.9975057101072531,0.00024837020261681
2008-03-26,0.995791170548725,-0.0017188268108697669
2008-03-27,0.9961816251632545,0.00039210491725327756
2008-03-28,0.9956621520281564,-0.0005214642811876002
2008-03-31,0.9961721837444097,0.0005122537953405892
2008-04-01,0.9988390609337916,0.0026771247309451685
2008-04-02,0.9996964299533356,0.0008583655296203752
2008-04-03,0.9998623497482522,0.00016597017849129259
2008-04-04,0.9991819399829309,-0.0006805034367906027
2008-04-07,0.999516218471071,0.00033455217189559683
2008-04-08,1.000070501201982,0.0005545510124476127
2008-04-09,0.9994277742722348,-0.0006426816199204266
2008-04-10,0.9995277170496621,9.999999999998899e-05
2008-04-11,0.999627669821367,9.999999999976694e-05
2008-04-14,0.9997276325883493,0.00010000000000021103
2008-04-15,0.9998276053516081,9.999999999998899e-05
2008-04-16,0.9999275881121432,9.999999999998899e-05
2008-04-17,1.0000275808709544,9.999999999998899e-05
2008-04-18,1.0001275836290415,9.999999999998899e-05
2008-04-21,1.0002275963874045,0.00010000000000021103
2008-04-22,1.000327619147043,9.99999999995449e-05
2008-04-23,1.0004276519089579,0.00010000000000021103
2008-04-24,1.0005276946741488,9.999999999998899e-05
2008-04-25,1.000627747443616,9.999999999976694e-05
2008-04-28,1.0007278102183605,0.00010000000000021103
2008-04-29,1.0008278829993824,9.999999999998899e-05
2008-04-30,1.0009279657876824,9.999999999998899e-05
2008-05-01,1.001028058584261,9.999999999976694e-05
2008-05-02,1.0011281613901195,9.999999999998899e-05
2008-05-05,1.0012282742062584,9.999999999976694e-05
2008-05-06,1.001328397033679,9.999999999998899e-05
2008-05-07,1.0014285298733823,9.999999999976694e-05
2008-05-08,1.0015286727263697,9.999999999998899e-05
2008-05-09,1.0016288255936425,0.00010000000000021103
2008-05-12,1.0017289884762017,9.999999999976694e-05
2008-05-13,1.0018291613750496,0.00010000000000021103
