date,nav,return
2008-01-02,0.999704597775297,-0.0002954022247030341
2008-01-03,0.9982585662042724,-0.0014464588581891702
2008-01-04,0.9960743274421943,-0.002188049104735912
2008-01-07,0.9958832573988943,-0.0001918230778927832
2008-01-08,0.9954323288800998,-0.00045279254917107714
2008-01-09,0.9951499963535919,-0.00028362804614301407
2008-01-10,0.995362731937242,0.0002137723804749303
2008-01-11,0.9934973584000136,-0.0018740640747095805
2008-01-14,0.9957366832991436,0.0022539817345224034
2008-01-15,0.9906734108389099,-0.0050849512176830425
2008-01-16,0.9889182546146418,-0.001771679955336447
2008-01-17,0.9843767084096772,-0.004592438438437263
2008-01-18,0.9823879344651593,-0.0020203382785548563
2008-01-22,0.9736719525365144,-0.008872240408154153
2008-01-23,0.983418954144979,0.010010560110181643
2008-01-24,0.9891333403690221,0.005810734275516705
2008-01-25,0.9859989369093017,-0.0031688381452706915
2008-01-28,0.989203441850011,0.003250008514972702
2008-01-29,0.9914503326427309,0.002271414248739223
2008-01-30,0.9900969620058624,-0.0013650412857909577
2008-01-31,0.9932096539905593,0.0031438254071507465
2008-02-01,0.9976220245285599,0.004442536900716165
2008-02-04,0.9940836378248004,-0.0035468209569968767
2008-02-05,0.9852576430843687,-0.008878523299854502
2008-02-06,0.9858641394374779,0.0006155713252937733
2008-02-07,0.9829972342891282,-0.0029080124062382806
2008-02-08,0.9812605866289148,-0.0017666862119599669
2008-02-11,0.9818383447940893,0.0005887917776861151
2008-02-12,0.9870169741154033,0.005274421546858754
2008-02-13,0.987282956393488,0.0002694809563159595
2008-02-14,0.9869986878961337,-0.00028793011721051087
2008-02-15,0.9875522482791779,0.0005608521975082326
2008-02-19,0.9893389698911094,0.001809242614803308
2008-02-20,0.9880909352578557,-0.0012614833451783936
2008-02-21,0.9889405276581331,0.0008598321975858969
2008-02-22,0.9895971158386406,0.0006639309059992549
2008-02-25,0.9935804912431343,0.004025249609906023
2008-02-26,0.9968597501110772,0.0033004461106518335
2008-02-27,0.9964445198819678,-0.0004165382633445347
2008-02-28,0.995207570101285,-0.0012413634236548843
2008-02-29,0.9926679055795484,-0.0025518942962603486
2008-03-03,0.9910589786115103,-0.001620810906643344
2008-03-04,0.9894509990931766,-0.0016224862021698705
2008-03-05,0.9860992956254157,-0.003387437549542849
2008-03-06,0.9882451845139595,0.0021761387499854568
2008-03-07,0.988125182004868,-0.00012142989510288693
2008-03-10,0.9911012680032741,0.003011851183033043
2008-03-11,0.9900800497729012,-0.0010303873714442302
2008-03-12,0.9883870853034962,-0.001709926858735722
2008-03-13,0.9853255522349981,-0.003097504119611183
2008-03-14,0.9837982934262033,-0.0015500042654232882
2008-03-17,0.98824149622491,0.004516375794099803
2008-03-18,0.992291300252501,0.004097990261551665
2008-03-19,0.9934034860634574,0.0011208259214541272
2008-03-20,1.0009221723860653,0.007568612782306694
2008-03-24,1.0023645641889205,0.0014410628944474535
2008-03-25,1.0026557314283995,0.00029048037997481124
2008-03-26,1.0009741689500478,-0.001677108528523652
2008-03-27,1.0014143021731314,0.00043970487624611643
2008-03-28,1.0009325109169098,-0.0004811108201431269
2008-03-31,1.001487899938346,0.0005548715976140262
2008-04-01,1.0042142836348387,0.0027223331371855064
2008-04-02,1.0051191978155054,0.0009011166196435383
2008-04-03,1.0055009453804358,0.0003798032768254078
2008-04-04,1.0048415943284252,-0.0006557438409579008
2008-04-07,1.005203054473991,0.00035971853435001755
2008-04-08,1.0057856676560375,0.0005795975046567481
2008-04-09,1.0053405025757458,-0.000442604318799944
2008-04-10,1.0054410366260034,9.999999999998899e-05
2008-04-11,1.005541580729666,9.999999999998899e-05
2008-04-14,1.0056421348877391,0.00010000000000021103
2008-04-15,1.005742699101228,9.999999999998899e-05
2008-04-16,1.005843273371138,9.999999999998899e-05
2008-04-17,1.0059438576984752,9.999999999998899e-05
2008-04-18,1.0060444520842449,9.999999999976694e-05
2008-04-21,1.0061450565294534,0.00010000000000021103
2008-04-22,1.0062456710351062,9.999999999976694e-05
2008-04-23,1.00634629560221,0.00010000000000021103
2008-04-24,1.0064469302317702,9.999999999998899e-05
2008-04-25,1.0065475749247932,9.999999999976694e-05
2008-04-28,1.0066482296822858,0.00010000000000021103
2008-04-29,1.006748894505254,9.999999999998899e-05
2008-04-30,1.0068495693947046,9.999999999998899e-05
2008-05-01,1.006950254351644,9.999999999998899e-05
2008-05-02,1.0070509493770792,9.999999999998899e-05
2008-05-05,1.007151654472017,9.999999999998899e-05
2008-05-06,1.007252369637464,9.999999999976694e-05
2008-05-07,1.0073530948744278,9.999999999998899e-05
2008-05-08,1.0074538301839153,9.999999999998899e-05
2008-05-09,1.007554575566934,0.00010000000000021103
2008-05-12,1.0076553310244905,9.999999999976694e-05
2008-05-13,1.007756096557593,9.999999999998899e-05
2008-05-14,1.0078568721672485,9.999999999976694e-05
2008-05-15,1.0079576578544653,0.00010000000000021103
2008-05-16,1.0080584536202508,9.999999999998899e-05
2008-05-19,1.0081592594656128,9.999999999998899e-05
2008-05-20,1.0082600753915594,9.999999999998899e-05
2008-05-21,1.0083609013990986,9.999999999998899e-05
2008-05-22,1.0084617374892384,9.999999999976694e-05
2008-05-23,1.0085625836629875,0.00010000000000021103
2008-05-27,1.0086634399213537,9.999999999998899e-05
2008-05-28,1.0087643062653457,9.999999999998899e-05
2008-05-29,1.0088651826959723,9.999999999998899e-05
2008-05-30,1.008966069214242,9.999999999998899e-05
2008-06-02,1.0090669658211633,9.999999999998899e-05
2008-06-03,1.0091678725177455,0.00010000000000021103
2008-06-04,1.0092687893049972,9.999999999998899e-05
2008-06-05,1.0104318929724543,0.0011524221097316545
2008-06-06,1.008392515698354,-0.002018322351347135
2008-06-09,1.0093504060622425,0.0009499181608116913
2008-06-10,1.0091041357083137,-0.0002439889580958532
2008-06-11,1.0092035659314893,9.853316387986588e-05
2008-06-12,1.009758524746872,0.0005498977947731021
2008-06-13,1.009899123477938,0.00013923995452391758
2008-06-16,1.0092211159120454,-0.0006713616737853423
2008-06-17,1.0090564038337475,-0.0001632071264671131
2008-06-18,1.0086528567478392,-0.0003999252017776733
2008-06-19,1.0074499339117584,-0.001192603409620352
2008-06-20,1.007631061405888,0.0001797880847800304
2008-06-23,1.0082833319303914,0.0006473307041501286
2008-06-24,1.0085325793528295,0.00024719978456921865
2008-06-25,1.0078234265415977,-0.0007031531015951886
2008-06-26,1.0075839673270262,-0.00023760036556530473
2008-06-27,1.0068616174554914,-0.000716912828070293
2008-06-30,1.0083915207272596,0.0015194772004860635
2008-07-01,1.0066510568734963,-0.001725980254681292
2008-07-02,1.006058280828003,-0.0005888595074190484
2008-07-03,1.0062723332931365,0.0002127634841964099
2008-07-07,1.0049318482557066,-0.0013321294773582792
2008-07-08,1.006079743386138,0.001142261669210498
2008-07-09,1.005705841576946,-0.00037164231925945757
2008-07-10,1.0041079093497747,-0.001588866407165046
2008-07-11,1.003246811654673,-0.0008575748553352192
2008-07-14,1.0024092871048516,-0.0008348140657833403
2008-07-15,1.0000760520430685,-0.002327627139730448
2008-07-16,1.0012311648686658,0.0011550249835874382
2008-07-17,1.0037310964259991,0.0024968575140797977
2008-07-18,1.0087192440493016,0.004969605545811939
2008-07-21,1.0082686802882688,-0.00044666914375912636
2008-07-22,1.0118873630198586,0.0035890063852377363
2008-07-23,1.0113581792011501,-0.0005229671187207963
2008-07-24,1.0111034849145657,-0.0002518339118843249
2008-07-25,1.0089755990255846,-0.0021045184006668327
2008-07-28,1.008169298933554,-0.0007991274445182661
2008-07-29,1.0058380790362034,-0.0023123297841112223
2008-07-30,1.0105781200025945,0.004712528850501441
2008-07-31,1.0092790107895284,-0.0012855109242447815
2008-08-01,1.0080670574514041,-0.0012008109998999927
2008-08-04,1.009073257270808,0.000998147704526664
2008-08-05,1.0119436996159423,0.002844632264755287
2008-08-06,1.0103683920576731,-0.0015567146263839593
2008-08-07,1.0102842464552604,-8.328210093888622e-05
2008-08-08,1.0114228162235537,0.0011269796320076964
2008-08-11,1.012778412861958,0.001340286788729772
2008-08-12,1.01072602745933,-0.0020264900757790416
2008-08-13,1.0086755873248041,-0.002028680452288323
2008-08-14,1.0086186007163347,-5.649646842409428e-05
2008-08-15,1.0096235371210653,0.000996349268213903
2008-08-18,1.0080675018488408,-0.0015412034436732558
2008-08-19,1.0060762840106905,-0.0019752822449868868
2008-08-20,1.008117410598774,0.002028799028982897
2008-08-21,1.0090212723501244,0.0008965838124088688
2008-08-22,1.0084088022667188,-0.0006069942232030945
2008-08-25,1.0085865385250243,0.00017625417182598468
2008-08-26,1.0096574949722634,0.001061838926390335
2008-08-27,1.0093296169094792,-0.0003247418698092419
2008-08-28,1.010465109102886,0.001124996407896539
2008-08-29,1.0104840027724697,1.8697993046545847e-05
2008-09-02,1.0120106885226083,0.001510846036107294
2008-09-03,1.011852118239097,-0.00015668834856175096
2008-09-04,1.0106923939527606,-0.001146140098371884
2008-09-05,1.0053054012774056,-0.0053300021921474094
2008-09-08,1.0076599987916153,0.0023421713553093415
2008-09-09,1.0056152471080329,-0.0020292079531136764
2008-09-10,1.0050311468642048,-0.000580838691047858
2008-09-11,1.0048733432399097,-0.00015701366548437345
2008-09-12,1.0039137068080812,-0.0009549824744424784
2008-09-15,1.0018413822747068,-0.002064245680999166
2008-09-16,1.0031848133874113,0.0013409618892505915
2008-09-17,0.99213927372007,-0.011010473364368667
2008-09-18,1.0011633040995478,0.009095527834153572
2008-09-19,1.0050371775595912,0.0038693722034963685
2008-09-22,1.004258260135368,-0.000775013543394043
2008-09-23,1.004681023424942,0.0004209706868798513
2008-09-24,1.0073022522540336,0.002609015964246897
2008-09-25,1.0074071892528385,0.00010417627734882196
2008-09-26,1.0080796539908408,0.000667520288892387
2008-09-29,1.0004923126020002,-0.00752652963364886
2008-09-30,1.0006768380375184,0.00018443463602269006
2008-10-01,1.0027836776470738,0.0021054145848795613
2008-10-02,0.9975607869612525,-0.005208392200874545
2008-10-03,0.9985800410235564,0.001021746319248118
2008-10-06,0.9931127318287678,-0.005475083588877383
2008-10-07,0.9921797737396085,-0.000939428182983093
2008-10-08,0.992334954413632,0.00015640378702586055
