date,tier,fired_categories,magnitude_fired,structural_fired,index_return,mean_abs_corr_raw
2015-03-31,armed,,False,False,-0.009476703709484143,0.3750547420362347
2015-04-01,armed,,False,False,-0.004883085355303261,0.3766356099060227
2015-04-02,armed,,False,False,0.0013275402597371542,0.36658781616757685
2015-04-06,armed,,False,False,0.007597727141089386,0.3636634541546524
2015-04-07,armed,,False,False,0.00013786728557176075,0.3631960592062997
2015-04-08,armed,,False,False,0.00561061683535542,0.3484086734338974
2015-04-09,armed,,False,False,0.005386758834411509,0.34756297726531216
2015-04-10,armed,,False,False,0.007349433650110548,0.3434725139715066
2015-04-13,armed,,False,False,-0.003263723289728923,0.33845805918105365
2015-04-14,armed,,False,False,-0.00033517045101546497,0.3385801014795435
2015-04-15,armed,,False,False,0.007701397107873805,0.3330498125690562
2015-04-16,armed,,False,False,0.002900514940292965,0.3275378404487318
2015-04-17,armed,,False,False,-0.01631968944470511,0.32675765244475946
2015-04-20,armed,,False,False,0.01066484530108863,0.33907939467702874
2015-04-21,armed,,False,False,0.0007815929802389679,0.3348198687466906
2015-04-22,armed,,False,False,0.005632970042465005,0.3347077148579038
2015-04-23,armed,,False,False,-0.000879216604499247,0.33448982731789495
2015-04-24,armed,,False,False,-0.00026524781896590234,0.3232877034516385
2015-04-27,armed,,False,False,-0.0017516393619720128,0.3172100147062785
2015-04-28,armed,,False,False,0.0026917973249217415,0.31582092207373935
2015-04-29,armed,,False,False,-0.0006374959501457419,0.3118635166226534
2015-04-30,armed,,False,False,-0.012698462329174678,0.3062605401250632
2015-05-01,armed,,False,False,0.013120452900658068,0.3046965354804221
2015-05-04,armed,,False,False,0.002048375305572992,0.31004239480453444
2015-05-05,armed,,False,False,-0.013192159967825344,0.30627092373033016
2015-05-06,armed,,False,False,-0.003249636197969825,0.3182119176773477
2015-05-07,armed,,False,False,0.006559765871222122,0.31877309215898086
2015-05-08,armed,,False,False,0.011410675151974182,0.3120623893810913
2015-05-11,armed,,False,False,-0.0015185116882697235,0.31719289866563866
2015-05-12,armed,,False,False,-0.0037165966650416125,0.3165025274059825
2015-05-13,armed,,False,False,0.003294859866864908,0.3161799494441995
2015-05-14,armed,,False,False,0.01297300515507812,0.3173161022216086
2015-05-15,armed,,False,False,-0.0008934536549818491,0.32540049053505576
2015-05-18,armed,,False,False,0.005433474313582387,0.32922600231318383
2015-05-19,armed,,False,False,-0.0029119016758667074,0.3290042833272381
2015-05-20,armed,,False,False,0.00017941098209437386,0.3267875765165179
2015-05-21,armed,,False,False,0.004137275193314455,0.3283739603467192
2015-05-22,armed,,False,False,-0.0013447185018862111,0.33022371076272306
2015-05-26,armed,,False,False,-0.009435393267844436,0.33311066687043034
2015-05-27,armed,,False,False,0.014164367650196652,0.33811550191750456
2015-05-28,armed,,False,False,0.0015768483427913598,0.34200858173215753
2015-05-29,armed,,False,False,-0.005336039771740809,0.338855710850878
2015-06-01,armed,,False,False,0.002942694736833551,0.3389787071406556
2015-06-02,armed,,False,False,-0.0013526551059925768,0.34170431795388784
2015-06-03,armed,,False,False,0.0038004809915062584,0.33096884434129326
2015-06-04,armed,,False,False,-0.008976642422834932,0.33084596178570785
2015-06-05,armed,,False,False,0.0020178978293366977,0.3161550212784577
2015-06-08,armed,,False,False,-0.009086204974492995,0.3163571046737987
2015-06-09,armed,,False,False,0.0017199226162159158,0.32207237856038
2015-06-10,armed,,False,False,0.014270682119649263,0.3212429137080238
2015-06-11,armed,,False,False,0.0009568360570219935,0.321405378947314
2015-06-12,armed,,False,False,-0.006857257576251581,0.32168803111551275
2015-06-15,armed,,False,False,-0.004733329664417598,0.32247753744131646
2015-06-16,armed,,False,False,0.006233057306293735,0.3266244094994661
2015-06-17,armed,,False,False,0.0029533520816979737,0.3260857745262859
2015-06-18,armed,,False,False,0.010656364915182478,0.32477280009868215
2015-06-19,armed,,False,False,-0.004837504965454568,0.32667428279473065
2015-06-22,armed,,False,False,0.0057068130135384055,0.2930568997763685
2015-06-23,armed,,False,False,2.96183564248299e-05,0.29874178310331007
2015-06-24,armed,,False,False,-0.008898198373589168,0.3002287531027965
2015-06-25,armed,,False,False,-0.003081290669151551,0.29977406378000276
2015-06-26,armed,,False,False,-0.010643360156010664,0.2941970282447167
2015-06-29,armed,,False,False,-0.023374884979435327,0.29500100215058284
2015-06-30,armed,,False,False,0.0022665933976186428,0.3301586139110094
2015-07-01,armed,,False,False,0.00685176631918117,0.32767092653536906
2015-07-02,armed,,False,False,0.0016956360384069711,0.3301556025118851
2015-07-06,armed,,False,False,-0.006863046767338889,0.32907619719644216
2015-07-07,armed,,False,False,-0.0014977255622916383,0.33135165544935163
2015-07-08,armed,,False,False,-0.017640493576868168,0.3282447252728246
2015-07-09,armed,,False,False,-0.0014640392862033007,0.3459475289875895
2015-07-10,armed,,False,False,0.01292497108643043,0.3473894403709009
2015-07-13,armed,,False,False,0.011840145482160015,0.35877217511222564
2015-07-14,armed,,False,False,0.008623147555244768,0.3713024299054341
2015-07-15,armed,,False,False,-0.003681181300802617,0.3616004084681
2015-07-16,armed,,False,False,0.0105503147784381,0.35612435843455964
2015-07-17,armed,,False,False,0.004310847365791655,0.3590996926726971
2015-07-20,armed,,False,False,-0.002126077760243916,0.34580268458937147
2015-07-21,armed,,False,False,-0.00308604794201031,0.350397837922306
