date,n_tickers,k_ev,k_mp,mp_lambda_max,ari_spectral_vs_sponge
2015-06-25,63,28,3,4.099390153191921,0.2921171368221075
2015-07-27,63,27,3,4.099390153191921,0.18861100894936864
2015-08-25,63,27,3,4.099390153191921,0.15899395782589387
2015-09-24,63,28,3,4.099390153191921,0.1501605334650531
2015-10-23,63,28,3,4.099390153191921,0.22861294423926865
2015-11-23,63,27,3,4.099390153191921,0.18706293706293706
2015-12-23,63,28,3,4.099390153191921,0.1333755942947702
2016-01-26,64,28,3,4.132257784643955,0.16795450897668127
2016-02-25,64,26,3,4.132257784643955,0.15207594784594122
2016-03-28,64,26,3,4.132257784643955,0.2354948805460751
2016-04-26,64,26,3,4.132257784643955,0.27979870150041936
2016-05-25,64,27,3,4.132257784643955,0.2722605486924434
2016-06-24,64,26,3,4.132257784643955,0.33102630955202655
2016-07-26,64,27,3,4.132257784643955,0.2046358368367231
2016-08-24,64,28,3,4.132257784643955,0.19879962691106695
2016-09-23,64,28,2,4.132257784643955,0.13748674068312
2016-10-24,64,28,3,4.132257784643955,0.08700246565692145
2016-11-22,64,27,2,4.132257784643955,0.04789075571936372
2016-12-22,64,26,2,4.132257784643955,0.17378096441231522
2017-01-25,65,25,2,4.164999332799465,0.1346153846153846
2017-02-24,65,27,2,4.164999332799465,0.17832540302535332
2017-03-27,65,28,3,4.164999332799465,0.21496074063658632
2017-04-26,65,29,3,4.164999332799465,0.18966300889552626
2017-05-25,65,28,2,4.164999332799465,0.24518965104866844
2017-06-26,65,27,2,4.164999332799465,0.12539931594215986
2017-07-26,65,25,2,4.164999332799465,0.19578584283143372
2017-08-24,65,26,2,4.164999332799465,0.23872106927727674
2017-09-25,65,28,2,4.164999332799465,0.17177833355271818
2017-10-24,65,29,3,4.164999332799465,0.13832142179495288
2017-11-22,65,29,3,4.164999332799465,0.22229219143576825
2017-12-22,65,27,2,4.164999332799465,0.1790713878507633
2018-01-25,65,26,3,4.164999332799465,0.061428549851224194
2018-02-26,65,26,2,4.164999332799465,0.1236429897427562
2018-03-27,65,29,2,4.164999332799465,0.1272182664437372
2018-04-26,65,28,2,4.164999332799465,0.1529778838212352
2018-05-25,65,28,3,4.164999332799465,0.15888646102329804
2018-06-26,65,27,3,4.164999332799465,0.27871759305601235
2018-07-26,65,27,3,4.164999332799465,0.25170411512244384
2018-08-24,65,27,3,4.164999332799465,0.11085349949282712
2018-09-25,65,27,3,4.164999332799465,0.21707049556286767
2018-10-24,65,27,2,4.164999332799465,0.15424089105292685
2018-11-23,65,27,2,4.164999332799465,0.1277258566978193
2018-12-26,65,27,3,4.164999332799465,0.13273106323835998
2019-01-28,66,26,3,4.197617696340304,0.0769571668047554
2019-02-27,66,27,3,4.197617696340304,0.15066219057807947
2019-03-28,66,27,3,4.197617696340304,0.06223572604127105
2019-04-29,66,27,3,4.197617696340304,0.12030353244056297
2019-05-29,66,28,3,4.197617696340304,0.11555455794196653
2019-06-27,66,27,2,4.197617696340304,0.19118334991877386
2019-07-29,66,27,2,4.197617696340304,0.11865436803865752
2019-08-27,66,27,2,4.197617696340304,0.19626666666666667
2019-09-26,66,27,2,4.197617696340304,0.23287112561174553
2019-10-25,67,27,2,4.23011566455298,0.13942725522918856
2019-11-25,68,29,2,4.2624959230228425,0.0634007750296668
2019-12-26,68,29,2,4.2624959230228425,0.13717073170731708
2020-01-28,68,28,2,4.2624959230228425,0.13044987021639853
2020-02-27,69,28,2,4.294761058952722,0.1753277948982342
2020-03-27,69,22,3,4.294761058952722,0.04849391155735954
2020-04-28,69,24,3,4.294761058952722,0.1414919762301797
2020-05-28,69,23,3,4.294761058952722,0.1769970566089397
2020-06-26,69,25,3,4.294761058952722,0.07953888267725642
2020-07-28,69,26,3,4.294761058952722,0.12617070153737409
2020-08-26,69,27,3,4.294761058952722,0.11237040678908104
2020-09-25,69,26,2,4.294761058952722,0.12400793932493022
2020-10-26,69,27,2,4.294761058952722,0.2424471870977512
2020-11-24,69,25,3,4.294761058952722,0.1943523224553072
2020-12-24,69,25,3,4.294761058952722,0.15107583203074657
2021-01-27,69,24,3,4.294761058952722,0.16357986466859567
2021-02-26,69,27,3,4.294761058952722,0.11477236735603599
2021-03-29,70,26,3,4.326913566135954,0.07993921976678889
2021-04-28,70,25,3,4.326913566135954,0.18696078986615317
2021-05-27,70,24,3,4.326913566135954,0.18418724362583447
2021-06-28,70,27,3,4.326913566135954,0.16800227677835863
2021-07-28,70,26,2,4.326913566135954,0.08229774838852764
2021-08-26,70,26,3,4.326913566135954,0.08098346704306042
2021-09-27,72,28,3,4.3908902300206645,0.08223322332233224
2021-10-26,72,28,3,4.3908902300206645,0.1753750494933349
2021-11-24,72,28,3,4.3908902300206645,0.10791377155087985
2021-12-27,72,27,3,4.3908902300206645,0.11668823364525456
2022-01-26,73,27,3,4.42271894770324,0.17960252147617686
2022-02-25,73,27,3,4.42271894770324,0.23059187773788742
2022-03-28,73,27,3,4.42271894770324,0.1551433389544688
2022-04-27,73,27,3,4.42271894770324,0.16164402402310618
2022-05-26,73,27,3,4.42271894770324,0.22721275562913082
2022-06-28,73,27,3,4.42271894770324,0.15315060045169301
2022-07-28,73,27,3,4.42271894770324,0.15413500833926674
2022-08-26,73,27,3,4.42271894770324,0.23823749066467514
2022-09-27,73,26,4,4.42271894770324,0.19869008537548558
2022-10-26,73,28,3,4.42271894770324,0.22004273738425292
2022-11-25,73,27,3,4.42271894770324,0.21250337113282905
2022-12-27,73,27,3,4.42271894770324,0.17077140247446648
2023-01-27,73,27,3,4.42271894770324,0.08316807884141578
2023-02-28,73,28,3,4.42271894770324,0.17782441413081498
2023-03-29,73,27,3,4.42271894770324,0.1922471930427236
2023-04-28,73,27,3,4.42271894770324,0.12164564812900558
2023-05-30,73,28,3,4.42271894770324,0.17165068020813742
2023-06-29,73,28,2,4.42271894770324,0.1369493557087204
2023-07-31,73,27,3,4.42271894770324,0.15893234333994752
2023-08-29,73,28,2,4.42271894770324,0.23189934268615717
2023-09-28,73,28,3,4.42271894770324,0.19238158330573038
2023-10-27,73,29,2,4.42271894770324,0.1931922842428881
2023-11-28,73,29,2,4.42271894770324,0.12952182117477015
2023-12-28,73,28,2,4.42271894770324,0.20455736460723903
2024-01-30,73,27,3,4.42271894770324,0.08794507184932278
2024-02-29,73,27,3,4.42271894770324,0.17416715371127994
2024-04-01,73,29,2,4.42271894770324,0.33107818789072535
2024-04-30,73,29,3,4.42271894770324,0.25782911987334883
2024-05-30,73,29,3,4.42271894770324,0.17465788838716348
2024-07-01,73,29,2,4.42271894770324,0.08413344455579132
2024-07-31,73,29,3,4.42271894770324,0.21814249231250327
2024-08-29,73,28,3,4.42271894770324,0.15778804986170575
2024-09-30,74,28,3,4.454444166527691,0.10570011136984915
2024-10-29,74,29,3,4.454444166527691,0.12741425070546722
2024-11-27,74,29,3,4.454444166527691,0.16792422539733504
2024-12-30,74,28,4,4.454444166527691,0.08855572695719244
2025-01-31,74,26,4,4.454444166527691,0.2517497521693668
2025-03-04,74,26,3,4.454444166527691,0.16264353492556546
2025-04-02,74,26,3,4.454444166527691,0.11094720230539641
2025-05-02,74,27,3,4.454444166527691,0.1337956994123783
2025-06-03,74,27,3,4.454444166527691,0.10695134325748967
2025-07-03,74,27,3,4.454444166527691,0.11510720536137144
2025-08-04,75,29,3,4.48606797749979,0.13924462900280327
2025-09-03,75,29,3,4.48606797749979,0.23827185706850776
2025-10-02,75,29,3,4.48606797749979,0.28870775500788187
2025-10-31,75,29,3,4.48606797749979,0.20318220398028858
2025-12-02,75,29,3,4.48606797749979,0.20297432422438658
2026-01-02,75,28,3,4.48606797749979,0.19235160730105832
2026-02-03,75,27,4,4.48606797749979,0.16046783625730995
2026-03-05,75,26,4,4.48606797749979,0.2147515322220532
2026-04-06,75,26,3,4.48606797749979,0.16196044780587096
2026-05-05,75,26,3,4.48606797749979,0.11658548271181027
2026-06-04,75,26,3,4.48606797749979,0.19750730670130584
2026-07-07,75,25,3,4.48606797749979,0.21706247117928307
2026-08-05,75,25,3,4.48606797749979,0.179764019250354
