date,mean_abs_corr_raw
2015-03-31,0.3750547420362347
2015-04-01,0.3766356099060227
2015-04-02,0.36658781616757685
2015-04-06,0.3636634541546524
2015-04-07,0.3631960592062997
2015-04-08,0.3484086734338974
2015-04-09,0.34756297726531216
2015-04-10,0.3434725139715066
2015-04-13,0.33845805918105365
2015-04-14,0.3385801014795435
2015-04-15,0.3330498125690562
2015-04-16,0.3275378404487318
2015-04-17,0.32675765244475946
2015-04-20,0.33907939467702874
2015-04-21,0.3348198687466906
2015-04-22,0.3347077148579038
2015-04-23,0.33448982731789495
2015-04-24,0.3232877034516385
2015-04-27,0.3172100147062785
2015-04-28,0.31582092207373935
2015-04-29,0.3118635166226534
2015-04-30,0.3062605401250632
2015-05-01,0.3046965354804221
2015-05-04,0.31004239480453444
2015-05-05,0.30627092373033016
2015-05-06,0.3182119176773477
2015-05-07,0.31877309215898086
2015-05-08,0.3120623893810913
2015-05-11,0.31719289866563866
2015-05-12,0.3165025274059825
2015-05-13,0.3161799494441995
2015-05-14,0.3173161022216086
2015-05-15,0.32540049053505576
2015-05-18,0.32922600231318383
2015-05-19,0.3290042833272381
2015-05-20,0.3267875765165179
2015-05-21,0.3283739603467192
2015-05-22,0.33022371076272306
2015-05-26,0.33311066687043034
2015-05-27,0.33811550191750456
2015-05-28,0.34200858173215753
2015-05-29,0.338855710850878
2015-06-01,0.3389787071406556
2015-06-02,0.34170431795388784
2015-06-03,0.33096884434129326
2015-06-04,0.33084596178570785
2015-06-05,0.3161550212784577
2015-06-08,0.3163571046737987
2015-06-09,0.32207237856038
2015-06-10,0.3212429137080238
2015-06-11,0.321405378947314
2015-06-12,0.32168803111551275
2015-06-15,0.32247753744131646
2015-06-16,0.3266244094994661
2015-06-17,0.3260857745262859
2015-06-18,0.32477280009868215
2015-06-19,0.32667428279473065
2015-06-22,0.2930568997763685
2015-06-23,0.29874178310331007
2015-06-24,0.3002287531027965
2015-06-25,0.29977406378000276
2015-06-26,0.2941970282447167
2015-06-29,0.29500100215058284
2015-06-30,0.3301586139110094
2015-07-01,0.32767092653536906
2015-07-02,0.3301556025118851
2015-07-06,0.32907619719644216
2015-07-07,0.33135165544935163
2015-07-08,0.3282447252728246
2015-07-09,0.3459475289875895
2015-07-10,0.3473894403709009
2015-07-13,0.35877217511222564
2015-07-14,0.3713024299054341
2015-07-15,0.3616004084681
2015-07-16,0.35612435843455964
2015-07-17,0.3590996926726971
2015-07-20,0.34580268458937147
2015-07-21,0.350397837922306
2015-07-22,0.3604788911126269
2015-07-23,0.35655655586017687
2015-07-24,0.3532312839785861
2015-07-27,0.35267370482589916
2015-07-28,0.3486467730176038
2015-07-29,0.35404170502082494
2015-07-30,0.3550332167695051
2015-07-31,0.33873341014110364
2015-08-03,0.333702672168852
2015-08-04,0.33148666091511614
2015-08-05,0.3248345494125534
2015-08-06,0.3303235547950795
2015-08-07,0.3351594832867531
2015-08-10,0.33049553383355357
2015-08-11,0.3275267974593074
2015-08-12,0.3343338333651994
2015-08-13,0.3310388172437529
2015-08-14,0.33272474815320324
2015-08-17,0.3342415418961861
2015-08-18,0.33518658434563886
2015-08-19,0.337311753059197
2015-08-20,0.335747129933485
2015-08-21,0.3588151096480873
2015-08-24,0.3903170990289679
2015-08-25,0.4404158532401776
2015-08-26,0.4384678733222516
2015-08-27,0.49931452297099804
2015-08-28,0.5155267021119166
2015-08-31,0.5126424189389387
2015-09-01,0.514479889360165
2015-09-02,0.5358119409427298
2015-09-03,0.5435945157273934
2015-09-04,0.5376959023530682
2015-09-08,0.54160089850651
2015-09-09,0.5566701272514706
2015-09-10,0.559014782740805
2015-09-11,0.556079111315053
2015-09-14,0.5501319775142154
2015-09-15,0.5493005398287812
2015-09-16,0.5525062224891975
2015-09-17,0.5537332557593853
2015-09-18,0.550758459602852
2015-09-21,0.5505534797673577
2015-09-22,0.5493300783864508
2015-09-23,0.5528825765951647
2015-09-24,0.5435590656851157
2015-09-25,0.5411016139917492
2015-09-28,0.5353915370716331
2015-09-29,0.5416708955865619
2015-09-30,0.5394417505361414
2015-10-01,0.537149165277326
2015-10-02,0.5293530756518854
2015-10-05,0.5353348193802097
2015-10-06,0.5376435915463493
2015-10-07,0.5324980794937845
2015-10-08,0.5308660646959579
2015-10-09,0.5306346709403272
2015-10-12,0.5298134478490513
2015-10-13,0.5403812515024152
2015-10-14,0.5415795716163665
2015-10-15,0.5322145342538179
2015-10-16,0.5310654080322561
2015-10-19,0.5337104687784534
2015-10-20,0.5389464103490853
2015-10-21,0.5328009486101085
2015-10-22,0.5232184732210345
2015-10-23,0.5184760596226028
2015-10-26,0.5169672977593824
2015-10-27,0.5154114766407397
2015-10-28,0.5103735905765024
2015-10-29,0.5110472919567897
2015-10-30,0.5093499106760713
2015-11-02,0.5058859779727436
2015-11-03,0.50976609376048
2015-11-04,0.5091202993852352
2015-11-05,0.5075081043030323
2015-11-06,0.5004826548324817
2015-11-09,0.49371354782015303
2015-11-10,0.49466854340600086
2015-11-11,0.49293501026631276
2015-11-12,0.49245026473023
2015-11-13,0.49392381942719543
2015-11-16,0.484072412898533
2015-11-17,0.477490909421507
2015-11-18,0.4462717451585033
2015-11-19,0.447435926460955
2015-11-20,0.40732465084162617
