date,mean_abs_corr
2015-06-25,0.12363939821135539
2015-06-26,0.12426371453402796
2015-06-29,0.12651988277161338
2015-06-30,0.12650067188189096
2015-07-01,0.12735765218172432
2015-07-02,0.12788522945408892
2015-07-06,0.12802379584890403
2015-07-07,0.12883602110592587
2015-07-08,0.13090044177654944
2015-07-09,0.1318489011741406
2015-07-10,0.1343966424175529
2015-07-13,0.13348480671616625
2015-07-14,0.13348977041077914
2015-07-15,0.13256944232466192
2015-07-16,0.13130625411026772
2015-07-17,0.13319267674964141
2015-07-20,0.1326893150610471
2015-07-21,0.1341767949222118
2015-07-22,0.13283196453659335
2015-07-23,0.1348265212082255
2015-07-24,0.13709555586257358
2015-07-27,0.13616860155225496
2015-07-28,0.13717089453335365
2015-07-29,0.13877381703083608
2015-07-30,0.1382193132973786
2015-07-31,0.1390905444123207
2015-08-03,0.1377933312715762
2015-08-04,0.1375728459178063
2015-08-05,0.13801442860907237
2015-08-06,0.1362860311150348
2015-08-07,0.13629160057292186
2015-08-10,0.13533141233052137
2015-08-11,0.13684402872964707
2015-08-12,0.13728026216974715
2015-08-13,0.13814922904828492
2015-08-14,0.1380532761655322
2015-08-17,0.1375497773061644
2015-08-18,0.1376904626994563
2015-08-19,0.13778901747624034
2015-08-20,0.13746485279550363
2015-08-21,0.13837381665417034
2015-08-24,0.14027916645678778
2015-08-25,0.1407130928369141
2015-08-26,0.14084434737713192
2015-08-27,0.13995972618022204
2015-08-28,0.1409458426166832
2015-08-31,0.1418804312899507
2015-09-01,0.14098050842440388
2015-09-02,0.14082931316108246
2015-09-03,0.1409661593513217
2015-09-04,0.1402573019293513
2015-09-08,0.14049023941229183
2015-09-09,0.14019425105618863
2015-09-10,0.1395328756293824
2015-09-11,0.1385406597908316
2015-09-14,0.1379948553112386
2015-09-15,0.1384018299223842
2015-09-16,0.1379345855233457
2015-09-17,0.13821663842910503
2015-09-18,0.13655146316753175
2015-09-21,0.13600672256380816
2015-09-22,0.1359487256898044
2015-09-23,0.13182461572823145
2015-09-24,0.13257566083948408
2015-09-25,0.13094505773507842
2015-09-28,0.12983946251741912
2015-09-29,0.12934666135200973
2015-09-30,0.1290250055106057
2015-10-01,0.1302525625551344
2015-10-02,0.13125242233951961
2015-10-05,0.1313731325759527
2015-10-06,0.13107670753860454
2015-10-07,0.1329094378458139
2015-10-08,0.13324994924041242
2015-10-09,0.13291296612541983
2015-10-12,0.1347204853228939
2015-10-13,0.13547359381303284
2015-10-14,0.13598937667700328
2015-10-15,0.140651369309877
2015-10-16,0.1425870789677046
2015-10-19,0.14316489415078598
2015-10-20,0.14476138484487103
2015-10-21,0.14357924242296058
2015-10-22,0.1407071739527519
2015-10-23,0.14042982860228942
2015-10-26,0.14043439738933375
2015-10-27,0.14390120796158934
2015-10-28,0.14181347308481426
2015-10-29,0.14080738260651124
2015-10-30,0.14347984481656317
2015-11-02,0.14249521060319204
2015-11-03,0.143028083153079
2015-11-04,0.1425987220237803
2015-11-05,0.14262211798124158
2015-11-06,0.14149634277641554
2015-11-09,0.14172303891571703
2015-11-10,0.14010039504481595
2015-11-11,0.1417605932942678
2015-11-12,0.14159093255890093
2015-11-13,0.14115485011795706
2015-11-16,0.13958135698687174
2015-11-17,0.1388564616454456
2015-11-18,0.13849021766333477
2015-11-19,0.13852433810880113
2015-11-20,0.13830482458312224
2015-11-23,0.13846519980375419
2015-11-24,0.1380650011625152
2015-11-25,0.13829142501399105
2015-11-27,0.13858835556506904
2015-11-30,0.1392197742076319
2015-12-01,0.14051975383604423
2015-12-02,0.13990877112317876
2015-12-03,0.13999320830162126
2015-12-04,0.138921648090492
2015-12-07,0.13951160982769345
2015-12-08,0.13981073065401847
2015-12-09,0.14003019230192829
2015-12-10,0.1390970231136256
2015-12-11,0.13852301155599903
2015-12-14,0.13740945347194536
2015-12-15,0.13767960064677348
2015-12-16,0.13628089477126182
2015-12-17,0.13602466740705468
2015-12-18,0.13579284076706413
2015-12-21,0.13609023635103804
2015-12-22,0.1347764705989947
2015-12-23,0.13309325396864907
2015-12-24,0.13225002153828766
2015-12-28,0.1321673750097937
2015-12-29,0.13214429019043517
2015-12-30,0.13297487562697907
2015-12-31,0.13372359984304522
2016-01-04,0.1338511969438209
2016-01-05,0.13466133984011622
2016-01-06,0.13410287683350874
2016-01-07,0.13532627116049975
2016-01-08,0.1355384393175076
2016-01-11,0.13496726121845304
2016-01-12,0.1345363415883665
2016-01-13,0.1330133356540137
2016-01-14,0.13208465185825705
2016-01-15,0.13181723840778148
2016-01-19,0.13177333255095958
2016-01-20,0.13317124280951992
2016-01-21,0.13621446753911948
2016-01-22,0.13643797582682024
2016-01-25,0.13476129511121446
2016-01-26,0.13534057103782374
2016-01-27,0.1352783847242981
2016-01-28,0.13518375910556332
2016-01-29,0.13188744125408475
2016-02-01,0.13376238284016753
2016-02-02,0.1341953458094629
2016-02-03,0.1340158234496837
2016-02-04,0.137215118021595
2016-02-05,0.13874751982137795
2016-02-08,0.14220680107654163
2016-02-09,0.14559848549176557
2016-02-10,0.14501890378570592
2016-02-11,0.14616110579506833
2016-02-12,0.14718585350765345
2016-02-16,0.14730485747210698
2016-02-17,0.14936650310519298
2016-02-18,0.15001696191978772
2016-02-19,0.148642087385508
2016-02-22,0.1483738818138432
2016-02-23,0.14797504101606604
2016-02-24,0.1492062221373074
2016-02-25,0.14898172505463209
2016-02-26,0.14757689497838436
2016-02-29,0.14781890613996151
2016-03-01,0.14850172309087442
2016-03-02,0.14853915917854152
2016-03-03,0.15075651490796985
2016-03-04,0.1501753556787889
2016-03-07,0.1498591156986897
2016-03-08,0.149546760958709
2016-03-09,0.15137266475169983
2016-03-10,0.15163003616751497
2016-03-11,0.15222541714273222
2016-03-14,0.15036947350887983
2016-03-15,0.15091813789468758
2016-03-16,0.15144184346159764
2016-03-17,0.15188935689381924
2016-03-18,0.15243975000435625
2016-03-21,0.15219500490015572
2016-03-22,0.15225002153396192
2016-03-23,0.1521544911949459
2016-03-24,0.15167492005305666
2016-03-28,0.15080737119998916
2016-03-29,0.15058796638929842
2016-03-30,0.15025050301919626
2016-03-31,0.15026220611077548
2016-04-01,0.15070439917898815
2016-04-04,0.15082505996444806
2016-04-05,0.14918244633817662
2016-04-06,0.1485024066793741
2016-04-07,0.14923056346374022
2016-04-08,0.14991993451409125
2016-04-11,0.1514792447629454
2016-04-12,0.15135863368685387
2016-04-13,0.15461057779226664
2016-04-14,0.15558441980505724
2016-04-15,0.15554101672128295
2016-04-18,0.15328687700247595
2016-04-19,0.15539223765310187
2016-04-20,0.1550703607211119
2016-04-21,0.1552667821241194
2016-04-22,0.15452534822205413
2016-04-25,0.1542037938769023
2016-04-26,0.15696942763450264
2016-04-27,0.15810258043440428
2016-04-28,0.1578683653496068
2016-04-29,0.1567599187913367
2016-05-02,0.15781932708350463
2016-05-03,0.15614445451860465
2016-05-04,0.1484048869318669
2016-05-05,0.13877753646238522
2016-05-06,0.13868060602386986
2016-05-09,0.1377489569076976
2016-05-10,0.138058010053236
2016-05-11,0.1383464164745015
2016-05-12,0.137937249571283
2016-05-13,0.13983060253206678
2016-05-16,0.14358002219771704
2016-05-17,0.14459171229657988
2016-05-18,0.14735051409708078
2016-05-19,0.1513045237396205
2016-05-20,0.15058354000983357
2016-05-23,0.15146057466413346
2016-05-24,0.15089316650894283
2016-05-25,0.1505965181425177
2016-05-26,0.15074896982542513
2016-05-27,0.15088587571439693
2016-05-31,0.15200846873072568
2016-06-01,0.1540420163719746
2016-06-02,0.1518673473507681
2016-06-03,0.14803322933433335
2016-06-06,0.14725714794295208
2016-06-07,0.14795688707490431
2016-06-08,0.1482881234358157
2016-06-09,0.14822351874822803
2016-06-10,0.14868046071860655
2016-06-13,0.149249415630857
2016-06-14,0.14860249623159277
2016-06-15,0.14789877695943235
2016-06-16,0.14860983313516918
2016-06-17,0.14904188116064762
2016-06-20,0.14837462037248564
2016-06-21,0.14908164005143548
2016-06-22,0.14906742076429408
2016-06-23,0.1484441563428536
2016-06-24,0.14923318911128505
2016-06-27,0.14987002462196744
2016-06-28,0.15129684351834996
2016-06-29,0.15092376219096615
2016-06-30,0.15156449664540989
2016-07-01,0.1510291012222836
2016-07-05,0.15154639631234956
2016-07-06,0.15202217817547028
2016-07-07,0.1518644195550213
2016-07-08,0.1528843219583751
2016-07-11,0.15150363583603454
2016-07-12,0.15208603388507874
2016-07-13,0.1532919161742293
2016-07-14,0.15237273561529763
2016-07-15,0.148745703972497
2016-07-18,0.14912086005389333
2016-07-19,0.1496764540067351
2016-07-20,0.14719249818814872
2016-07-21,0.14764939064229357
2016-07-22,0.14632112218228752
2016-07-25,0.14731763116132698
2016-07-26,0.14966279085162237
2016-07-27,0.1478823042846335
2016-07-28,0.1462362646290087
2016-07-29,0.14524862273748526
2016-08-01,0.14524578506429536
2016-08-02,0.14536562571681289
2016-08-03,0.14450910646776052
2016-08-04,0.14358084611514965
2016-08-05,0.14402472426372795
2016-08-08,0.1440351691408154
2016-08-09,0.1413673775181987
2016-08-10,0.1410260590881029
2016-08-11,0.14005534379331153
2016-08-12,0.13794736442093092
2016-08-15,0.13429600276990808
2016-08-16,0.13692037942092986
2016-08-17,0.13622408172605083
2016-08-18,0.13609187699313832
2016-08-19,0.13486909280957174
2016-08-22,0.13710631241668894
2016-08-23,0.13694492640527012
2016-08-24,0.13792722782771621
2016-08-25,0.13674468612773166
2016-08-26,0.13716622300741368
2016-08-29,0.14019854383190905
2016-08-30,0.14358239854008675
2016-08-31,0.14438186839363398
2016-09-01,0.1452870161780634
2016-09-02,0.14397289622376677
2016-09-06,0.14399485717562088
2016-09-07,0.1433929825431088
2016-09-08,0.14184956721885622
2016-09-09,0.14249399849726496
2016-09-12,0.14550646973728268
2016-09-13,0.14763265659120758
2016-09-14,0.1508408109633555
