date,nav,return,gross_return,cost_return,traded_entry_notional_ratio,EURUSD,GBPUSD,USDJPY
2010-01-01,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,99998.46824542129,-1.5317545787096876e-05,5.801578754619878e-05,7.333333333333334e-05,0.33333333333333337,0.0,0.0,-1.5317545787134562e-05
2010-01-06,99901.22679151269,-0.0009724294343184114,-0.0008990954882738267,7.333394604455006e-05,0.33333333333333337,0.0,0.0,-0.0009724294343183768
2010-01-07,99650.77235758827,-0.002507020603932153,-0.002360297028884147,0.00014672357504801468,0.6666666666666666,0.0,-0.0005171169290373341,-0.001989903674894828
2010-01-08,99650.77235758827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,99650.77235758827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,99650.77235758827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,99515.58915231882,-0.001356569568616628,-0.001283031903081729,7.353766553487894e-05,0.3333333333333333,0.0,-0.001356569568616608,0.0
2010-01-14,99575.94379703424,0.0006064843230042527,0.000680012363861134,7.35280408567706e-05,0.3333333333333333,0.0,0.0,0.0006064843230043634
2010-01-15,99505.27373923418,-0.0007097101479058843,-0.0006362382816476423,7.347186625829366e-05,0.3333333333333333,-0.0007097101479059359,0.0,0.0
2010-01-18,99505.27373923418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,99605.04597551408,0.001002682898409546,0.0010761612980661659,7.347839965656037e-05,0.33333333333333337,0.0,0.0010026828984096054,0.0
2010-01-20,99401.32892186452,-0.0020452483270740895,-0.0018983593622982817,0.00014688896477580392,0.6666666666666667,-0.0015171833985167865,-0.0005280649285572992,0.0
2010-01-21,99378.45527177278,-0.00023011412764639694,-0.0001565477110046694,7.356641664168581e-05,0.3333333333333333,0.0,-0.00023011412764635525,0.0
2010-01-22,99421.05369607909,0.0004286484851250272,0.0005022068809416025,7.355839581659675e-05,0.3333333333333333,0.00042864848512500577,0.0,0.0
2010-01-25,99421.05369607909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,99424.56591542214,3.5326716147920934e-05,0.00010889842144642022,7.357170529848656e-05,0.3333333333333333,3.532671614793367e-05,0.0,0.0
2010-01-27,99424.56591542214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,99513.93106981026,0.000898823681706018,0.0010459267316449787,0.0001471030499389743,0.6666666666666666,0.0,0.000459028226854539,0.00043979545485146534
2010-01-29,99484.93670569854,-0.0002913598508271775,-0.0002178311402537547,7.35287105734702e-05,0.3333333333333333,0.0,0.0,-0.0002913598508272249
2010-02-01,99484.93670569854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,99484.93670569854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,99484.93670569854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-04,99466.6063999746,-0.00018425207203143223,-0.00011071718258470753,7.353488944666025e-05,0.3333333333333333,-0.00018425207203136778,0.0,0.0
2010-02-05,99459.79420493652,-6.848725702657266e-05,7.861234341273911e-05,0.0001470996004392324,0.6666666666666666,-7.354783491103089e-05,5.060577884537588e-06,0.0
2010-02-08,99459.79420493652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-09,99220.70084826631,-0.002403919680122879,-0.002256705666278336,0.00014721401384446562,0.6666666666666666,-0.0012887372326168696,-0.0011151824475059313,0.0
2010-02-10,99220.70084826631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-11,99220.70084826631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-12,99051.98538972436,-0.0017004058336571592,-0.0016268396743385205,7.35661593186274e-05,0.3333333333333333,-0.001700405833657148,0.0,0.0
2010-02-15,99051.98538972436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-16,99119.11004998662,0.0006776710229294824,0.0007513496239592483,7.367860102966185e-05,0.3333333333333333,0.0006776710229295864,0.0,0.0
2010-02-17,99119.11004998662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-18,99111.9611492502,-7.212434345715835e-05,7.52570609286648e-05,0.00014738140438586686,0.6666666666666666,0.0004327743162165526,-0.0005048986596737547,0.0
2010-02-19,99111.9611492502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-22,99111.9611492502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-23,99611.56510027853,0.0050408038064748695,0.00518792787326002,0.00014712406678511183,0.6666666666666667,0.0024768596422778863,0.0025639441641970217,0.0
2010-02-24,99611.56510027853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
