date,nav,return,gross_return,cost_return,traded_entry_notional_ratio,EURUSD,GBPUSD,USDJPY
2010-01-01,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,99969.32581073086,-0.000306741892691309,-0.00023342023036957799,7.332166232181485e-05,0.33333333333333337,-0.00030674189269139283,0.0,0.0
2010-01-05,99969.32581073086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,99969.32581073086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,99958.45375138483,-0.00010875395285370182,0.0001112934067214836,0.00022004735957511148,1.0,0.00012202571973120787,-0.0004795125456005427,0.000248732873015707
2010-01-08,99958.45375138483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,99958.45375138483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,100150.01342777272,0.001916392953259738,0.0019897429119997145,7.334995874001219e-05,0.33333333333333337,0.0,0.0,0.0019163929532597026
2010-01-13,99968.89500186911,-0.0018084713092347826,-0.0016620075739264641,0.0001464637353083123,0.6666666666666666,-0.0016287435707675586,-0.00017972773846721804,0.0
2010-01-14,99968.89500186911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,99968.89500186911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,99968.89500186911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,99986.59473752863,0.0001770524287498798,0.0003237550725971502,0.00014670264384731383,0.6666666666666666,-0.0002950656559804974,0.0,0.00047211808473033375
2010-01-20,100032.31116667937,0.00045722558379690525,0.0005305377530664772,7.331216926956918e-05,0.33333333333333337,0.000457225583796908,0.0,0.0
2010-01-21,99957.15051650746,-0.0007513637273327545,-0.0006780094138206424,7.33543135120497e-05,0.3333333333333333,0.0,-0.0007513637273326921,0.0
2010-01-22,99887.73417675078,-0.0006944609705058502,-0.0006210794360598607,7.338153444599463e-05,0.3333333333333333,0.0,-0.0006944609705058553,0.0
2010-01-25,99887.73417675078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,99887.73417675078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-27,99802.8042328335,-0.0008502539838073364,-0.0007769145394006527,7.333944440678509e-05,0.3333333333333333,0.0,-0.0008502539838074379,0.0
2010-01-28,99802.8042328335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,99730.02481274072,-0.0007292322159905273,-0.0006558198484982736,7.341236749221587e-05,0.33333333333333337,0.0,0.0,-0.0007292322159904895
2010-02-01,99730.02481274072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,99730.02481274072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,99730.02481274072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-04,99730.02481274072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,99730.02481274072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-08,99730.02481274072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
