date,nav,return,gross_return,cost_return,traded_entry_notional_ratio,EURUSD,GBPUSD,USDJPY
2010-01-01,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,99961.99364449868,-0.0003800635550131881,-0.00023342023036957799,0.0001466433246436297,0.33333333333333337,-0.0003800635550132077,0.0,0.0
2010-01-05,99961.99364449868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,99961.99364449868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,99929.12424953554,-0.00032881892171976457,0.00011129340672148362,0.00044011232844128425,1.0,4.8684011271622745e-05,-0.0005528843294696239,0.0001753813964782005
2010-01-08,99929.12424953554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,99929.12424953554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,100113.29557459676,0.0018430195045171516,0.0019897429119997145,0.0001467234074825173,0.3333333333333333,0.0,0.0,0.0018430195045171971
2010-01-13,99917.57471859665,-0.0019549936387248668,-0.0016620075739264641,0.0002929860647983649,0.6666666666666666,-0.001701968508305417,-0.0002530251304194122,0.0
2010-01-14,99917.57471859665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,99917.57471859665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,99917.57471859665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,99920.59898169711,3.0267579141929346e-05,0.00032375507259715014,0.00029348749345521716,0.6666666666666666,-0.00036846362350423254,0.0,0.0003987312026461655
2010-01-20,99958.95455966548,0.00038386056888417563,0.0005305377530664771,0.00014667718418225466,0.3333333333333333,0.0003838605688842224,0.0,0.0
2010-01-21,99876.51073986317,-0.0008247767312642429,-0.0006780094138206424,0.00014676731744367604,0.33333333333333337,0.0,-0.0008247767312643184,0.0
2010-01-22,99799.8148557232,-0.0007679071242258084,-0.0006210794360598607,0.00014682768816600024,0.3333333333333333,0.0,-0.0007679071242258609,0.0
2010-01-25,99799.8148557232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,99799.8148557232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-27,99707.63336113463,-0.0009236639839645955,-0.0007769145394006528,0.00014674944456395032,0.3333333333333333,0.0,-0.0009236639839646031,0.0
2010-01-28,99707.63336113463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,99627.59594057221,-0.0008027210943071239,-0.0006558198484982735,0.00014690124580891262,0.3333333333333333,0.0,0.0,-0.000802721094307186
2010-02-01,99627.59594057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,99627.59594057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,99627.59594057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-04,99627.59594057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,99627.59594057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-08,99627.59594057221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-09,99661.86698307474,0.000343991463198412,0.0006380172055534169,0.0002940257423551417,0.6666666666666666,0.0007962927193394205,0.0,-0.00045230125614114535
2010-02-10,99661.86698307474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-11,99695.73488207374,0.00033982806086463313,0.00048671747997156933,0.0001468894191070064,0.3333333333333333,0.00033982806086456293,0.0,0.0
2010-02-12,99346.64118661867,-0.003501591074763666,-0.0030606689245957033,0.0004409221501678956,1.0,-0.0011822262669032044,-0.0010086375578772005,-0.001310727249983194
2010-02-15,99346.64118661867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-16,99346.64118661867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-17,99278.7618138248,-0.0006832578533415568,-0.0005360650621431724,0.00014719279119836898,0.3333333333333333,0.0,0.0,-0.0006832578533415414
2010-02-18,99278.7618138248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-19,99278.7618138248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-22,99278.7618138248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-23,99289.87068703109,0.00011189576706360782,0.00025911770421715996,0.0001472219371535561,0.3333333333333333,0.0,0.00011189576706360385,0.0
2010-02-24,99289.87068703109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-25,99289.87068703109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-26,99189.63512823932,-0.0010095245174376322,-0.0008621994642516265,0.00014732505318602033,0.3333333333333333,0.0,-0.001009524517437647,0.0
2010-03-01,98968.26318780651,-0.0022318051694272256,-0.0019369709623020532,0.00029483420712513335,0.6666666666666666,-0.0002754405972586995,-0.0019563645721684874,0.0
2010-03-02,98968.26318780651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-03,98968.26318780651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-04,98968.26318780651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-05,98968.26318780651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-08,98968.26318780651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-09,98826.08192820218,-0.0014366348870296086,-0.0012890053257567462,0.00014762956127286622,0.33333333333333337,-0.0014366348870296123,0.0,0.0
2010-03-10,98864.98206299062,0.000393622149431172,0.0005412391061823119,0.00014761695675114109,0.3333333333333333,0.0,0.0,0.00039362214943117077
2010-03-11,98893.40350406677,0.0002874773300221012,0.0004351059460779479,0.00014762861605594187,0.3333333333333333,0.0,0.00028747733002200605,0.0
2010-03-12,98895.24125305489,1.8583130148241978e-05,0.00031373820382881357,0.00029515507368045867,0.6666666666666666,-0.00018148255477586778,0.00020006568492422267,0.0
2010-03-15,98930.58538986334,0.0003573896616320127,0.0005048995183524566,0.00014750985672041896,0.3333333333333333,0.0,0.0003573896616320377,0.0
2010-03-16,99017.18211059424,0.0008753280938311736,0.0011705050899025367,0.00029517699607146437,0.6666666666666666,0.0,0.0009933864455184283,-0.00011805835168735605
2010-03-17,98849.40979660857,-0.0016943757680185634,-0.001399435620974776,0.00029494014704381884,0.6666666666666667,0.0,3.9488480477075605e-05,-0.0017338642484956705
2010-03-18,98982.16657884016,0.00134302048443935,0.001490469290478099,0.00014744880603868743,0.3333333333333333,0.0013430204844394114,0.0,0.0
2010-03-19,99241.79841735,0.0026230163218647906,0.002917703164561969,0.0002946868426971907,0.6666666666666667,0.00012805896742964563,0.0024949573544351326,0.0
2010-03-22,99241.79841735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-23,99117.68507657723,-0.001250615594961646,-0.0009559642744828196,0.0002946513204787917,0.6666666666666666,-0.0004015131715323991,-0.0008491024234292122,0.0
2010-03-24,99172.42396626392,0.0005522615832320721,0.0008470206849524226,0.0002947591017203769,0.6666666666666666,-0.0001623598901478656,0.0,0.0007146214733799114
2010-03-25,99172.42396626392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-26,99187.96394321418,0.0001566965526178521,0.0003040612110110086,0.0001473646583932321,0.3333333333333333,0.00015669655261777644,0.0,0.0
2010-03-29,99187.96394321418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-30,99146.92154429988,-0.000413784064947631,-0.00011922424712085272,0.00029455981782671624,0.6666666666666666,0.0,-0.0009813383356416763,0.0005675542706941075
2010-03-31,99266.00512949385,0.0012010820239209963,0.0014959416210172567,0.0002948595970963266,0.6666666666666666,0.0007615057955452319,0.00043957622837569824,0.0
2010-04-01,99287.02769811489,0.00021178014158640401,0.00035903834600633133,0.00014725820441983698,0.3333333333333333,0.0,0.0,0.00021178014158649438
2010-04-02,99287.02769811489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-05,99222.59026076857,-0.0006490015749313072,-0.0005017102635584969,0.00014729131137274868,0.3333333333333333,-0.0006490015749312455,0.0,0.0
2010-04-06,99222.59026076857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-07,99088.77951150751,-0.0013485915748560062,-0.0010538493594547393,0.00029474221540121685,0.6666666666666666,0.0,-0.0017002574210209784,0.0003516658461650226
2010-04-08,98999.81132856314,-0.000897863344194727,-0.0007504609974698558,0.00014740234672488086,0.33333333333333337,0.0,0.0,-0.0008978633441947368
2010-04-09,99029.72699511405,0.00030217902589346757,0.00044969889726013496,0.00014751987136655197,0.3333333333333333,0.0,0.0003021790258935829,0.0
2010-04-12,98998.37612501236,-0.00031658039512949543,-2.1699046769259774e-05,0.0002948813483603038,0.6666666666666666,4.8891532753444635e-05,0.0,-0.0003654719278830082
2010-04-13,98989.69784846877,-8.76607969066967e-05,0.00020714320185188925,0.000294803998758608,0.6666666666666667,0.0,-0.0016287998091332285,0.0015411390122265097
2010-04-14,98781.23672389804,-0.0021058870680648045,-0.0018108542596541413,0.0002950328084106756,0.6666666666666666,-0.0008124855286901198,0.0,-0.0012934015393746973
2010-04-15,98602.83080191101,-0.0018060709493411542,-0.0015106124741491496,0.00029545847519204247,0.6666666666666666,-0.0005658719311001136,-0.0012401990182410786,0.0
2010-04-16,98602.83080191101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,98602.83080191101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
