feature,year,n_low,n_high,quarters,raw_gross_bps,spy_excess_gross_bps,borrow_bps,net_10bps,net_25bps,net_50bps,gross_ci_low_bps,gross_ci_high_bps,residual_gross_bps
cached_5,2015,109,89,3,-17.03621110968282,-61.741612608793055,11.239033400030785,-38.2752445097136,-53.2752445097136,-78.2752445097136,-107.73664764289104,71.0251358244901,189.6699459178704
cached_5,2016,152,175,4,18.967969511302226,-3.0988020416109796,11.26027397260274,-2.292304461300514,-17.292304461300514,-42.29230446130052,-64.39027827234823,55.59897593847011,251.191641248283
cached_5,2017,155,133,4,-46.132787794170355,-21.377629885479774,11.28746523843856,-67.42025303260891,-82.42025303260891,-107.42025303260891,-117.31188043418648,30.39295995175077,290.09565166815145
cached_5,2018,207,183,4,-7.924723134074352,9.370289300065998,11.32270379519425,-29.247426929268602,-44.2474269292686,-69.2474269292686,-109.06050042763856,49.60294080003429,306.6637391442073
cached_5,2019,190,202,4,-96.71028539234808,-62.97939371144871,11.238301912383019,-117.9485873047311,-132.94858730473112,-157.94858730473112,-261.23976336134547,53.324067375217275,234.5009121359642
cached_5,2020,198,229,4,-10.56618249655153,-46.97208558358007,11.289705090626308,-31.85588758717784,-46.85588758717784,-71.85588758717785,-85.74885088605294,135.98407660805063,247.54275788189892
cached_5,2021,197,125,4,93.16300404754884,90.68844743546492,11.276712328767124,71.88629171878172,56.88629171878172,31.88629171878172,-73.14748413024948,182.88035982898487,356.82868178650745
cached_5,2022,248,198,4,89.03636132233785,80.23794785980319,11.293067662930676,67.74329365940717,52.74329365940717,27.743293659407172,10.350924402078576,183.61136554382546,283.5043185539772
cached_5,2023,203,209,4,-106.20460377887116,-95.53055150379238,11.32791505538441,-127.53251883425557,-142.53251883425557,-167.53251883425557,-152.11259212802113,-59.0177015840912,207.8727680046251
cached_5,2024,266,299,4,-0.6993273672266029,-23.876145534726106,11.307554863242773,-22.006882230469376,-37.00688223046937,-62.00688223046937,-90.85719762309554,103.23116872255859,292.0902194414168
cached_5,2025,139,110,2,-174.11731611129215,-139.59663885939975,11.368617683686177,-195.48593379497834,-210.48593379497834,-235.48593379497834,-308.8588421586358,-44.956559792334595,225.2984267383074
prior_5,2015,123,84,3,-1.8086014117506093,-32.594129812250166,11.237769080234832,-23.046370491985442,-38.04637049198544,-63.04637049198544,-109.58692388923573,234.12987488789105,-50.840442489767675
prior_5,2016,156,187,4,35.13549748888057,0.6180032930429812,11.218958318071936,13.916539170808633,-1.0834608291913668,-26.083460829191367,-19.778614852751474,74.83924648876904,-11.656456702922023
prior_5,2017,135,90,4,24.28836374415969,49.63063972105878,11.30593607305936,2.9824276711003286,-12.017572328899671,-37.017572328899675,-83.92725279023914,168.85360902061038,86.76177682876512
prior_5,2018,189,151,4,40.22342535527232,34.41144000012284,11.40615077565091,18.817274579621408,3.817274579621408,-21.182725420378592,-51.309490962741485,97.83006278983002,76.08261293388799
prior_5,2019,166,158,4,-15.045469081097083,22.943123404169985,11.254551760013872,-36.30002084111096,-51.30002084111096,-76.30002084111095,-122.3149198264289,189.87193100757125,62.002662140517074
prior_5,2020,242,341,4,130.84725495593509,90.2320602479164,11.258586751295544,109.58866820463955,94.58866820463955,69.58866820463955,-11.529514268691106,219.0492794917402,138.31273289953728
prior_5,2021,245,170,4,87.07015782293156,78.48873010295358,11.216760676873488,65.85339714605807,50.85339714605807,25.85339714605807,-70.75468949522907,202.86447686314605,103.37285379170049
prior_5,2022,270,309,4,66.31415108400641,71.84220034580233,11.250166245511371,45.06398483849504,30.06398483849504,5.063984838495038,-44.8037099836713,185.30736486085013,18.47496145063508
