date,return,nav,gross,turnover,borrow
2021-08-11,0.0,1.0,0.0,0.0,0.0
2021-08-12,0.0,1.0,0.0,0.0,0.0
2021-08-13,0.0,1.0,0.0,0.0,0.0
2021-08-16,0.0,1.0,0.0,0.0,0.0
2021-08-17,0.0,1.0,0.0,0.0,0.0
2021-08-18,0.0,1.0,0.0,0.0,0.0
2021-08-19,0.0,1.0,0.0,0.0,0.0
2021-08-20,0.0,1.0,0.0,0.0,0.0
2021-08-23,0.0,1.0,0.0,0.0,0.0
2021-08-24,0.0,1.0,0.0,0.0,0.0
2021-08-25,0.0,1.0,0.0,0.0,0.0
2021-08-26,0.0,1.0,0.0,0.0,0.0
2021-08-27,0.0,1.0,0.0,0.0,0.0
2021-08-30,0.0,1.0,0.0,0.0,0.0
2021-08-31,0.0,1.0,0.0,0.0,0.0
2021-09-01,0.0,1.0,0.0,0.0,0.0
2021-09-02,-5.541554821464345e-06,0.9999944584451785,0.49053319647930976,0.490290874280391,0.0
2021-09-03,0.0012047710445513005,1.001199222813425,0.49114624874473345,0.0,0.0
2021-09-07,-0.0029671172489615927,0.9982285473297683,0.4896319268315159,0.0,0.0
2021-09-08,-0.002635531360422827,0.9955976846884114,0.488283281371919,0.0,0.0
2021-09-09,-0.0005762769527056788,0.9950239446885583,0.4879882207840429,0.0,0.0
2021-09-10,-0.0030871952297171212,0.9919521115130614,0.4864026454811771,0.0,0.0
2021-09-13,0.002391340035766909,0.9943242063108861,0.487627901393784,0.0,0.0
2021-09-14,-0.002321470843559159,0.9920159116568903,0.4864356767911626,0.0,0.0
2021-09-15,0.004087804929519656,0.9960710791907232,0.4885264807644126,0.0,0.0
2021-09-16,0.0009949207154873463,0.997062090941508,0.4890348505764661,0.0,0.0
2021-09-17,-0.004363564244749929,0.99271134645168,0.486795449549879,0.0,0.0
2021-09-20,-0.008160987094221417,0.9846098419650007,0.48257273229594805,0.0,0.0
2021-09-21,-0.00022193062819464426,0.9843913268842468,0.4824578738467737,0.0,0.0
2021-09-22,0.005821552835990174,0.9901220130049939,0.4854533344468737,0.0,0.0
2021-09-23,0.007441418020264212,0.9974899247948296,0.48925400886905324,0.0,0.0
2021-09-24,0.0019459341354950421,0.9994309744893002,0.49024595666268994,0.0,0.0
2021-09-27,-0.001151508672468382,0.9982801210546423,0.4896582937620346,0.0,0.0
2021-09-28,-0.012068255780352422,0.9862326212133137,0.48342412396002454,0.0,0.0
2021-09-29,-0.0007301602195021184,0.9855125133861284,0.4830466651996145,0.0,0.0
2021-09-30,-0.0031504883413342455,0.9824076677024665,0.48141286246885673,0.0,0.0
2021-10-01,0.005537718577876882,0.9878479648949511,0.48426883651408265,0.0,0.0
2021-10-04,-0.007204339314450414,0.9807311729647585,0.39345085210472847,0.1191589110848597,0.0
2021-10-05,0.005517766320209727,0.9861426184001232,0.396779283060311,0.0,0.0
2021-10-06,0.001095605924624321,0.9872230420953669,0.3974394519666812,0.0,0.0
2021-10-07,0.003792847016768963,0.9909674280654639,0.39971623644848236,0.0,0.0
2021-10-08,-0.0007775283020392543,0.9901969228437439,0.39924913564897485,0.0,0.0
2021-10-11,-0.0016405166422925888,0.9885724883126719,0.3982619744036839,0.0,0.0
2021-10-12,-0.0016899160686936199,0.9869018837796039,0.39724336628285356,0.0,0.0
2021-10-13,0.00260208476671675,0.9894698861376308,0.39880771955766015,0.0,0.0
2021-10-14,0.007122626855903924,0.9965175109217428,0.403059503966088,0.0,0.0
2021-10-15,0.003627533062241506,1.000132411139714,0.40521709860575145,0.0,0.0
2021-10-18,0.002968518944020504,1.0031013231487111,0.40697749713972275,0.0,0.0
2021-10-19,0.003022175961735263,1.006132871854716,0.4087643154134004,0.0,0.0
2021-10-20,9.73051075419118e-05,1.0062307737220133,0.40882184006782896,0.0,0.0
2021-10-21,0.0013471216161891064,1.0075862889481688,0.4096171575567116,0.0,0.0
2021-10-22,0.0017138552597075751,1.0093131460090918,0.4106272571320041,0.0,0.0
2021-10-25,0.00291675230696109,1.01225706245616,0.4123413119660329,0.0,0.0
2021-10-26,0.0010886950499791048,1.0133591017093624,0.4129803973017311,0.0,0.0
2021-10-27,-0.003164474596438427,1.0101523525749334,0.4111168916651338,0.0,0.0
2021-10-28,0.004715334393394999,1.014915558705599,0.413880640439902,0.0,0.0
2021-10-29,0.0023516429906857983,1.0173022777653669,0.41525575015639066,0.0,0.0
2021-11-01,0.0010418781424130774,1.0183621827727976,0.41586434832407587,0.0,0.0
2021-11-02,0.0031901128915670096,1.0216108731003455,0.3829601528716894,0.10689746856792558,0.0
2021-11-03,0.003663994974607787,1.0253540502053897,0.38521273033818293,0.0,0.0
2021-11-04,0.0050818164320241,1.0305647112663658,0.3883211698682677,0.0,0.0
2021-11-05,0.0020281163304853855,1.0326548163869071,0.3895592147935392,0.0,0.0
2021-11-08,0.0015101922017202174,1.0342143236376835,0.3904797075859332,0.0,0.0
2021-11-09,-0.0005904384784075623,1.0336036837060876,0.3901196107368861,0.0,0.0
2021-11-10,-0.00605319814920946,1.0273470758008618,0.3864054010461336,0.0,0.0
2021-11-11,0.002593077055662363,1.0300110659313229,0.3879923839531953,0.0,0.0
2021-11-12,0.00293883694911079,1.0330381005098748,0.3897857042723552,0.0,0.0
2021-11-15,-0.0011576026710659049,1.0318422528454116,0.3890784999120418,0.0,0.0
2021-11-16,0.0022621574393926203,1.0341764424739655,0.39045738128160257,0.0,0.0
2021-11-17,-0.0020821800683131775,1.0320231008983272,0.3891855556200768,0.0,0.0
2021-11-18,0.0006671598053578087,1.0327116252294473,0.3895927947723055,0.0,0.0
2021-11-19,-0.000530851478277472,1.0321634087365599,0.38926858709893647,0.0,0.0
2021-11-22,-0.00303558089526923,1.0290301932122032,0.38740901761619817,0.0,0.0
2021-11-23,-2.6481535500666453e-05,1.0290029429126104,0.3873927948367466,0.0,0.0
2021-11-24,0.002625750724078113,1.0317048481350417,0.3889971360491792,0.0,0.0
2021-11-26,-0.008994684983195222,1.0224249880304317,0.3834514763016586,0.0,0.0
2021-11-29,0.007698142903509453,1.0302957616964088,0.38816149653519993,0.0,0.0
2021-11-30,-0.008285046664105344,1.0217597132329241,0.3830500373048525,0.0,0.0
2021-12-01,-0.005654737229746409,1.015981930542651,0.3795415075681861,0.0,0.0
2021-12-02,0.003432378801004221,1.0194691653832488,0.3121516346257456,0.1334907701018761,0.0
2021-12-03,-0.0023335767363394933,1.017090155855495,0.3105427331872111,0.0,0.0
2021-12-06,0.0013430247470687107,1.018456133104809,0.3114674494417731,0.0,0.0
2021-12-07,0.01022945399491726,1.028874383264246,0.3184394418164617,0.0,0.0
2021-12-08,-5.4510140285235487e-05,1.0288182991772783,0.31840228782955315,0.0,0.0
2021-12-09,-0.0026359846248037444,1.0261063499589302,0.3166008581991621,0.0,0.0
2021-12-10,0.0042662373379633856,1.0304839631818463,0.31950401557624486,0.0,0.0
2021-12-13,-0.0047049781778462085,1.0256355586224553,0.3162871615916202,0.0,0.0
2021-12-14,-0.003394066878483537,1.0221544829435398,0.3139586915092,0.0,0.0
2021-12-15,0.008410376220227667,1.0307511867002872,0.3196804350008246,0.0,0.0
2021-12-16,-0.006681077861589446,1.0238646577660169,0.31510459547615605,0.0,0.0
2021-12-17,-0.002698907241222681,1.0211013420271402,0.31325112396171473,0.0,0.0
2021-12-20,-0.0029326566271716814,1.0181068024094304,0.3112312015804406,0.0,0.0
2021-12-21,0.007288787058573387,1.0255275660950778,0.31621516364650276,0.0,0.0
2021-12-22,0.003275360628891999,1.028886538708909,0.31844749389153315,0.0,0.0
2021-12-23,0.0027938904223505645,1.0317611349550933,0.32034637165428403,0.0,0.0
2021-12-27,0.006368995493566176,1.0383324169740589,0.3246476874892345,0.0,0.0
2021-12-28,-0.002349556418462795,1.0358927963792595,0.3230571721230638,0.0,0.0
2021-12-29,0.0011681623106594152,1.0371028873018733,0.323847028540563,0.0,0.0
2021-12-30,-0.00245937568857324,1.034552261674294,0.3221800145471113,0.0,0.0
2021-12-31,-0.000977284254690458,1.0335412100383052,0.3215169437391531,0.0,0.0
2022-01-03,0.0025242342492954872,1.0361501101587423,0.32322528166223874,0.0,0.0
2022-01-04,-0.00047191183864703223,1.0356611386551429,0.2961695675388836,0.13097169785120324,0.0
2022-01-05,-0.007053244288947047,1.0283563676436391,0.29117001650597,0.0,0.0
2022-01-06,-4.2868201901913316e-05,1.0283122838552439,0.291139628936463,0.0,0.0
2022-01-07,-0.0030398359074106374,1.0251863832507493,0.2889782394578166,0.0,0.0
2022-01-10,0.000754041598896027,1.025959416430342,0.2895139754757419,0.0,0.0
2022-01-11,0.0028457577554303892,1.0288790483964054,0.291530109162083,0.0,0.0
2022-01-12,0.0005670497806966601,1.029462474035162,0.2919316191821439,0.0,0.0
2022-01-13,-0.00549903994547174,1.0238014187680784,0.28801639288610353,0.0,0.0
2022-01-14,0.0021306815762298648,1.0259828135887656,0.289530177846633,0.0,0.0
2022-01-18,-0.0077435331044853895,1.018038081707108,0.28398569739109597,0.0,0.0
2022-01-19,-0.004505626495152404,1.0134511823530943,0.28074500301993177,0.0,0.0
2022-01-20,-0.004117642779630559,1.00927815240957,0.2777711224972418,0.0,0.0
2022-01-21,-0.006487372378680578,1.0027305892012224,0.27305516062545904,0.0,0.0
2022-01-24,0.0020844770911008226,1.0048207581429585,0.2745673084521263,0.0,0.0
2022-01-25,-0.00560830162582826,0.9991854202513993,0.27047591735333815,0.0,0.0
2022-01-26,0.0012710919515070973,1.000455476797144,0.27140203236588223,0.0,0.0
2022-01-27,-0.002754711619063266,0.9976995104708555,0.2693894108870421,0.0,0.0
2022-01-28,0.0055692272226777195,1.003255925744622,0.27343581194219635,0.0,0.0
2022-01-31,0.007549114435053683,1.010829619535714,0.278879632120765,0.0,0.0
2022-02-01,0.0024332831613051997,1.0132892542278789,0.2806300628755191,0.0,0.0
2022-02-02,0.0039245717133895575,1.0172659805725033,0.24931018869527874,0.12702423055915565,0.0
2022-02-03,-0.0062431118714217915,1.0109150752527976,0.24459410518562094,0.0,0.0
2022-02-04,0.0017202314528499407,1.0126540831614075,0.2458913466100486,0.0,0.0
2022-02-07,-0.00019804156974623233,1.0124535355571682,0.2457419721662226,0.0,0.0
2022-02-08,0.002821568076668557,1.0153102421322064,0.24786417460048857,0.0,0.0
2022-02-09,0.004250050571067421,1.019625362006591,0.2510472616139686,0.0,0.0
2022-02-10,-0.0037267932633645584,1.0158254290763091,0.24824562848650739,0.0,0.0
2022-02-11,-0.006295797381859591,1.009429997999504,0.24348274915933288,0.0,0.0
