date,return,nav,gross
2021-08-11,0.0,100000.0,0.0
2021-08-12,0.0,100000.0,0.0
2021-08-13,0.0,100000.0,0.0
2021-08-16,0.0,100000.0,0.0
2021-08-17,0.0,100000.0,0.0
2021-08-18,0.0,100000.0,0.0
2021-08-19,0.0,100000.0,0.0
2021-08-20,0.0,100000.0,0.0
2021-08-23,0.0,100000.0,0.0
2021-08-24,0.0,100000.0,0.0
2021-08-25,0.0,100000.0,0.0
2021-08-26,0.0,100000.0,0.0
2021-08-27,0.0,100000.0,0.0
2021-08-30,0.0,100000.0,0.0
2021-08-31,0.0,100000.0,0.0
2021-09-01,0.0,100000.0,0.0
2021-09-02,0.0,100000.0,0.0
2021-09-03,0.0,100000.0,0.0
2021-09-07,0.0,100000.0,0.0
2021-09-08,0.0,100000.0,0.0
2021-09-09,0.0,100000.0,0.0
2021-09-10,0.0,100000.0,0.0
2021-09-13,0.0,100000.0,0.0
2021-09-14,0.0,100000.0,0.0
2021-09-15,0.0,100000.0,0.0
2021-09-16,0.0,100000.0,0.0
2021-09-17,0.0,100000.0,0.0
2021-09-20,0.0,100000.0,0.0
2021-09-21,0.0,100000.0,0.0
2021-09-22,0.0,100000.0,0.0
2021-09-23,-2.03444496446048e-05,99997.96555503554,0.040689727099320616
2021-09-24,-0.00044724349344360537,99953.24211558345,0.04026048984800444
2021-09-27,-0.0005601799469683311,99897.25031371582,0.039722561683533386
2021-09-28,-0.001223106987741418,99775.06528880096,0.03854660131321187
2021-09-29,-8.084543843367431e-05,99766.99892990294,0.038468865907108435
2021-09-30,-0.00042924353312445707,99724.17459079305,0.038055957647701116
2021-10-01,0.0005876362592895923,99782.77613171031,0.0386208988664504
2021-10-04,-0.0006384014099105606,99719.07466674304,0.03800676102636517
2021-10-05,0.0006697363341798823,99785.86015425815,0.038650611641590234
2021-10-06,8.319743453277795e-06,99786.6903470149,0.03865860975532812
2021-10-07,0.00012602079742407568,99799.26554530475,0.038779743498552836
2021-10-08,-0.00012600491818393067,99786.6903470149,0.03865860975532812
2021-10-11,0.00015574855808764276,99802.23198015278,0.03880831397447245
2021-10-12,0.00014143213968487167,99816.34722336706,0.03894423814722775
2021-10-13,0.0004124284338260509,99857.51432312264,0.039340441464394735
2021-10-14,0.0010420628949003863,99961.57213357576,0.06752034361370421
2021-10-15,0.0008291423542516885,100044.45450682928,0.06829286146402294
2021-10-18,-6.102942239460951e-05,100038.34885155695,0.0682359964450779
2021-10-19,0.0007476303413505025,100113.14055645697,0.10305848163117018
2021-10-20,0.0003562313768425973,100148.80399835744,0.10337788656114806
2021-10-21,0.00033331687200655047,100182.18528444138,0.10313252055223635
2021-10-22,0.0008856611943144355,100270.91275830942,0.14455019907550087
2021-10-25,0.0005757942386466208,100328.6481721795,0.14504247869055858
2021-10-26,7.138371314385772e-05,100335.81000362073,0.17533518259203465
2021-10-27,0.0003385102361024295,100369.7747023546,0.24669323294992776
2021-10-28,0.0011433418675126372,100484.53166800461,0.36373900785435753
2021-10-29,0.0051148972129919645,100998.49971898209,0.5370605395407975
2021-11-01,0.0050238391261709925,101505.89993355487,0.5414670781884817
2021-11-02,0.0036290569190766675,101874.27062203585,0.5429232864122373
2021-11-03,0.0013306350193076355,102009.82809409195,0.5493234726105235
2021-11-04,0.0029162397998403478,102307.3132147548,0.5560632689249291
2021-11-05,0.0004134028958298064,102349.60735430234,0.5671339263938079
2021-11-08,0.0005861468835521855,102409.59925768586,0.5640334009836843
2021-11-09,0.001535575859928251,102566.85696613089,0.5684644056341329
2021-11-10,-0.0020921799086702775,102352.2686486909,0.5607870605373081
2021-11-11,0.010009234556027646,103376.73651293719,0.5367173277758666
2021-11-12,0.0029432186459179555,103680.99685139621,0.5426181679702994
2021-11-15,-0.007269795210919194,102927.2572370226,0.5482138068596998
2021-11-16,0.004503511576429808,103390.7913315197,0.5101768201321601
2021-11-17,-0.006098545374360609,102760.25789929337,0.5082793024062023
2021-11-18,-0.004661425299115951,102281.24863337792,0.49639197541162056
2021-11-19,0.004706130309116929,102762.59751762579,0.4608174069256875
2021-11-22,0.0014011587929265712,102906.58423472158,0.45295297236070364
2021-11-23,0.006076973962946264,103531.94486773173,0.4442047105626014
2021-11-24,-0.0005179168053698335,103478.32393359211,0.3889117820519898
2021-11-26,-0.005865024985287182,102871.42097828595,0.07738390670887932
2021-11-29,0.0004507603102366087,102917.7913319206,0.07975133461698355
2021-11-30,-0.0005477015120642914,102861.42310198979,0.07825791401790008
2021-12-01,-0.0005997967378513769,102799.72715596246,0.07880959413433532
2021-12-02,0.0016117981879715249,102965.41956991641,0.09417096130839525
2021-12-03,-0.00040868278057526464,102923.33937594348,0.09364047848481635
2021-12-06,9.85605256624833e-05,102933.48355437531,0.09411296911726676
2021-12-07,0.0006866855227016799,103004.16648733335,0.09707289827028312
2021-12-08,-0.00039773366845985425,102963.1982623297,0.09681422239407719
2021-12-09,-0.0001966802531082612,102942.94743443462,0.09549834642728823
2021-12-10,0.0006016337005592121,103004.88138084608,0.09606408587412561
2021-12-13,-0.000612858920243764,102941.75392046318,0.09412814394542604
2021-12-14,-0.0010000473573904545,102838.80729148988,0.09337848530929342
2021-12-15,0.0019083412030533875,103035.0588247171,0.09656376475342467
2021-12-16,-0.0007505781521225385,102957.7229606606,0.16456468963858595
2021-12-17,-0.0016072073772676054,102792.24854877155,0.14510655357595326
2021-12-20,-0.001587835355200795,102629.03138228522,0.1437469647335592
2021-12-21,0.0025246753975027847,102888.13637288562,0.12851184678940947
2021-12-22,0.0009211648310731846,102982.91330564699,0.1149158219903227
2021-12-23,0.0012825487492913457,103114.99391230552,0.11604953155805837
2021-12-27,0.0012901282469859332,103248.02547863957,0.11718847164755065
2021-12-28,-0.0016438496246226064,103078.30125071348,0.11573487275005404
2021-12-29,-3.8399630295726794e-05,103074.34308205395,0.11570091599215739
2021-12-30,0.00036220401364062127,103111.67702282165,0.10093686859894947
2021-12-31,-0.000613910082932434,103048.37572462927,0.10038458562530342
2022-01-03,-0.00047620142766946483,102999.30394099018,0.09995598337962347
2022-01-04,-0.00183663743386131,102810.1315637105,0.09829988719833493
2022-01-05,-0.007021168332866368,102088.28432367755,0.09192413368190207
2022-01-06,-5.5393848381601885e-05,102082.62926073419,0.09187382907847867
2022-01-07,-0.0006111548438558767,102020.24096738794,0.09131848396843371
2022-01-10,0.0027054025363393297,102296.24678605907,0.09377020036686748
2022-01-11,0.000724011129424218,102370.3104072305,0.09442584613278618
2022-01-12,0.00044192992447666946,102415.55091077741,0.09482586966784207
2022-01-13,-0.0028015500244427116,102128.62862162001,0.0
2022-01-14,0.0,102128.62862162001,0.0
2022-01-18,0.0,102128.62862162001,0.0
2022-01-19,0.0,102128.62862162001,0.0
2022-01-20,0.0,102128.62862162001,0.0
2022-01-21,0.0,102128.62862162001,0.0
2022-01-24,0.0,102128.62862162001,0.0
