date,return,nav,gross,turnover,borrow
2021-08-11,0.0,1.0,0.0,0.0,0.0
2021-08-12,0.0,1.0,0.0,0.0,0.0
2021-08-13,0.0,1.0,0.0,0.0,0.0
2021-08-16,0.0,1.0,0.0,0.0,0.0
2021-08-17,0.0,1.0,0.0,0.0,0.0
2021-08-18,0.0,1.0,0.0,0.0,0.0
2021-08-19,0.0,1.0,0.0,0.0,0.0
2021-08-20,0.0,1.0,0.0,0.0,0.0
2021-08-23,0.0,1.0,0.0,0.0,0.0
2021-08-24,0.0,1.0,0.0,0.0,0.0
2021-08-25,0.0,1.0,0.0,0.0,0.0
2021-08-26,0.0,1.0,0.0,0.0,0.0
2021-08-27,0.0,1.0,0.0,0.0,0.0
2021-08-30,0.0,1.0,0.0,0.0,0.0
2021-08-31,0.0,1.0,0.0,0.0,0.0
2021-09-01,0.0,1.0,0.0,0.0,0.0
2021-09-02,-6.7795178055884975e-06,0.9999932204821944,0.600117252998593,0.5998200539838044,0.0
2021-09-03,0.0014739142935431548,1.0014671247833093,0.6007057784590514,0.0,0.0
2021-09-07,-0.0036289892906072874,0.9978328113125754,0.5992514663221077,0.0,0.0
2021-09-08,-0.0032255781245547066,0.9946142236244426,0.5979546375960588,0.0,0.0
2021-09-09,-0.0007057122157488882,0.9939123122168733,0.5976707089005764,0.0,0.0
2021-09-10,-0.0037810874993969845,0.9901542427976533,0.5961436928661198,0.0,0.0
2021-09-13,0.002930868680638854,0.9930562548568707,0.597323883683872,0.0,0.0
2021-09-14,-0.00284370516159993,0.990232295659175,0.5961755259426147,0.0,0.0
2021-09-15,0.005010013389403323,0.9951933727190471,0.5981886064045427,0.0,0.0
2021-09-16,0.0012182558360995799,0.9964057728534097,0.5986775198581336,0.0,0.0
2021-09-17,-0.00534188476896702,0.9910830880316932,0.596522187878948,0.0,0.0
2021-09-20,-0.010000524617060802,0.9811717372122796,0.5924464384539356,0.0,0.0
2021-09-21,-0.0002724605048284312,0.9809044066654353,0.5923353659419395,0.0,0.0
2021-09-22,0.0071473838782278865,0.9879153070077185,0.5952284237801779,0.0,0.0
2021-09-23,0.009124138623824996,0.9969291832174556,0.5988882232350303,0.0,0.0
2021-09-24,0.0023819877115220933,0.9993038562811373,0.5998413961121509,0.0,0.0
2021-09-27,-0.0014089306813066527,0.9978959064180747,0.5992768049078744,0.0,0.0
2021-09-28,-0.014769944381612832,0.9831570393816406,0.5932694168159449,0.0,0.0
2021-09-29,-0.0008960697369788662,0.982276062111953,0.592904630975698,0.0,0.0
2021-09-30,-0.003866995182836175,0.9784776053115507,0.591324283950392,0.0,0.0
2021-10-01,0.006802035691336972,0.9851332449060537,0.5940853300232114,0.0,0.0
2021-10-04,-0.010528446283254556,0.9747613224552121,0.5963859115314775,0.16643560405898572,0.0
2021-10-05,0.008363733561364883,0.9829139664421511,0.599733632780477,0.0,0.0
2021-10-06,0.0016560131774088216,0.9845416849228384,0.6003953832914997,0.0,0.0
2021-10-07,0.005729697510225895,0.9901828109636545,0.602671952814203,0.0,0.0
2021-10-08,-0.0011723179031252196,0.989022001926995,0.6022056113306032,0.0,0.0
2021-10-11,-0.0024744657890466426,0.9865747008186122,0.6012188409953297,0.0,0.0
2021-10-12,-0.0025511081787823464,0.984057842030374,0.6001989051523778,0.0,0.0
2021-10-13,0.003931515440297906,0.9879266806304626,0.601764573879046,0.0,0.0
2021-10-14,0.010747396062434689,0.9985443199478445,0.6059990580511426,0.0,0.0
2021-10-15,0.005453987803628602,1.0039903684902227,0.608136278011552,0.0,0.0
2021-10-18,0.004455054014341986,1.0084631998117257,0.6098743090371739,0.0,0.0
2021-10-19,0.0045288682774988764,1.013030396806378,0.611633171247942,0.0,0.0
2021-10-20,0.00014559742438424728,1.013177891422976,0.6116897082262863,0.0,0.0
2021-10-21,0.0020155978658462637,1.0152200506186508,0.6124708112321199,0.0,0.0
2021-10-22,0.0025626034014512022,1.0178216569735876,0.6134613564748097,0.0,0.0
2021-10-25,0.004357515960403235,1.0222568310886941,0.6151383970522013,0.0,0.0
2021-10-26,0.0016241354152208842,1.0239171146115167,0.6157624508636115,0.0,0.0
2021-10-27,-0.004718298122452613,1.019085968412098,0.6139409089792925,0.0,0.0
2021-10-28,0.00704163886795528,1.0262620037770567,0.6166403889170982,0.0,0.0
2021-10-29,0.003503710748174349,1.0298577289901334,0.617978880419801,0.0,0.0
2021-11-01,0.0015505111915723457,1.0314545349246598,0.6185702914517034,0.0,0.0
2021-11-02,0.004933340408691755,1.036543051261532,0.6012942518697544,0.13560159736207486,0.0
2021-11-03,0.005752919985514637,1.0425062004969807,0.6035748540148529,0.0,0.0
2021-11-04,0.007962500638014847,1.0508071567835724,0.6067064541248113,0.0,0.0
2021-11-05,0.003168694789003723,1.0541368439455203,0.6079487448938883,0.0,0.0
2021-11-08,0.0023568161622637973,1.0566212506965689,0.608870565067674,0.0,0.0
2021-11-09,-0.0009206640012310308,1.0556484575481169,0.6085101344416075,0.0,0.0
2021-11-10,-0.009441802765617457,1.0456812330221192,0.6047785312852654,0.0,0.0
2021-11-11,0.004058528501380554,1.0499251601096982,0.606376065243301,0.0,0.0
2021-11-12,0.004592977747233995,1.054747443006343,0.6081757055087251,0.0,0.0
2021-11-15,-0.001806186870010107,1.0528423720236082,0.6074667170470134,0.0,0.0
2021-11-16,0.003531897428056485,1.0565609032895074,0.6088482249951328,0.0,0.0
2021-11-17,-0.003246786203789598,1.0531304759252436,0.6075741020035083,0.0,0.0
2021-11-18,0.0010415315105603007,1.0542273445006511,0.6079824006858878,0.0,0.0
2021-11-19,-0.0008284248592417276,1.0533539963611744,0.6076573743014191,0.0,0.0
2021-11-22,-0.004738612817555499,1.048362559612594,0.6057893627228007,0.0,0.0
2021-11-23,-4.1409032277117674e-05,1.048319147933525,0.6057730381658135,0.0,0.0
2021-11-24,0.004105933344116686,1.0526234764783013,0.6073850888210209,0.0,0.0
2021-11-26,-0.014044415835350321,1.037839994656588,0.6017924970609888,0.0,0.0
2021-11-29,0.01208154076055945,1.0503787008549703,0.6065460272699312,0.0,0.0
2021-11-30,-0.012946317923636319,1.0367801642534857,0.6013854364005815,0.0,0.0
2021-12-01,-0.008877891360013268,1.0275757425910266,0.5978148806039695,0.0,0.0
2021-12-02,0.006906698272903133,1.0346728981976572,0.6031568756117196,0.19202350384433248,0.0
2021-12-03,-0.004509067700312563,1.0300074880520054,0.6013593780592942,0.0,0.0
2021-12-06,0.0026007387721693753,1.032686268461807,0.6023934488329828,0.0,0.0
2021-12-07,0.019784269857799464,1.0531172122754993,0.6101071933356452,0.0,0.0
2021-12-08,-0.00010443752981081911,1.053007227315248,0.610066469640944,0.0,0.0
2021-12-09,-0.00505061017319941,1.047688898300517,0.6080870702107422,0.0,0.0
2021-12-10,0.008194051584136552,1.0562737151773187,0.6112723248332399,0.0,0.0
2021-12-13,-0.009001523639302733,1.046765642360576,0.6077413997705547,0.0,0.0
2021-12-14,-0.006521652492199048,1.0399390006003268,0.6051664324507435,0.0,0.0
2021-12-15,0.0162112962960117,1.056797759868837,0.611465087045986,0.0,0.0
2021-12-16,-0.0127791550840054,1.0432927774030436,0.6064356674042114,0.0,0.0
2021-12-17,-0.005194191508440693,1.0378737149178392,0.604380745230512,0.0,0.0
2021-12-20,-0.005658211774052346,1.0320012056441117,0.6021295097379635,0.0,0.0
2021-12-21,0.014101393934402795,1.046553861185678,0.6076620221194836,0.0,0.0
2021-12-22,0.006294170842319424,1.0531410499836698,0.6101160185076799,0.0,0.0
2021-12-23,0.005352836286448337,1.0587783416107706,0.6121918918213178,0.0,0.0
2021-12-27,0.012171348718803543,1.0716651020224317,0.6168552798203922,0.0,0.0
2021-12-28,-0.004464335764020166,1.0668808291804206,0.6151371227130763,0.0,0.0
2021-12-29,0.00222431217953889,1.069253905202883,0.6159912779904914,0.0,0.0
2021-12-30,-0.004677992508654416,1.0642519434444946,0.614186445070795,0.0,0.0
2021-12-31,-0.0018630415144026413,1.0622691978920737,0.6134663167722268,0.0,0.0
2022-01-03,0.00481633306654583,1.0673854401554546,0.6153190682638174,0.0,0.0
2022-01-04,-0.0010259332242348318,1.0662903739693346,0.5990456885709025,0.2264544375710222,0.0
2022-01-05,-0.01426620438028714,1.0510784575655552,0.5932428073270787,0.0,0.0
2022-01-06,-8.7341590822132e-05,1.0509866547009925,0.5932072774035523,0.0,0.0
2022-01-07,-0.006193773032465377,1.0444770819016245,0.5906719926300718,0.0,0.0
2022-01-10,0.0015412622576058688,1.0460868950068938,0.5913019035808379,0.0,0.0
2022-01-11,0.005812161485990064,1.0521669209690518,0.5936635963763351,0.0,0.0
2022-01-12,0.0011547239943769938,1.0533818833587845,0.5941322615924178,0.0,0.0
2022-01-13,-0.011191514809335446,1.041592944411289,0.5895385764925736,0.0,0.0
2022-01-14,0.004361276005238501,1.0461356187269757,0.5913209386765669,0.0,0.0
2022-01-18,-0.01581497755457728,1.0295910073977648,0.5847538298154743,0.0,0.0
2022-01-19,-0.009277517751642539,1.0200389585497005,0.5808653001977294,0.0,0.0
2022-01-20,-0.008519459949665853,1.0113487774952374,0.5772638162106616,0.0,0.0
2022-01-21,-0.013482054228059925,0.9977137184335645,0.5714865749770506,0.0,0.0
2022-01-24,0.004362674086374252,1.0020664182185948,0.5733479189549235,0.0,0.0
2022-01-25,-0.011711183258369617,0.9903310347577787,0.568292108726131,0.0,0.0
2022-01-26,0.002670668548147015,0.9929758807045601,0.5694419864710154,0.0,0.0
2022-01-27,-0.005779796278015614,0.9872366824051046,0.5669389820110894,0.0,0.0
2022-01-28,0.011720624065425067,0.9988077124231722,0.5719559256895156,0.0,0.0
2022-01-31,0.015790765314055433,1.014579650603915,0.578609996342953,0.0,0.0
2022-02-01,0.005048493324368852,1.0197017491970295,0.5807266948252139,0.0,0.0
2022-02-02,0.008550336736840913,1.0284205425238098,0.6012812417051491,0.3464661969467551,0.0
2022-02-03,-0.015057010216060207,1.0129356039086226,0.5951859524556693,0.0,0.0
2022-02-04,0.004185945507278577,1.0171756971489665,0.5968734183589544,0.0,0.0
2022-02-07,-0.0004807234997948884,1.0166867168879268,0.5966795327323905,0.0,0.0
2022-02-08,0.006850974242285535,1.0236520113977998,0.5994238694846258,0.0,0.0
2022-02-09,0.01027813625313434,1.0341732462467415,0.6034991591513506,0.0,0.0
2022-02-10,-0.008958936999798217,1.0249081532867401,0.5999148212402894,0.0,0.0
2022-02-11,-0.015214536440905646,1.0093146508399777,0.5937336673169701,0.0,0.0
2022-02-14,-0.0014008049272327128,1.007900797903953,0.5931637691201769,0.0,0.0
