date,return,nav,cost,turnover,gross,cash_dollars,interest_dollars,cost_dollars
2025-07-01,-0.015593493767198208,0.9844065062328018,0.0004997501249375312,0.9995002498750625,1.0,0.0,11.471594954744583,49.98074542476499
2025-07-02,0.008343519630047203,0.9926199212415014,0.0002590306764332294,0.5180613528664587,1.0,4.586553359331447e-12,0.0,25.51193008810056
2025-07-03,0.011969083674586267,1.0045006721359022,0.0,0.0,1.0,4.587083654062834e-12,5.302947313869614e-16,0.0
2025-07-07,0.001550634756888547,1.0060582857914342,0.0,0.0,1.0,4.589213618048413e-12,2.129963985579881e-15,0.0
2025-07-08,-0.011478462394659328,0.9945102835911418,0.0,0.0,1.0,4.58974698454488e-12,5.333664964660286e-16,0.0
2025-07-09,0.010260516890454818,1.0047144731536597,0.0,0.0,1.0,4.59028104134664e-12,5.34056801760869e-16,0.0
2025-07-10,-0.0012332686547031901,1.0034753902869928,0.0,0.0,1.0,4.5908145319009236e-12,5.334905542833816e-16,0.0
2025-07-11,-0.00812443208908431,0.9953227226255388,0.0,0.0,1.0,4.591347455995776e-12,5.329240948530009e-16,0.0
2025-07-14,0.017747866696947057,1.012987577627139,0.0,0.0,1.0,4.59294528261742e-12,1.5978266216435564e-15,0.0
2025-07-15,-0.007825176891416596,1.0050607706433992,0.0,0.0,1.0,4.593476945133732e-12,5.316625163120156e-16,0.0
2025-07-16,0.002762477092858262,1.007837227999232,0.0,0.0,1.0,4.594009172207067e-12,5.322270733348683e-16,0.0
2025-07-17,0.007556002027317543,1.0154524481372005,0.0,0.0,1.0,4.594540580511364e-12,5.314083042972212e-16,0.0
2025-07-18,0.011309732119565652,1.0269369433057893,0.0,0.0,1.0,4.595073308231334e-12,5.327277199699651e-16,0.0
2025-07-21,-0.0052597062827065555,1.0215355566131403,0.0,0.0,1.0,4.596669789560407e-12,1.5964813290729043e-15,0.0
2025-07-22,-0.01539035251564469,1.0058137642895988,0.0,0.0,1.0,4.597201253947793e-12,5.314643873858274e-16,0.0
2025-07-23,0.01908445918849133,1.0250091760254065,0.0,0.0,1.0,4.597733660830527e-12,5.324068827346699e-16,0.0
2025-07-24,-0.012890070783936225,1.0117967351922548,0.0,0.0,1.0,4.598267388131543e-12,5.337273010152968e-16,0.0
2025-07-25,0.01343747940585005,1.025392732984307,0.0,0.0,1.0,4.598801806873127e-12,5.344187415848996e-16,0.0
2025-07-28,0.0033273042816834852,1.0288045266151729,0.0,0.0,1.0,4.600405249431146e-12,1.603442558019329e-15,0.0
