date,return,nav,cost,turnover,gross
2025-07-01,-0.011867570076018463,0.9881324299239815,0.0004997501249375313,0.9995002498750625,1.0
2025-07-02,0.00038012696734890383,0.9885080457079076,0.0,0.0,1.0
2025-07-03,0.010426314914385726,0.9988145418878622,0.0,0.0,1.0
2025-07-07,-0.003342033483247686,0.9954764702453183,0.0,0.0,1.0
2025-07-08,-0.008970222300850872,0.9865468250119515,0.0,0.0,1.0
2025-07-09,0.006175235571003412,0.9926389840582257,0.0,0.0,1.0
2025-07-10,-0.0011770180367141059,0.9914706300700437,0.0,0.0,1.0
2025-07-11,-0.00572366311069239,0.9857957861993768,0.0,0.0,1.0
2025-07-14,0.012529146587906048,0.9981469661104089,0.0,0.0,1.0
2025-07-15,-0.0082772790309531,0.9898850251580137,0.0,0.0,1.0
2025-07-16,0.003920201989452421,0.9937655744029673,0.0,0.0,1.0
2025-07-17,0.004660838463425909,0.9983973552157732,0.0,0.0,1.0
2025-07-18,-0.0008359057594607977,0.9975627891163179,0.0,0.0,1.0
2025-07-21,0.002007749143943416,0.999565644952196,0.0,0.0,1.0
2025-07-22,-0.00830724863945631,0.9912620046081196,0.0,0.0,1.0
2025-07-23,0.011786530531288308,1.0029455444899393,0.0,0.0,1.0
2025-07-24,-0.0031618322547248834,0.9997743989176384,0.0,0.0,1.0
2025-07-25,0.007053350312478557,1.0068261579866522,0.0,0.0,1.0
2025-07-28,-0.0022794487076815972,1.0045311494019695,0.0,0.0,1.0
2025-07-29,-0.00020768441282126293,1.0043225239400453,0.0,0.0,1.0
2025-07-30,0.0027421060810306486,1.0070764828402574,0.0,0.0,1.0
2025-07-31,-0.0002485658814107561,1.0068261579866522,0.0,0.0,1.0
2025-08-01,-0.010402477546769706,0.9963526714846956,0.0,0.0,1.0
2025-08-04,0.014909128194281251,1.0112074211905755,0.0,0.0,1.0
2025-08-05,-0.0049929451933722335,1.0061585179574397,0.0,0.0,1.0
2025-08-06,0.012151056481170208,1.0183844069381511,0.0,0.0,1.0
2025-08-07,-0.0007784272803621484,1.017591668733895,0.0,0.0,1.0
2025-08-08,0.007339889095353103,1.025060678726757,0.0,0.0,1.0
2025-08-11,0.00016284506245045627,1.025227604797,0.0,0.0,1.0
2025-08-12,0.008791198874082973,1.03424058456197,0.0,0.0,1.0
2025-08-13,-0.0064552405777361654,1.027564312773364,0.0,0.0,1.0
2025-08-14,-0.0012181120969518844,1.0263126242535787,0.0,0.0,1.0
2025-08-15,-0.0044723382143952994,1.0217226070842131,0.0,0.0,1.0
2025-08-18,-8.168854691348315e-05,1.0216391440490917,0.0,0.0,1.0
2025-08-19,-0.011150108332642072,1.0102477569160766,0.0,0.0,1.0
2025-08-20,0.003097701686735732,1.0133772030966965,0.0,0.0,1.0
2025-08-21,-0.005476295424238664,1.0078276501563503,0.0,0.0,1.0
2025-08-22,0.008818723206323709,1.0167154032427588,0.0,0.0,1.0
2025-08-25,-0.0033653458170413986,1.0132938043133342,0.0,0.0,1.0
2025-08-26,0.009594831623599198,1.023016187750957,0.0,0.0,1.0
2025-08-27,-0.0016315794597348,1.0213470555520463,0.0,0.0,1.0
