date,symbol,adjusted_units_delta,adjusted_open,notional,cost
2025-07-01,APP,14.400792628895172,347.0,4997.075042226625,3.4985375211133123
2025-07-01,CVNA,74.38337331834803,67.18000030517578,4997.075042226625,3.4985375211133123
2025-07-01,DASH,20.180418143784117,247.6199951171875,4997.075042226625,3.4985375211133123
2025-07-01,FICO,2.7662863125194077,1806.4200439453125,4997.075042226625,3.4985375211133123
2025-07-01,FTNT,47.428578334078566,105.36000061035156,4997.075042226625,3.4985375211133123
2025-07-01,GEV,9.54109704070975,523.7421882311029,4997.075042226625,3.4985375211133123
2025-07-01,GILD,46.243321229580985,108.0604703416088,4997.075042226625,3.4985375211133123
2025-07-01,HOOD,52.594145872679896,95.01200103759766,4997.075042226625,3.4985375211133123
2025-07-01,HWM,27.25032813036081,183.37669250518712,4997.075042226625,3.4985375211133123
2025-07-01,NFLX,37.34092880265818,133.822998046875,4997.075042226625,3.4985375211133123
2025-07-01,PLTR,36.94148654095932,135.27000427246094,4997.075042226625,3.4985375211133123
2025-07-01,PM,28.335614553288423,176.3531555960801,4997.075042226625,3.4985375211133123
2025-07-01,RCL,16.49263318877421,302.988309085047,4997.075042226625,3.4985375211133123
2025-07-01,RDDT,32.91446977442924,151.82000732421875,4997.075042226625,3.4985375211133123
2025-07-01,T,182.3041779408962,27.410644663594585,4997.075042226625,3.4985375211133123
2025-07-01,TMUS,21.478220967955448,232.65777224668835,4997.075042226625,3.4985375211133123
2025-07-01,TSLA,16.74286398610564,298.4599914550781,4997.075042226625,3.4985375211133123
2025-07-01,WELL,33.03758385038922,151.2542522738918,4997.075042226625,3.4985375211133123
2025-07-01,WMB,83.03529393377605,60.18013311558807,4997.075042226625,3.4985375211133123
2025-07-01,WMT,51.75120549178496,96.55958725482957,4997.075042226625,3.4985375211133123
2025-07-02,APP,-0.03419747385893501,342.5299987792969,-11.713660679156419,1.0058568303395783
2025-07-02,AXON,6.3522872249738676,774.6799926757812,4920.989820917214,3.4604949104586074
2025-07-02,CVNA,-1.6048886938915956,67.61599731445312,-108.51614961617088,1.0542580748080854
2025-07-02,DASH,0.52123379315195,237.7100067138672,123.9024884696446,1.0619512442348222
2025-07-02,FICO,-2.7662863125194077,1825.3399658203125,-5049.412963143374,3.524706481571687
2025-07-02,FTNT,0.9064569171017851,101.80999755859375,92.28637651710324,1.0461431882585517
2025-07-02,GEV,0.2768642659322822,501.2231834309709,138.77078874885683,1.0693853943744285
2025-07-02,GILD,-0.822236008776855,108.34152898361977,-89.08230637627366,1.0445411531881368
2025-07-02,HOOD,1.3345096990156051,91.25,121.77401003517389,1.060887005017587
2025-07-02,HWM,0.8873002182755698,174.88999996532038,155.1799351434429,1.0775899675717215
2025-07-02,IBM,17.527781560780728,280.7537168267872,4920.989820917214,3.4604949104586074
2025-07-02,NFLX,0.6015663655719834,129.6959991455078,78.02075083519048,1.0390103754175952
2025-07-02,NRG,32.11356850181523,153.23709106445312,4920.989820917214,3.4604949104586074
2025-07-02,PLTR,0.4890282169753277,131.47000122070312,64.29254028270498,1.0321462701413524
2025-07-02,PM,0.5796659969460549,170.18648020267295,98.65131571342226,1.0493256578567112
2025-07-02,RCL,-0.5901958790530255,309.4487797734631,-182.6353946002846,1.0913176973001424
2025-07-02,RDDT,-0.5395367420791501,152.0,-82.00958479603105,1.0410047923980155
2025-07-02,T,-1.654091828091282,27.240451011157322,-45.05820741107618,1.0225291037055382
2025-07-02,TMUS,-21.478220967955448,234.2094032625736,-5030.401316046541,3.5152006580232706
2025-07-02,TSLA,-1.0022449026564413,312.6300048828125,-313.33182881125776,1.1566659144056288
2025-07-02,UAL,61.31310353773105,80.26000213623047,4920.989820917214,3.4604949104586074
2025-07-02,VST,26.782911095741074,183.73618175134567,4920.989820917214,3.4604949104586074
2025-07-02,WELL,-33.03758385038922,148.22250821811562,-4896.913543771,3.4484567718855
2025-07-02,WMB,-83.03529393377605,56.54276597162879,-4695.045192282907,3.3475225961414536
2025-07-02,WMT,-51.75120549178496,97.08392672021623,-5024.210241647303,3.5121051208236516
2025-08-04,APP,-0.8068755894975972,383.010009765625,-309.041427413119,1.1545207137065594
2025-08-04,AVGO,17.904043378850318,290.0746056810316,5193.5083232160905,3.5967541616080454
2025-08-04,AXON,0.5628018184312307,751.0399780273438,422.6866653483403,1.2113433326741703
2025-08-04,CCL,179.1230871724253,28.994075555524443,5193.5083232160905,3.5967541616080454
2025-08-04,CEG,15.150339358540139,342.79815126969726,5193.5083232160905,3.5967541616080454
2025-08-04,CRWD,45.868919348257954,113.2249984741211,5193.5083232160905,3.5967541616080454
2025-08-04,CVNA,-2.542788610328131,73.94400024414062,-188.02396162290097,1.0940119808114506
2025-08-04,DASH,-0.04905600897089357,251.47000122070312,-12.33611463579291,1.0061680573178964
2025-08-04,FTNT,4.757464640647861,97.81999969482422,465.3751896963104,1.2326875948481553
2025-08-04,GEV,-1.9234853160601437,657.8661242889264,-1265.3958300031472,1.6326979150015737
2025-08-04,GILD,-45.42108522080413,109.95031660280749,-4994.062700470514,3.497031350235257
2025-08-04,HOOD,-2.624103375878555,101.22899627685547,-265.63535086689444,1.1328176754334471
2025-08-04,HWM,-0.06343519117957541,184.99225584464,-11.735019116245894,1.0058675095581229
2025-08-04,IBM,-17.527781560780728,243.04558185074765,-4260.049867992758,3.130024933996379
2025-08-04,NFLX,6.535801841691374,116.76499938964844,763.152898055956,1.381576449027978
2025-08-04,NRG,-1.0929411814703975,167.42112496899557,-182.9814421267174,1.0914907210633586
2025-08-04,ORCL,21.361129967924768,243.12891363961114,5193.5083232160905,3.5967541616080454
2025-08-04,PLTR,-4.670101188220208,158.52999877929688,-740.3511356677427,1.3701755678338714
2025-08-04,PM,-28.915280550234478,157.96895823234982,-4567.716745516667,3.2838583727583335
2025-08-04,RCL,0.8078197948073207,310.7976311033923,251.0684785845433,1.1255342392922716
2025-08-04,RDDT,-5.283079063159338,191.6999969482422,-1012.7662402849674,1.5063831201424835
2025-08-04,T,-180.65008611280493,26.538572190257202,-4794.195351480854,3.3970976757404268
2025-08-04,TSLA,-15.740619083449198,309.0799865722656,-4865.110334951626,3.432555167475813
2025-08-04,UAL,-0.4350297850150753,85.30999755859375,-37.11238989755111,1.0185561949487756
2025-08-04,VST,-1.9871311842206687,209.45129944483523,-416.20720870237346,1.2081036043511868
2025-09-03,APP,-2.9459435656465,487.69000244140625,-1436.7072247223869,1.7183536123611933
2025-09-03,AVGO,-0.655179581558599,300.09121204335025,-196.6136347359752,1.0983068173679875
2025-09-03,AXON,0.10581589479365405,737.260009765625,78.01382762892717,1.0390069138144635
2025-09-03,CCL,-10.660158372712687,30.72624036742241,-327.5465885147605,1.1637732942573802
2025-09-03,CEG,1.8311585326402078,304.816010723548,558.166438921774,1.279083219460887
2025-09-03,CRWD,-45.868919348257954,103.24624633789062,-4735.793746283078,3.367896873141539
2025-09-03,CVNA,0.2247075076925995,73.46299743652344,16.507687061589422,1.0082538435307946
2025-09-03,DASH,0.5575599127072124,244.0449981689453,136.06970787570845,1.0680348539378541
2025-09-03,FTNT,-53.09249989182821,76.7300033569336,-4073.7876949279753,3.0368938474639875
2025-09-03,GEV,0.9544402610815323,584.9566541356867,558.3061816946438,1.2791530908473219
2025-09-03,HOOD,-0.352365662768257,101.58999633789062,-35.79682639022485,1.0178984131951123
2025-09-03,HWM,1.8393567096781176,173.03972501728725,318.28177925140426,1.159140889625702
2025-09-03,IBKR,81.28432156339463,63.68057632446289,5176.232443299937,3.5881162216499685
2025-09-03,NFLX,-1.5270013436796432,120.51399993896484,-184.02503983900806,1.092012519919504
2025-09-03,NRG,5.1460952938470506,143.12141297726475,736.5164297710426,1.3682582148855214
2025-09-03,ORCL,1.813857438994706,223.35427210434827,405.1328079877203,1.2025664039938602
2025-09-03,PLTR,0.0005512612978222364,158.0,0.08709928505595599,1.000043549642528
2025-09-03,RCL,-1.7801161643370076,346.6968238300867,-617.1606202242374,1.3085803101121187
2025-09-03,RDDT,-4.216511600338276,226.27999877929688,-954.1122397774361,1.477056119888718
2025-09-03,UAL,-11.627526479164047,105.0999984741211,-1222.0530152179435,1.6110265076089718
2025-09-03,VRT,41.53208494668607,124.63213561140901,5176.232443299937,3.5881162216499685
2025-09-03,VST,3.1794085635158,185.02940374893177,588.2840707815758,1.294142035390788
2025-10-02,APH,92.04795262290305,62.31207652216456,5735.699067546913,3.8678495337734566
2025-10-02,APP,-2.537487896948683,710.1900024414062,-1802.0985357290238,1.901049267864512
2025-10-02,AVGO,-0.6560055677577559,345.67275801451893,-226.76325387970337,1.1133816269398518
2025-10-02,AXON,0.9463399695133363,719.9099731445312,681.2795820379424,1.3406397910189711
2025-10-02,CCL,36.02373359303459,28.049257591825945,1010.4389829703405,1.5052194914851702
2025-10-02,CEG,-16.981497891180346,350.29184078217753,-5948.480155540229,3.974240077770115
2025-10-02,COIN,16.167828700129554,354.760009765625,5735.699067546913,3.8678495337734566
2025-10-02,CVNA,1.235834822515514,80.0,98.86678580124044,1.0494333929006203
2025-10-02,DASH,0.12007546366496413,268.8999938964844,32.28829144662632,1.0161441457233131
