date,return,nav,cost,turnover,gross,cash_dollars,interest_dollars,cost_dollars
2025-07-01,-0.015790352485610004,0.98420964751439,0.0006996272458188294,0.9993003727541815,1.0000000000000002,-2.9103830456733704e-11,11.471594954744583,69.97075042226626
2025-07-02,0.008087489762074185,0.9921694329623972,0.0005128762592135266,0.5179851991916247,1.0000000000000002,-2.04101539331356e-11,-3.3665621055206664e-15,50.50307884975649
2025-07-03,0.011969083674586267,1.004044791924891,0.0,0.0,1.0000000000000002,-2.0412513743705672e-11,-2.3598105700696208e-15,0.0
2025-07-07,0.001550634756888547,1.0056016986767227,0.0,0.0,1.0000000000000002,-2.0421992079486782e-11,-9.478335781109753e-15,0.0
2025-07-08,-0.011478462394659217,0.9940589373944566,0.0,0.0,1.0000000000000002,-2.042436555940575e-11,-2.3734799189681006e-15,0.0
2025-07-09,0.010260516890454818,1.0042584959117,0.0,0.0,1.0000000000000002,-2.0426742111182e-11,-2.376551776248445e-15,0.0
2025-07-10,-0.0012332686547033012,1.0030199753874727,0.0,0.0,1.0000000000000002,-2.0429116143158024e-11,-2.374031976024982e-15,0.0
2025-07-11,-0.0081244320890842,0.9948710077134423,0.0,0.0,1.0000000000000002,-2.0431487654390634e-11,-2.3715112326115378e-15,0.0
2025-07-14,0.017747866696946835,1.0125278457389975,0.0,0.0,1.0000000000000002,-2.043859797989025e-11,-7.110325499616698e-15,0.0
2025-07-15,-0.007825176891416374,1.0046046362386052,0.0,0.0,1.0000000000000002,-2.0440963877100697e-11,-2.365897210446536e-15,0.0
2025-07-16,0.002762477092858262,1.0073798335335935,0.0,0.0,1.0000000000000002,-2.0443332286588847e-11,-2.3684094881500126e-15,0.0
2025-07-17,0.007556002027317543,1.0149915975980521,0.0,0.0,1.0000000000000002,-2.04456970525563e-11,-2.364765967452698e-15,0.0
2025-07-18,0.011309732119565874,1.026470880670496,0.0,0.0,1.0000000000000002,-2.0448067689921044e-11,-2.370637364746639e-15,0.0
2025-07-21,-0.0052597062827064445,1.0210719453304182,0.0,0.0,1.0000000000000002,-2.045517202887122e-11,-7.104338950175109e-15,0.0
2025-07-22,-0.015390352515644912,1.0053572881479478,0.0,0.0,1.0000000000000002,-2.0457537044408312e-11,-2.3650155370928653e-15,0.0
2025-07-23,0.01908445918849133,1.0245439882834597,0.0,0.0,1.0000000000000002,-2.0459906254047956e-11,-2.3692096396452762e-15,0.0
2025-07-24,-0.012890070783936225,1.0113375437532297,0.0,0.0,1.0000000000000002,-2.04622813395465e-11,-2.375085498542435e-15,0.0
2025-07-25,0.01343747940585005,1.0249273711697768,0.0,0.0,1.0000000000000002,-2.0464659501954293e-11,-2.3781624077933643e-15,0.0
2025-07-28,0.003327304281683263,1.0283376164002842,0.0,0.0,1.0000000000000002,-2.0471794818360353e-11,-7.135316406061731e-15,0.0
2025-07-29,-0.010377485040390488,1.0176660581696195,0.0,0.0,1.0000000000000002,-2.0474168481708446e-11,-2.3736633480913236e-15,0.0
2025-07-30,0.011148435272294144,1.0290114423479342,0.0,0.0,1.0000000000000002,-2.0476539617452954e-11,-2.3711357445076113e-15,0.0
2025-07-31,0.0038206259255741948,1.0329429101422811,0.0,0.0,1.0000000000000002,-2.047891214895421e-11,-2.3725315012558934e-15,0.0
2025-08-01,-0.003969239522354839,1.0288429123190082,0.0,0.0,1.0000000000000002,-2.048128663754244e-11,-2.3744885882286337e-15,0.0
2025-08-04,0.02352619446350368,1.0530476707466225,0.0005089945541536581,0.5368639501084218,1.0,-6.732214406204285e-12,-7.035132977384691e-15,52.896272984257735
2025-08-05,-0.002731751749445177,1.0501710059298113,0.0,0.0,1.0,-6.732979878773954e-12,-7.654725696690727e-16,0.0
2025-08-06,0.005574134453926183,1.056024800316479,0.0,0.0,1.0,-6.733744885403359e-12,-7.650066294050351e-16,0.0
2025-08-07,-0.002808292466386697,1.0530591738254327,0.0,0.0,1.0,-6.734506844798782e-12,-7.619593954227989e-16,0.0
2025-08-08,-0.0005889064568259661,1.052439020478547,0.0,0.0,1.0,-6.735269812338847e-12,-7.629675400642759e-16,0.0
2025-08-11,-0.0014697664580350933,1.0508921809071203,0.0,0.0,1.0,-6.737556208186131e-12,-2.2863958472841923e-15,0.0
2025-08-12,0.019910278522476066,1.0718157369260735,0.0,0.0,1.0,-6.7383204435377716e-12,-7.642353516405878e-16,0.0
2025-08-13,-0.011514299114523396,1.0594745299354533,0.0,0.0,1.0,-6.739082367266805e-12,-7.619237290335544e-16,0.0
2025-08-14,-0.006312749508633142,1.052786332617194,0.0,0.0,1.0,-6.73984068703215e-12,-7.583197653451372e-16,0.0
2025-08-15,0.0005174497546440726,1.0533310966466993,0.0,0.0,1.0,-6.740599461154749e-12,-7.587741225994482e-16,0.0
2025-08-18,0.008883854296626748,1.0626887366354145,0.0,0.0,1.0,-6.742876039791885e-12,-2.2765786371357934e-15,0.0
2025-08-19,-0.033556269400049965,1.0270288671004777,0.0,0.0,1.0,-6.74363718637339e-12,-7.611465815057936e-16,0.0
2025-08-20,-0.008080944346136487,1.018729503983563,0.0,0.0,1.0,-6.744396018672812e-12,-7.588322994214192e-16,0.0
2025-08-21,-0.0038988968003673685,1.014757582780042,0.0,0.0,1.0,-6.745155859550927e-12,-7.598408781155066e-16,0.0
2025-08-22,0.020640377067790094,1.0357025619210212,0.0,0.0,1.0,-6.745918186776706e-12,-7.623272257789118e-16,0.0
2025-08-25,-0.0011837596859883837,1.0344765389815442,0.0,0.0,1.0,-6.748183263765459e-12,-2.2650769887525505e-15,0.0
2025-08-26,0.016071963229346897,1.0511026078776775,0.0,0.0,1.0,-6.7489394667404346e-12,-7.562029749753135e-16,0.0
2025-08-27,-0.005312610148774599,1.0455185094956632,0.0,0.0,1.0,-6.7496948305550825e-12,-7.553638146478394e-16,0.0
2025-08-28,0.019116847899559586,1.065505527817866,0.0,0.0,1.0,-6.750445104631081e-12,-7.502740759981655e-16,0.0
2025-08-29,-0.020098615701357514,1.0440903416865825,0.0,0.0,1.0,-6.751197679925983e-12,-7.525752949025076e-16,0.0
2025-09-02,-0.01201115529542085,1.031549610450136,0.0,0.0,1.0,-6.754186875678335e-12,-2.9891957523515093e-15,0.0
2025-09-03,0.0034795690969824378,1.0351389585966626,0.00034536085934839405,0.2658489506749214,1.0000000000000004,-4.2367334387646585e-11,-7.4559567202582e-16,35.76571377374617
2025-09-04,0.013747496749915822,1.0493695280656816,0.0,0.0,1.0000000000000004,-4.2371995084563843e-11,-4.6606969172615e-15,0.0
2025-09-05,-0.003944921818771485,1.0452298473184614,0.0,0.0,1.0000000000000004,-4.2376633092295205e-11,-4.6380077313619725e-15,0.0
2025-09-08,0.019119303395878307,1.0652139138877705,0.0,0.0,1.0000000000000004,-4.2390242343960755e-11,-1.3609251665551527e-14,0.0
2025-09-09,0.010955959734620047,1.0768843546370819,0.0,0.0,1.0000000000000004,-4.2394801108390465e-11,-4.558764429709412e-15,0.0
2025-09-10,0.047646145977906285,1.1281937437994436,0.0,0.0,1.0000000000000004,-4.239937777380007e-11,-4.576665409601969e-15,0.0
2025-09-11,-0.007284695473027791,1.1199751959412896,0.0,0.0,1.0000000000000004,-4.240393984245117e-11,-4.562068651101933e-15,0.0
2025-09-12,-0.0026677051313110933,1.116987432364136,0.0,0.0,1.0000000000000004,-4.240850007994792e-11,-4.56023749675129e-15,0.0
2025-09-15,0.008451256524538264,1.1264273796897304,0.0,0.0,1.0000000000000004,-4.24221822637e-11,-1.3682183752082654e-14,0.0
2025-09-16,-0.0027929479332740037,1.1232813266676427,0.0,0.0,1.0000000000000004,-4.2426711942409764e-11,-4.529678709763848e-15,0.0
2025-09-17,-0.0013315898073502641,1.1217855767022653,0.0,0.0,1.0000000000000004,-4.2431230488991743e-11,-4.518546581977089e-15,0.0
2025-09-18,0.012937062199096516,1.136298186482112,0.0,0.0,1.0000000000000004,-4.243572395924024e-11,-4.493470248496056e-15,0.0
