,excess_return
2016-01-04,0.0
2016-01-05,0.0005310157914274825
2016-01-06,-0.00406823430827902
2016-01-07,-0.007446140313879709
2016-01-08,-0.0035599160179975876
2016-01-11,0.0009497130179115026
2016-01-12,0.0025006648440595585
2016-01-13,-0.008383033140336432
2016-01-14,0.0043525126450601965
2016-01-15,-0.005975411193447302
2016-01-19,0.0013305043398980972
2016-01-20,-0.004314327587215757
2016-01-21,0.002798150668804183
2016-01-22,0.005292890391559555
2016-01-25,-0.004027801346753486
2016-01-26,0.003947671810487552
2016-01-27,-0.001879560977704751
2016-01-28,0.0011561411255353088
2016-01-29,0.008467151727324283
2016-02-01,0.00030179119015454704
2016-02-02,-0.004859839436951778
2016-02-03,0.001404857733726584
2016-02-04,-2.6048980879047343e-05
2016-02-05,-0.004225259304468851
2016-02-08,-0.0038290636270459314
2016-02-09,0.0005398652492652243
2016-02-10,-0.0003244385361427931
2016-02-11,-0.0041723305441352145
2016-02-12,0.005121650151985442
2016-02-16,0.004433600927985991
2016-02-17,0.004616471084531235
2016-02-18,3.828933400897678e-05
2016-02-19,4.511534335122163e-05
2016-02-22,0.004181527152377637
2016-02-23,-0.0028912135085431548
2016-02-24,0.0013295772240686093
2016-02-25,0.003983141687462303
2016-02-26,-0.001490420418592299
2016-02-29,-0.002142305522459678
2016-03-01,0.00544000536668786
2016-03-02,0.00038126195731173795
2016-03-03,0.0009033615554070679
2016-03-04,0.0012026198877843953
2016-03-07,-0.00043370859008111775
2016-03-08,-0.0018651358112626918
2016-03-09,0.0014627733228247599
2016-03-10,0.0004565815986407238
2016-03-11,0.003440255143343746
2016-03-14,-0.0002568712972190107
2016-03-15,-0.00045180112995473864
2016-03-16,0.0011835038358588255
2016-03-17,0.001925652779737111
2016-03-18,0.0012018501470255967
2016-03-21,0.00043192056685568416
2016-03-22,-0.0007514593206939997
2016-03-23,-0.001324330224363764
2016-03-24,-0.00030915744831716893
2016-03-28,0.00026047536242765205
2016-03-29,0.0021432955033382547
2016-03-30,0.0012051385003851497
2016-03-31,-0.0007876946415333242
2016-04-01,0.0019404569263196418
2016-04-04,-2.5706223640884255e-05
2016-04-05,-0.0018764007106408863
2016-04-06,0.003078217799155939
2016-04-07,-0.0028086166855439162
2016-04-08,0.0011240204375090829
2016-04-11,-0.0014566899764345575
2016-04-12,0.002522462135132704
2016-04-13,0.0008403070138047878
2016-04-14,-0.00011526730162471889
2016-04-15,0.0003484820991987585
2016-04-18,0.0018715614237561529
2016-04-19,0.0011874365205488135
2016-04-20,-0.0013195426470130234
2016-04-21,-0.0037221993717358186
2016-04-22,0.0007056932545171312
2016-04-25,-2.4744939955299785e-05
2016-04-26,0.0004901249316514632
2016-04-27,0.0016519727803321915
2016-04-28,-0.0017213124133885441
2016-04-29,-0.0009165402749749877
2016-05-02,0.0022235226272994593
2016-05-03,-0.0014182503437527349
2016-05-04,-0.0012101503968698106
2016-05-05,-0.00023708708296990013
2016-05-06,0.001746967597406312
2016-05-09,0.0005311961307184692
2016-05-10,0.004606106835387502
2016-05-11,-0.003433889520742078
2016-05-12,0.0012199787448920329
2016-05-13,-0.004506769434825017
2016-05-16,0.003560603790754022
2016-05-17,-0.0043355670242911926
2016-05-18,-0.0018488124709596964
2016-05-19,-0.00019019371263729375
2016-05-20,0.0013076451218772772
2016-05-23,-0.0008179575379175472
2016-05-24,0.004935673137335358
2016-05-25,0.0017513858950376016
2016-05-26,0.000396217892965178
2016-05-27,0.001143750169622845
2016-05-31,-0.001227313965872003
2016-06-01,0.0012883179923888605
2016-06-02,0.0020489020223244383
2016-06-03,-4.58966945171928e-05
2016-06-06,0.0021900723775478423
2016-06-07,0.0009183668005718281
2016-06-08,0.0023359484918590973
2016-06-09,-3.212232136899477e-05
2016-06-10,-0.0034779468795790606
2016-06-13,-0.0034692146643954852
2016-06-14,0.00013058064258111835
2016-06-15,-0.0007342026892853208
2016-06-16,0.002351754950014752
2016-06-17,-0.001771545844799174
2016-06-20,0.003284205980068057
2016-06-21,0.0012801148583080997
2016-06-22,-0.0007594936521126387
2016-06-23,0.005929855921640775
2016-06-24,-0.015939052024910416
2016-06-27,-0.0064994727861266
2016-06-28,0.007642199220425347
2016-06-29,0.007670512506008755
2016-06-30,0.00754352390630711
2016-07-01,0.0009807676310131224
2016-07-05,-0.001829760790921719
2016-07-06,0.0021424842553395317
2016-07-07,-0.0005437631055730688
2016-07-08,0.005899202036985374
2016-07-11,0.001287564820580062
2016-07-12,0.0011788759121265939
2016-07-13,0.0010047332933919562
