date,return,nav,gross,turnover,borrow
2016-01-04,0.0,1.0,0.0,0.0,0.0
2016-01-05,0.0,1.0,0.0,0.0,0.0
2016-01-06,0.0,1.0,0.0,0.0,0.0
2016-01-07,0.0,1.0,0.0,0.0,0.0
2016-01-08,0.0,1.0,0.0,0.0,0.0
2016-01-11,0.0,1.0,0.0,0.0,0.0
2016-01-12,0.0,1.0,0.0,0.0,0.0
2016-01-13,0.0,1.0,0.0,0.0,0.0
2016-01-14,0.0005263878945620526,1.000526387894562,0.11238545341111777,0.11034044142471211,7.273912986419093e-06
2016-01-15,0.00020598883645250865,1.0007324851610444,0.11320130424972313,0.0032218331643630352,7.398223746962383e-06
2016-01-19,5.562573355999412e-05,1.0007881516396289,0.21450888607175533,0.10592537574750226,1.3767710301884165e-05
2016-01-20,-0.0010396856761525353,0.999747646533506,0.3382499415872351,0.12679138653121289,2.2421347466306332e-05
2016-01-21,-0.005676070926960652,0.9940730079827198,0.5695055880509051,0.23224845712857137,3.816219396661261e-05
2016-01-22,-0.0035642018715298374,0.9905299311072305,0.558446601257727,0.22455235873060805,3.683818179881977e-05
2016-01-25,0.0011900221546723433,0.9917086836701141,0.590027573968882,0.32031315885490086,3.53741370813667e-05
2016-01-26,-0.003546071612782531,0.9881920136588016,0.6066919077903837,0.007909619872151274,3.635328066139763e-05
2016-01-27,-0.0001325719283936655,0.9880610071379277,0.5932436370393223,0.007091882984918906,3.5348649632460674e-05
2016-01-28,-0.002772338815360431,0.985321767255895,0.5983036188058316,0.005269154350452932,3.579000330249947e-05
2016-01-29,-0.0028539714116900816,0.9825096871008308,0.613270030575481,0.006764044089485688,3.66799089310404e-05
2016-02-01,0.002471895473541874,0.9849383483490864,0.6021630418555054,0.008764736573338835,3.571981020873337e-05
2016-02-02,-0.002962931820124526,0.9820200431759021,0.5924681463434184,0.008684676732961633,3.525004130159006e-05
2016-02-03,-0.003962754904229149,0.9781285384337555,0.6015737213161303,0.006968694586503982,3.5952909195049676e-05
2016-02-04,0.0011740874691348324,0.9792769468939337,0.6057032634870716,0.006325903506693872,3.601240641796118e-05
2016-02-05,-0.0043517591998102345,0.975015369431126,0.5909725732566953,0.007403147173930921,3.528599464758783e-05
2016-02-08,-0.002888116281196784,0.9721994116682549,0.5992159520645391,0.018009854473459173,3.5941564903174084e-05
2016-02-09,0.0037409865181838864,0.9758363965602921,0.6089587647658696,0.011387693921049736,3.646208151557394e-05
2016-02-10,0.0014282180713589554,0.9772301037365494,0.5962892014636697,0.013180426793274242,3.5862091074586806e-05
2016-02-11,-0.0016825484189229023,0.9755858667705836,0.6007033150524025,0.015566697994218465,3.609086537184378e-05
2016-02-12,2.9219960924198318e-05,0.9756143733514887,0.607835316330796,0.06978840737391084,3.625467558690783e-05
