date,GLD,SLV,USO,UNG,FXE,FXB,FXY,FXA,FXC,FXF,IEF,TLT,SPY,QQQ
2015-05-14,,,,,,,,,,,,,,
2015-05-15,,,,,,,,,,,,,,
2015-05-18,0.12336210509658593,0.07625181964639788,0.04273723700535031,0.04607040553044479,0.12227277464499263,0.16425279108820723,-0.2853599402561457,0.11952540506206241,0.17195655351267397,0.12078745825410127,-0.2522671843256766,-0.10283734317692397,0.15444818948363714,0.12936497780461187
2015-05-19,,,,,,,,,,,,,,
2015-05-20,,,,,,,,,,,,,,
2015-05-21,,,,,,,,,,,,,,
2015-05-22,,,,,,,,,,,,,,
2015-05-26,-0.12833614227191298,0.0786828610555193,0.045399046394646425,0.05035858835797917,-0.12673244335159328,0.16878221099442434,-0.278532325412365,-0.12656708137229974,-0.18248241423683634,0.1301576454434441,-0.27166915716660206,-0.10973709027953858,-0.1644126815014537,-0.1381503121613853
2015-05-27,,,,,,,,,,,,,,
2015-05-28,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,
2015-06-01,0.1277346838462892,0.07937674532782345,-0.045502440122598284,-0.050866278959645024,-0.12741657328888162,0.16902288974996793,-0.27452959436080676,-0.12701851191668104,-0.1826532799307707,-0.12805937073663531,-0.279982232164315,-0.11281957251637022,0.16083720685331113,0.1341806202259043
2015-06-02,,,,,,,,,,,,,,
2015-06-03,,,,,,,,,,,,,,
2015-06-04,,,,,,,,,,,,,,
2015-06-05,,,,,,,,,,,,,,
2015-06-08,-0.13259745096821418,-0.07652185189787943,-0.04419423199638359,-0.050102831255770704,0.11735479964420979,-0.16616709139635025,-0.24426825065982877,-0.11574066009106122,-0.1774346545487018,0.12331682764200287,-0.26368920199912205,-0.10823601510458793,-0.15975104370082668,-0.13025459692056482
2015-06-09,,,,,,,,,,,,,,
2015-06-10,,,,,,,,,,,,,,
2015-06-11,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,,,,,,
2015-06-15,-0.09181790927459803,-0.05349783536332887,-0.03177141781372611,-0.03302885853602596,-0.0876547152805063,-0.11900691879414001,-0.1553455290806423,-0.08338711586018914,-0.12602056206839984,-0.08920431955029487,-0.17903366602749524,-0.07408969659446704,-0.11989842998591982,-0.09415722352403581
2015-06-16,,,,,,,,,,,,,,
2015-06-17,,,,,,,,,,,,,,
2015-06-18,,,,,,,,,,,,,,
2015-06-19,,,,,,,,,,,,,,
2015-06-22,-0.13098582900922182,-0.08337344696687035,-0.04770024782471641,-0.04698358073015071,0.1406867166353792,0.18491114536133002,-0.23205042654144625,-0.13505544770316028,-0.19816154313308268,0.14235022877181006,-0.25755429927244305,-0.10229392596679415,-0.1694353139892634,0.1284578480943316
2015-06-23,,,,,,,,,,,,,,
2015-06-24,,,,,,,,,,,,,,
2015-06-25,,,,,,,,,,,,,,
2015-06-26,,,,,,,,,,,,,,
2015-06-29,-0.13382761825148812,-0.08279404712055587,-0.05303056766777036,0.0469713731089998,0.13938902717135837,0.1896191314797477,0.22694055928594492,0.13821108556711187,0.20441848083664216,0.140864813533114,-0.24662102082448834,-0.0998909243104308,-0.16728711892810832,-0.13013423191423928
2015-06-30,,,,,,,,,,,,,,
2015-07-01,,,,,,,,,,,,,,
2015-07-02,,,,,,,,,,,,,,
2015-07-06,-0.1423975302204769,-0.08651519874103426,-0.052075079767923076,0.04787655980666509,-0.14080515808283617,0.18946138903427412,0.22524277393984807,-0.13335877540335558,-0.1985046883459979,-0.13769123900763985,0.2429605571022938,0.09887589341001228,-0.17095395253642284,-0.13328120460122003
2015-07-07,,,,,,,,,,,,,,
2015-07-08,,,,,,,,,,,,,,
2015-07-09,,,,,,,,,,,,,,
2015-07-10,,,,,,,,,,,,,,
2015-07-13,-0.12199379545201693,-0.07044909386261569,-0.047051723439062804,0.040296652885027186,-0.1186896541105368,-0.16057226476698722,-0.17077707114577273,-0.11446212487042329,-0.1666723742163916,-0.11678580989365864,-0.19739530586061688,-0.0807261133294906,0.13139088891498363,0.10376603997252319
2015-07-14,,,,,,,,,,,,,,
2015-07-15,,,,,,,,,,,,,,
2015-07-16,,,,,,,,,,,,,,
2015-07-17,,,,,,,,,,,,,,
2015-07-20,-0.1067805138811322,-0.06619252149773389,-0.04631844625803228,-0.039367181169980336,-0.11382283583748189,-0.1518753731280683,-0.16401242639300448,-0.11175869134190329,-0.17097632566308058,-0.11157963174162731,-0.1860901575957949,-0.07651772304815661,0.12784610996509788,0.09926043959398623
2015-07-21,,,,,,,,,,,,,,
2015-07-22,,,,,,,,,,,,,,
2015-07-23,,,,,,,,,,,,,,
2015-07-24,,,,,,,,,,,,,,
2015-07-27,-0.14497383455190171,-0.08950048115723673,-0.05600184033513442,0.048563456472479456,-0.13728997624142453,-0.18957985439060934,0.20304711417074262,-0.1376159642538742,-0.2165903688861331,-0.14763704317388987,0.23012132710931643,0.09396790363242032,-0.15360038998714406,0.12069142901388098
2015-07-28,,,,,,,,,,,,,,
2015-07-29,,,,,,,,,,,,,,
2015-07-30,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,
2015-08-03,-0.12286932306865218,-0.07469975424798656,-0.043942530076036115,-0.04045859314937867,-0.1140529890694268,-0.1651756266683386,-0.16483101895490354,-0.11993278186741296,-0.17328837650138015,-0.1251674980254046,0.18566787244131658,0.07693216880560888,0.12423666957193166,0.10074386921823748
2015-08-04,,,,,,,,,,,,,,
2015-08-05,,,,,,,,,,,,,,
2015-08-06,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,
2015-08-10,-0.14662562159409967,-0.08643061210887909,-0.05371306195311906,-0.050372138093581306,0.14282867379616157,0.21164022647032554,-0.19864121876442653,0.14450721428359517,-0.20116634026341892,-0.16015175828231057,0.23088448718639976,0.09671845141654492,0.15337999971061342,0.12294019607652432
2015-08-11,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,
2015-08-17,0.1487579609721394,0.09435256074835861,-0.05251614029377117,-0.04847244868369171,0.14466883417997706,0.21138885459622772,-0.19479344232919113,0.14428127865387758,-0.19759781692387005,-0.1608915667693049,0.23231484092314642,0.09834042300122975,-0.15082126886637096,-0.12080256305884354
2015-08-18,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,,,,
2015-08-24,0.13198939285220856,0.07904680252146166,-0.04778444698794113,-0.045224387134257804,0.12923257112356687,0.21819882382774833,0.14902945755460437,-0.12981495112395297,-0.1860840504219231,0.14012411443834294,0.21836960997548094,0.09290716466618767,-0.09810646413089276,-0.0813702200629246
2015-08-25,,,,,,,,,,,,,,
2015-08-26,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,
2015-08-31,0.1475565578353908,0.08699744627890157,0.04267333977174421,-0.055548692671250295,0.15375590404283396,-0.24507529988869353,0.1728779479358521,-0.16643566466801918,-0.22247011730932287,0.16157126019034956,-0.2579495634729929,-0.10668700410575643,-0.09834817514669254,-0.0820530266821997
2015-09-01,,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,,,,
2015-09-03,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,,,,
2015-09-08,0.14945393703107115,-0.08885727295567933,0.04148285359463631,-0.05961753744749587,0.1631488231604021,-0.2325205611573997,0.17148030070955375,-0.1611197608484654,-0.22346350403207751,0.1633755673755591,0.27295293877296556,-0.10923555446354663,-0.08857444472316256,-0.07471694372798514
2015-09-09,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,
2015-09-14,-0.14655394690826767,-0.08694537390180788,0.0401270723689979,-0.06303991078384773,0.1602599129397825,-0.23560736036782767,0.17555910499051414,-0.15902225759898156,-0.22386012031122335,0.15960549327776177,0.27767084191182106,-0.11096921525714609,-0.087224724783613,-0.07355466459840745
2015-09-15,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,
2015-09-21,-0.1479323701235089,-0.08332725529747492,0.03857414859762892,-0.06468757182641084,-0.1540889910713443,-0.24004747438191357,0.1784149390898867,-0.1602596993933862,-0.2280247302219851,-0.15978498006219383,-0.2726568165506089,-0.11018087758958355,-0.08731182618149062,0.07470831961258338
2015-09-22,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,
2015-09-28,-0.12560656470347656,0.07206843840146343,-0.03529730563601663,-0.061421396896556436,0.14623805278730248,-0.21417768925270694,0.1668473217878423,-0.14554443360065092,-0.21193537210034216,-0.15180709238561613,0.26622182559202545,0.10439894748118649,-0.07930151500190848,-0.06768086045960359
2015-09-29,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,
2015-10-05,0.12888528345665984,0.07360752906895014,-0.03954939898155548,-0.06326066802249211,0.16001097259140243,-0.2361327425597672,-0.18065853556652647,0.1632618887789871,0.22587969603322244,-0.1691087141591133,0.2916358719229204,0.11587820665339858,0.08192879605117911,0.07020169615382557
2015-10-06,,,,,,,,,,,,,,
2015-10-07,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,
2015-10-12,0.12121824312423904,0.07126421653509458,0.03700891792960991,-0.06417557395341951,0.16178791198742865,-0.24309441941847723,0.1950871639318928,0.15160467852769524,0.21341009644856057,0.1660023122737814,0.303772779961587,0.11977170299406024,0.08147284974740077,0.07032913316675336
2015-10-13,,,,,,,,,,,,,,
2015-10-14,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,
2015-10-16,,,,,,,,,,,,,,
2015-10-19,0.1296735197284522,0.07253597861397876,-0.03752081466311267,-0.06559784869347593,0.16311076702339633,-0.22564617136480392,0.19276001322164643,0.14977717671831547,0.21695788692957857,0.16833552014199835,0.30329763821202793,0.12205982617967252,0.08145515280903128,0.07127168570050979
2015-10-20,,,,,,,,,,,,,,
2015-10-21,,,,,,,,,,,,,,
2015-10-22,,,,,,,,,,,,,,
2015-10-23,,,,,,,,,,,,,,
2015-10-26,0.13231618349752292,0.07354867960680442,-0.03844151386415992,-0.06135740475454401,-0.1567478294050313,0.2318926956693778,-0.19237875792869044,0.15483581181908354,0.21665952706292912,-0.16332960017087228,0.301976548805953,0.12401853898610112,0.08221423771797734,0.07028267071095308
2015-10-27,,,,,,,,,,,,,,
2015-10-28,,,,,,,,,,,,,,
2015-10-29,,,,,,,,,,,,,,
2015-10-30,,,,,,,,,,,,,,
2015-11-02,-0.12367284898756677,-0.06818763528745449,-0.03561514276248858,-0.05650681473120534,-0.14737687521235768,0.2124286973848887,-0.17896184374177337,0.14477173279795785,-0.20056204532373795,-0.15454252042064803,-0.28171371394533057,-0.11601698911421603,0.07668679757069574,0.06586149545384563
2015-11-03,,,,,,,,,,,,,,
2015-11-04,,,,,,,,,,,,,,
2015-11-05,,,,,,,,,,,,,,
2015-11-06,,,,,,,,,,,,,,
2015-11-09,-0.09814044732029256,-0.05703126146555117,-0.029165181865532765,-0.04437877491951975,-0.11825727008743775,-0.1665771356121767,-0.14416470155342864,-0.12045881156340141,-0.16839123703334077,-0.12579231411768227,-0.23965986070722406,-0.10026808238881917,0.06406448045361211,0.05536829594415776
2015-11-10,,,,,,,,,,,,,,
2015-11-11,,,,,,,,,,,,,,
2015-11-12,,,,,,,,,,,,,,
2015-11-13,,,,,,,,,,,,,,
2015-11-16,-0.10255892308636208,-0.06002283416598867,-0.029217471158417132,-0.0457124420237746,-0.12152260077980144,-0.17037841973178813,-0.14763836968345212,-0.12271527035634933,-0.17956616339017517,-0.13146266311694724,-0.2426279479221505,-0.10238785028357403,0.06374121098278202,0.055238108469175075
2015-11-17,,,,,,,,,,,,,,
2015-11-18,,,,,,,,,,,,,,
2015-11-19,,,,,,,,,,,,,,
2015-11-20,,,,,,,,,,,,,,
2015-11-23,-0.10377641834072303,-0.0629759866227258,-0.029592865453936714,-0.042820269268260026,-0.13412814727978423,-0.16476237874382407,-0.19489574174180774,-0.12342103242448062,-0.18220157097117065,-0.14544007581619184,-0.24864275120214058,-0.10384844558546143,0.07256853212149518,0.06244188259838759
2015-11-24,,,,,,,,,,,,,,
2015-11-25,,,,,,,,,,,,,,
2015-11-27,,,,,,,,,,,,,,
2015-11-30,-0.11629938860639842,-0.07481058675064814,-0.04015775696918926,-0.0478070841601696,-0.1569824561124778,-0.19458367379730365,-0.2312160027157225,0.13666329829058865,-0.20529939769507902,-0.17398155856649353,-0.2855261059461915,-0.1222087325430339,0.09223459459332604,0.0811986524370273
2015-12-01,,,,,,,,,,,,,,
2015-12-02,,,,,,,,,,,,,,
2015-12-03,,,,,,,,,,,,,,
2015-12-04,,,,,,,,,,,,,,
2015-12-07,-0.10946034155077534,-0.07399506451577902,-0.04178130070700274,-0.049467747048019844,0.1380603512713555,-0.19979014113803426,-0.27231226288999083,0.14926563368731957,-0.21415857218549578,0.15507713448899962,0.2769713642685701,0.11794530788840359,-0.10708521008798841,-0.09462956827226526
2015-12-08,,,,,,,,,,,,,,
2015-12-09,,,,,,,,,,,,,,
2015-12-10,,,,,,,,,,,,,,
2015-12-11,,,,,,,,,,,,,,
2015-12-14,-0.11272876896115383,-0.07582773765573723,-0.04426500219016514,-0.050883496464161966,0.14028521973357705,-0.19822742999498338,0.25384602519918426,0.14858209474268025,-0.21448829382107149,0.15747094277199392,0.2774497755305868,0.12273508768854362,0.10892612531002029,0.09428399993614069
2015-12-15,,,,,,,,,,,,,,
2015-12-16,,,,,,,,,,,,,,
2015-12-17,,,,,,,,,,,,,,
2015-12-18,,,,,,,,,,,,,,
2015-12-21,0.1068575543756281,0.0731669499631323,-0.046921198803978256,-0.044018386467645436,0.146641577769839,-0.20571215265980944,0.2361854454601645,-0.14504041642161153,-0.20877811997577145,0.16255441488632594,0.2950563320804998,0.13262481010358346,-0.10515812654244411,-0.09128451448956675
2015-12-22,,,,,,,,,,,,,,
2015-12-23,,,,,,,,,,,,,,
2015-12-24,,,,,,,,,,,,,,
2015-12-28,0.11032991800140976,-0.0739135581043866,-0.04463864046238046,-0.03725786744404889,0.14483814688491933,-0.20300794549134685,0.23553071094545935,0.14857375311808246,-0.20513891431957434,0.16182849160622703,-0.2956760670031775,0.13521459008526823,-0.1082151373362265,-0.09583625919749272
2015-12-29,,,,,,,,,,,,,,
2015-12-30,,,,,,,,,,,,,,
2015-12-31,,,,,,,,,,,,,,
2016-01-04,0.1143398572847217,-0.08301522555980118,-0.0440724632428168,-0.03712234465220383,-0.1455898095482346,-0.20314812071842162,0.23354429449995046,-0.14354448427185246,-0.20933983710318427,-0.1566942217452311,0.2953498669259502,0.13088179499413102,-0.1086816214973679,-0.0946760579561327
2016-01-05,,,,,,,,,,,,,,
2016-01-06,,,,,,,,,,,,,,
2016-01-07,,,,,,,,,,,,,,
2016-01-08,,,,,,,,,,,,,,
2016-01-11,0.11360354645378123,-0.08557692604591069,-0.04418096387345139,0.035266765795244404,-0.14341159638564852,-0.20778068289412271,0.2280598577235043,-0.14644582000243558,-0.21981759636743475,-0.15473013517994136,0.2946721744528127,0.13083879968115153,-0.10577221007984071,-0.08984292506471968
2016-01-12,,,,,,,,,,,,,,
2016-01-13,,,,,,,,,,,,,,
2016-01-14,,,,,,,,,,,,,,
2016-01-15,,,,,,,,,,,,,,
2016-01-19,0.11308363283686132,0.08109399878995006,-0.0431195586331098,0.03371130793853824,0.14517977245330155,-0.2133712348057445,0.22723445334153364,-0.1426472894207914,-0.22180624272987076,-0.1560797689715576,0.2905152401493047,0.12228143241428852,-0.09655625554519014,-0.078388906145335
2016-01-20,,,,,,,,,,,,,,
2016-01-21,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,
2016-01-25,0.11255631196394876,-0.08228120482998015,-0.036501676744429355,0.03439101831409968,-0.1552193026934439,-0.21425115966041486,0.217579020031543,-0.14012282885923685,-0.20529516955819044,-0.16254995767983452,0.2915423847201705,0.12365780442352578,-0.09490521373170127,-0.07772477374633728
