Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
04/02/2025,ProShares Ultra S&P500,SSO,42.2203,41.6687,1.32378,0.5516,110200,4652677060
04/01/2025,ProShares Ultra S&P500,SSO,41.6687,41.3713,0.71886,0.2974,110700,4612725090
03/31/2025,ProShares Ultra S&P500,SSO,41.3713,40.9087,1.13081,0.4626,111000,4592214300
03/28/2025,ProShares Ultra S&P500,SSO,40.9087,42.6132,-3.99993,-1.7045,115100,4708591370
03/27/2025,ProShares Ultra S&P500,SSO,42.6132,42.8981,-0.66413,-0.2849,115500,4921824600
03/26/2025,ProShares Ultra S&P500,SSO,42.8981,43.97705,-2.45344,-1.07895,116000,4976179600
03/25/2025,ProShares Ultra S&P500,SSO,43.97705,43.8333,0.32795,0.14375,116000,5101337800
03/24/2025,ProShares Ultra S&P500,SSO,43.8333,42.3474,3.50883,1.4859,116000,5084662800
03/21/2025,ProShares Ultra S&P500,SSO,42.3474,42.29795,0.11691,0.04945,116000,4912298400
03/20/2025,ProShares Ultra S&P500,SSO,42.29795,42.49285,-0.45867,-0.1949,116000,4906562200
03/19/2025,ProShares Ultra S&P500,SSO,42.49285,41.5998,2.14677,0.89305,113000,4801692050
03/18/2025,ProShares Ultra S&P500,SSO,41.5998,42.5135,-2.14920,-0.9137,110000,4575978000
03/17/2025,ProShares Ultra S&P500,SSO,42.5135,41.96215,1.31392,0.55135,109900,4672233650
03/14/2025,ProShares Ultra S&P500,SSO,41.96215,40.2634,4.21909,1.69875,108400,4548697060
03/13/2025,ProShares Ultra S&P500,SSO,40.2634,41.40905,-2.76667,-1.14565,108800,4380657920
03/12/2025,ProShares Ultra S&P500,SSO,41.40905,41.0083,0.97724,0.40075,108600,4497022830
03/11/2025,ProShares Ultra S&P500,SSO,41.0083,41.6541,-1.55039,-0.6458,109000,4469904700
03/10/2025,ProShares Ultra S&P500,SSO,41.6541,44.0204,-5.37546,-2.3663,109000,4540296900
03/07/2025,ProShares Ultra S&P500,SSO,44.0204,43.5495,1.08130,0.4709,109900,4837841960
03/06/2025,ProShares Ultra S&P500,SSO,43.5495,45.16265,-3.57187,-1.61315,110600,4816574700
03/05/2025,ProShares Ultra S&P500,SSO,45.16265,44.1897,2.20176,0.97295,110500,4990472825
03/04/2025,ProShares Ultra S&P500,SSO,44.1897,45.2984,-2.44755,-1.1087,124600,5506036620
03/03/2025,ProShares Ultra S&P500,SSO,45.2984,46.9491,-3.51594,-1.6507,128000,5798195200
02/28/2025,ProShares Ultra S&P500,SSO,46.9491,45.52445,3.12942,1.42465,127900,6004789890
02/27/2025,ProShares Ultra S&P500,SSO,45.52445,47.0239,-3.18870,-1.49945,127900,5822577155
02/26/2025,ProShares Ultra S&P500,SSO,47.0239,47.01195,0.02542,0.01195,127900,6014356810
02/25/2025,ProShares Ultra S&P500,SSO,47.01195,47.46845,-0.96169,-0.4565,127300,5984621235
02/24/2025,ProShares Ultra S&P500,SSO,47.46845,47.94395,-0.99178,-0.4755,127300,6042733685
02/21/2025,ProShares Ultra S&P500,SSO,47.94395,49.6599,-3.45540,-1.71595,124300,5959432985
02/20/2025,ProShares Ultra S&P500,SSO,49.6599,50.0886,-0.85588,-0.4287,123100,6113133690
02/19/2025,ProShares Ultra S&P500,SSO,50.0886,49.85645,0.46564,0.23215,122900,6155888940
02/18/2025,ProShares Ultra S&P500,SSO,49.85645,49.60585,0.50518,0.2506,117500,5858132875
02/14/2025,ProShares Ultra S&P500,SSO,49.60585,49.6237,-0.03597,-0.01785,117500,5828687375
02/13/2025,ProShares Ultra S&P500,SSO,49.6237,48.6155,2.07382,1.0082,116100,5761311570
02/12/2025,ProShares Ultra S&P500,SSO,48.6155,48.89065,-0.56279,-0.27515,116100,5644259550
02/11/2025,ProShares Ultra S&P500,SSO,48.89065,48.8557,0.07154,0.03495,116300,5685982595
02/10/2025,ProShares Ultra S&P500,SSO,48.8557,48.20715,1.34534,0.64855,116400,5686803480
02/07/2025,ProShares Ultra S&P500,SSO,48.20715,49.14805,-1.91442,-0.9409,116400,5611312260
02/06/2025,ProShares Ultra S&P500,SSO,49.14805,48.8033,0.70641,0.34475,116200,5711003410
02/05/2025,ProShares Ultra S&P500,SSO,48.8033,48.42955,0.77174,0.37375,116000,5661182800
02/04/2025,ProShares Ultra S&P500,SSO,48.42955,47.75605,1.41029,0.6735,116000,5617827800
02/03/2025,ProShares Ultra S&P500,SSO,47.75605,48.4855,-1.50447,-0.72945,116000,5539701800
01/31/2025,ProShares Ultra S&P500,SSO,48.4855,49.0004,-1.05081,-0.5149,116000,5624318000
01/30/2025,ProShares Ultra S&P500,SSO,49.0004,48.4936,1.04509,0.5068,116200,5693846480
01/29/2025,ProShares Ultra S&P500,SSO,48.4936,48.9569,-0.94634,-0.4633,116300,5639805680
01/28/2025,ProShares Ultra S&P500,SSO,48.9569,48.09235,1.79769,0.86455,117000,5727957300
01/27/2025,ProShares Ultra S&P500,SSO,48.09235,49.5358,-2.91395,-1.44345,115800,5569094130
01/24/2025,ProShares Ultra S&P500,SSO,49.5358,49.83605,-0.60248,-0.30025,116500,5770920700
01/23/2025,ProShares Ultra S&P500,SSO,49.83605,49.31685,1.05278,0.5192,116500,5805899825
01/22/2025,ProShares Ultra S&P500,SSO,49.31685,48.73435,1.19526,0.5825,115300,5686232805
01/21/2025,ProShares Ultra S&P500,SSO,48.73435,47.8983,1.74547,0.83605,115400,5623943990
01/17/2025,ProShares Ultra S&P500,SSO,47.8983,46.98455,1.94479,0.91375,112900,5407718070
01/16/2025,ProShares Ultra S&P500,SSO,46.98455,47.18795,-0.43104,-0.2034,112900,5304555695
01/15/2025,ProShares Ultra S&P500,SSO,47.18795,45.52325,3.65681,1.6647,112800,5322800760
01/14/2025,ProShares Ultra S&P500,SSO,45.52325,45.4214,0.22423,0.10185,112800,5135022600
01/13/2025,ProShares Ultra S&P500,SSO,45.4214,45.28935,0.29157,0.13205,112800,5123533920
01/10/2025,ProShares Ultra S&P500,SSO,45.28935,46.73425,-3.09174,-1.4449,113200,5126754420
01/08/2025,ProShares Ultra S&P500,SSO,46.73425,46.60655,0.27400,0.1277,116800,5458560400
01/07/2025,ProShares Ultra S&P500,SSO,46.60655,47.67345,-2.23793,-1.0669,116600,5434323730
01/06/2025,ProShares Ultra S&P500,SSO,47.67345,47.1533,1.10310,0.52015,116800,5568258960
01/03/2025,ProShares Ultra S&P500,SSO,47.1533,46.0102,2.48445,1.1431,116800,5507505440
01/02/2025,ProShares Ultra S&P500,SSO,46.0102,46.2306,-0.47674,-0.2204,116800,5373991360
12/31/2024,ProShares Ultra S&P500,SSO,46.2306,46.62445,-0.84473,-0.39385,117800,5445964680
12/30/2024,ProShares Ultra S&P500,SSO,46.62445,47.6685,-2.19023,-1.04405,117800,5492360210
12/27/2024,ProShares Ultra S&P500,SSO,47.6685,48.7519,-2.22227,-1.0834,118300,5639183550
12/26/2024,ProShares Ultra S&P500,SSO,48.7519,48.78625,-0.07041,-0.03435,117500,5728348250
12/24/2024,ProShares Ultra S&P500,SSO,48.78625,47.7479,2.17465,1.03835,117400,5727505750
12/23/2024,ProShares Ultra S&P500,SSO,47.7479,47.2171,1.12417,0.5308,117000,5586504300
12/20/2024,ProShares Ultra S&P500,SSO,47.2171,46.20795,2.18393,1.00915,118100,5576339510
12/19/2024,ProShares Ultra S&P500,SSO,46.20795,46.28695,-0.17067,-0.079,118500,5475642075
12/18/2024,ProShares Ultra S&P500,SSO,46.28695,49.2065,-5.93326,-2.91955,119200,5517404440
12/17/2024,ProShares Ultra S&P500,SSO,49.2065,49.6024,-0.79815,-0.3959,119400,5875256100
12/16/2024,ProShares Ultra S&P500,SSO,49.6024,49.2181,0.78081,0.3843,119500,5927486800
12/13/2024,ProShares Ultra S&P500,SSO,49.2181,49.2404,-0.04529,-0.0223,119500,5881562950
12/12/2024,ProShares Ultra S&P500,SSO,49.2404,49.78155,-1.08705,-0.54115,119600,5889151840
12/11/2024,ProShares Ultra S&P500,SSO,49.78155,48.99845,1.59821,0.7831,119600,5953873380
12/10/2024,ProShares Ultra S&P500,SSO,48.99845,49.30135,-0.61438,-0.3029,119600,5860214620
12/09/2024,ProShares Ultra S&P500,SSO,49.30135,49.891,-1.18188,-0.58965,118700,5852070245
12/06/2024,ProShares Ultra S&P500,SSO,49.891,49.6719,0.44109,0.2191,119400,5956985400
12/05/2024,ProShares Ultra S&P500,SSO,49.6719,49.8544,-0.36607,-0.1825,119900,5955660810
12/04/2024,ProShares Ultra S&P500,SSO,49.8544,49.26285,1.20080,0.59155,120100,5987513440
12/03/2024,ProShares Ultra S&P500,SSO,49.26285,49.2253,0.07628,0.03755,120100,5916468285
12/02/2024,ProShares Ultra S&P500,SSO,49.2253,49.00225,0.45518,0.22305,120100,5911958530
11/29/2024,ProShares Ultra S&P500,SSO,49.00225,48.46005,1.11886,0.5422,120200,5890070450
11/27/2024,ProShares Ultra S&P500,SSO,48.46005,48.82855,-0.75468,-0.3685,120200,5824898010
11/26/2024,ProShares Ultra S&P500,SSO,48.82855,48.29005,1.11514,0.5385,120000,5859426000
11/25/2024,ProShares Ultra S&P500,SSO,48.29005,48.00115,0.60186,0.2889,118000,5698225900
11/22/2024,ProShares Ultra S&P500,SSO,48.00115,47.69855,0.63440,0.3026,118000,5664135700
11/21/2024,ProShares Ultra S&P500,SSO,47.69855,47.1896,1.07852,0.50895,118000,5628428900
11/20/2024,ProShares Ultra S&P500,SSO,47.1896,47.18855,0.00223,0.00105,118100,5573091760
11/19/2024,ProShares Ultra S&P500,SSO,47.18855,46.83365,0.75779,0.3549,118100,5572967755
11/18/2024,ProShares Ultra S&P500,SSO,46.83365,46.46455,0.79437,0.3691,118100,5531054065
11/15/2024,ProShares Ultra S&P500,SSO,46.46455,47.732,-2.65535,-1.26745,116800,5427059440
11/14/2024,ProShares Ultra S&P500,SSO,47.732,48.32375,-1.22455,-0.59175,118100,5637149200
11/13/2024,ProShares Ultra S&P500,SSO,48.32375,48.29955,0.05010,0.0242,117000,5653878750
11/12/2024,ProShares Ultra S&P500,SSO,48.29955,48.589,-0.59571,-0.28945,117500,5675197125
11/11/2024,ProShares Ultra S&P500,SSO,48.589,48.4972,0.18929,0.0918,118400,5752937600
11/08/2024,ProShares Ultra S&P500,SSO,48.4972,48.14015,0.74169,0.35705,117100,5679022120
11/07/2024,ProShares Ultra S&P500,SSO,48.14015,47.43525,1.48603,0.7049,117100,5637211565
11/06/2024,ProShares Ultra S&P500,SSO,47.43525,45.1644,5.02796,2.27085,117100,5554667775
11/05/2024,ProShares Ultra S&P500,SSO,45.1644,44.09335,2.42905,1.07105,116800,5275201920
11/04/2024,ProShares Ultra S&P500,SSO,44.09335,44.33625,-0.54786,-0.2429,117000,5158921950
11/01/2024,ProShares Ultra S&P500,SSO,44.33625,43.99415,0.77760,0.3421,117800,5222810250
10/31/2024,ProShares Ultra S&P500,SSO,43.99415,45.7192,-3.77314,-1.72505,118000,5191309700
10/30/2024,ProShares Ultra S&P500,SSO,45.7192,46.0249,-0.66421,-0.3057,118000,5394865600
10/29/2024,ProShares Ultra S&P500,SSO,46.0249,45.8841,0.30686,0.1408,118000,5430938200
10/28/2024,ProShares Ultra S&P500,SSO,45.8841,45.6428,0.52867,0.2413,118000,5414323800
10/25/2024,ProShares Ultra S&P500,SSO,45.6428,45.69265,-0.10910,-0.04985,118300,5399543240
10/24/2024,ProShares Ultra S&P500,SSO,45.69265,45.50565,0.41094,0.187,118300,5405440495
10/23/2024,ProShares Ultra S&P500,SSO,45.50565,46.364,-1.85133,-0.85835,117900,5365116135
