Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
05/16/2025,ProShares Ultra QQQ,QLD,53.03055,52.57885,0.85909,0.4517,146500,7768975575
05/15/2025,ProShares Ultra QQQ,QLD,52.57885,52.48695,0.17509,0.0919,146700,7713317295
05/14/2025,ProShares Ultra QQQ,QLD,52.48695,51.89795,1.13492,0.589,146700,7699835565
05/13/2025,ProShares Ultra QQQ,QLD,51.89795,50.32435,3.12692,1.5736,146700,7613429265
05/12/2025,ProShares Ultra QQQ,QLD,50.32435,46.57055,8.06046,3.7538,146700,7382582145
05/09/2025,ProShares Ultra QQQ,QLD,46.57055,46.60605,-0.07617,-0.0355,146400,6817928520
05/08/2025,ProShares Ultra QQQ,QLD,46.60605,45.71115,1.95773,0.8949,146400,6823125720
05/07/2025,ProShares Ultra QQQ,QLD,45.71115,45.36535,0.76226,0.3458,141400,6463556610
05/06/2025,ProShares Ultra QQQ,QLD,45.36535,46.19295,-1.79162,-0.8276,139200,6314856720
05/05/2025,ProShares Ultra QQQ,QLD,46.19295,46.8236,-1.34686,-0.63065,138800,6411581460
05/02/2025,ProShares Ultra QQQ,QLD,46.8236,45.40065,3.13421,1.42295,138800,6499115680
05/01/2025,ProShares Ultra QQQ,QLD,45.40065,44.4127,2.22448,0.98795,137800,6256209570
04/30/2025,ProShares Ultra QQQ,QLD,44.4127,44.3105,0.23065,0.1022,135200,6004597040
04/29/2025,ProShares Ultra QQQ,QLD,44.3105,43.78345,1.20377,0.52705,135200,5990779600
04/28/2025,ProShares Ultra QQQ,QLD,43.78345,43.8166,-0.07566,-0.03315,135200,5919522440
04/25/2025,ProShares Ultra QQQ,QLD,43.8166,42.8645,2.22119,0.9521,134900,5910859340
04/24/2025,ProShares Ultra QQQ,QLD,42.8645,40.60695,5.55952,2.25755,134900,5782421050
04/23/2025,ProShares Ultra QQQ,QLD,40.60695,38.8425,4.54258,1.76445,134300,5453513385
04/22/2025,ProShares Ultra QQQ,QLD,38.8425,36.9105,5.23428,1.932,134300,5216547750
