Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
10/21/2025,ProShares UltraPro S&P500,UPRO,113.031,113.0523,-0.01884,-0.0213,40600,4589058600
10/20/2025,ProShares UltraPro S&P500,UPRO,113.0523,109.5755,3.17297,3.4768,40600,4589923380
10/17/2025,ProShares UltraPro S&P500,UPRO,109.5755,107.9517,1.50419,1.6238,40600,4448765300
10/16/2025,ProShares UltraPro S&P500,UPRO,107.9517,110.0682,-1.92290,-2.1165,40600,4382839020
10/15/2025,ProShares UltraPro S&P500,UPRO,110.0682,108.7593,1.20348,1.3089,40550,4463265510
10/14/2025,ProShares UltraPro S&P500,UPRO,108.7593,109.2957,-0.49078,-0.5364,40650,4421065545
10/13/2025,ProShares UltraPro S&P500,UPRO,109.2957,104.423,4.66631,4.8727,41000,4481123700
10/10/2025,ProShares UltraPro S&P500,UPRO,104.423,113.7544,-8.20311,-9.3314,40850,4265679550
10/09/2025,ProShares UltraPro S&P500,UPRO,113.7544,114.7307,-0.85095,-0.9763,40850,4646867240
10/08/2025,ProShares UltraPro S&P500,UPRO,114.7307,112.79,1.72063,1.9407,40900,4692485630
10/07/2025,ProShares UltraPro S&P500,UPRO,112.79,114.1274,-1.17185,-1.3374,40800,4601832000
10/06/2025,ProShares UltraPro S&P500,UPRO,114.1274,112.901,1.08626,1.2264,40900,4667810660
10/03/2025,ProShares UltraPro S&P500,UPRO,112.901,112.9428,-0.03701,-0.0418,42700,4820872700
10/02/2025,ProShares UltraPro S&P500,UPRO,112.9428,112.7596,0.16247,0.1832,42950,4850893260
10/01/2025,ProShares UltraPro S&P500,UPRO,112.7596,111.6368,1.00576,1.1228,43050,4854300780
09/30/2025,ProShares UltraPro S&P500,UPRO,111.6368,110.2867,1.22417,1.3501,43050,4805964240
09/29/2025,ProShares UltraPro S&P500,UPRO,110.2867,109.4559,0.75903,0.8308,42950,4736813765
09/26/2025,ProShares UltraPro S&P500,UPRO,109.4559,107.6331,1.69353,1.8228,43000,4706603700
09/25/2025,ProShares UltraPro S&P500,UPRO,107.6331,109.3016,-1.52651,-1.6685,42950,4622841645
09/24/2025,ProShares UltraPro S&P500,UPRO,109.3016,110.4954,-1.08041,-1.1938,42200,4612527520
09/23/2025,ProShares UltraPro S&P500,UPRO,110.4954,112.3827,-1.67935,-1.8873,42100,4651856340
09/22/2025,ProShares UltraPro S&P500,UPRO,112.3827,110.9251,1.31404,1.4576,41200,4630167240
09/19/2025,ProShares UltraPro S&P500,UPRO,110.9251,109.4158,1.37942,1.5093,41450,4597845395
09/18/2025,ProShares UltraPro S&P500,UPRO,109.4158,107.8846,1.41929,1.5312,41500,4540755700
09/17/2025,ProShares UltraPro S&P500,UPRO,107.8846,108.23,-0.31914,-0.3454,41750,4504182050
09/16/2025,ProShares UltraPro S&P500,UPRO,108.23,108.6781,-0.41232,-0.4481,41750,4518602500
09/15/2025,ProShares UltraPro S&P500,UPRO,108.6781,107.1259,1.44895,1.5522,41800,4542744580
09/12/2025,ProShares UltraPro S&P500,UPRO,107.1259,107.3627,-0.22056,-0.2368,41850,4483218915
09/11/2025,ProShares UltraPro S&P500,UPRO,107.3627,104.7301,2.51370,2.6326,41700,4477024590
09/10/2025,ProShares UltraPro S&P500,UPRO,104.7301,103.8253,0.87146,0.9048,42000,4398664200
09/09/2025,ProShares UltraPro S&P500,UPRO,103.8253,103.0201,0.78160,0.8052,42250,4386618925
09/08/2025,ProShares UltraPro S&P500,UPRO,103.0201,102.3873,0.61805,0.6328,42300,4357750230
09/05/2025,ProShares UltraPro S&P500,UPRO,102.3873,103.4136,-0.99242,-1.0263,42600,4361698980
09/04/2025,ProShares UltraPro S&P500,UPRO,103.4136,100.8866,2.50479,2.527,44200,4570881120
09/03/2025,ProShares UltraPro S&P500,UPRO,100.8866,99.3915,1.50425,1.4951,44100,4449099060
09/02/2025,ProShares UltraPro S&P500,UPRO,99.3915,101.4839,-2.06180,-2.0924,44100,4383165150
08/29/2025,ProShares UltraPro S&P500,UPRO,101.4839,103.5661,-2.01050,-2.0822,44000,4465291600
08/28/2025,ProShares UltraPro S&P500,UPRO,103.5661,102.6151,0.92676,0.951,43900,4546551790
08/27/2025,ProShares UltraPro S&P500,UPRO,102.6151,101.9179,0.68408,0.6972,43900,4504802890
08/26/2025,ProShares UltraPro S&P500,UPRO,101.9179,100.6794,1.23014,1.2385,43900,4474195810
08/25/2025,ProShares UltraPro S&P500,UPRO,100.6794,102.0146,-1.30883,-1.3352,43900,4419825660
08/22/2025,ProShares UltraPro S&P500,UPRO,102.0146,97.6389,4.48151,4.3757,43900,4478440940
08/21/2025,ProShares UltraPro S&P500,UPRO,97.6389,98.8169,-1.19210,-1.178,43950,4291229655
08/20/2025,ProShares UltraPro S&P500,UPRO,98.8169,99.574,-0.76034,-0.7571,43950,4343002755
08/19/2025,ProShares UltraPro S&P500,UPRO,99.574,101.3582,-1.76029,-1.7842,44000,4381256000
08/18/2025,ProShares UltraPro S&P500,UPRO,101.3582,101.4049,-0.04605,-0.0467,44000,4459760800
08/15/2025,ProShares UltraPro S&P500,UPRO,101.4049,102.3149,-0.88941,-0.91,44050,4466885845
